wavelength,intensity
178.76,41.737
179.14,41.737
179.52,41.737
179.9,12.873
180.28,-113.91
180.66,-218.84
181.04,-122.49
181.42,-30.425
181.8,-91.278
182.18,-31.595
182.55,-35.105
182.93,-60.075
183.31,-57.737
183.69,-80.747
184.07,-37.84
184.45,-55.782
184.83,-47.593
185.21,-82.695
185.59,-36.275
185.97,-278.92
186.35,-3.1217
186.72,-4.68
187.1,-94.792
187.48,-176.71
187.86,-112.74
188.24,-35.108
188.62,49.933
189,-42.13
189.38,-38.62
189.75,-14.042
190.13,0.39
190.51,-35.5
190.89,-134.19
191.27,-291.78
191.65,-37.84
192.03,-94.01
192.4,-8.1917
192.78,-119.76
193.16,-55.003
193.54,-212.6
193.92,-53.05
194.3,-6.6317
194.67,-64.755
195.05,43.297
195.43,-14.042
195.81,-71.385
196.19,-166.57
196.56,-67.485
196.94,13.65
197.32,-133.02
197.7,-121.32
198.08,-149.01
198.45,20.677
198.83,15.607
199.21,-6.24
199.59,-131.46
199.97,-23.405
200.34,-53.44
200.72,-46.422
201.1,-253.55
201.48,-105.32
201.85,-10.925
202.23,-38.62
202.61,0.78333
202.99,-250.05
203.36,19.115
203.74,-118.98
204.12,-38.615
204.49,-39.787
204.87,-84.648
205.25,-45.247
205.63,-35.11
206,-8.58
206.38,-62.805
206.76,-138.87
207.14,-62.807
207.51,-53.052
207.89,-205.19
208.27,-13.262
208.64,-51.88
209.02,8.5817
209.4,-16.382
209.77,-10.535
210.15,-630.78
210.53,-25.358
210.9,-64.757
211.28,-51.882
211.66,-132.63
212.03,-23.012
212.41,-13.263
212.79,10.533
213.16,-89.723
213.54,-4.29
213.92,-15.605
214.29,-40.178
214.67,3.51
215.05,-13.263
215.42,-160.33
215.8,-48.763
216.17,26.523
216.55,18.335
216.93,40.958
217.3,-35.89
217.68,37.447
218.05,29.645
218.43,-59.682
218.81,5.07
219.18,-70.605
219.56,39.788
219.93,48.762
220.31,29.257
220.69,105.71
221.06,3.5133
221.44,-1.9483
221.81,72.167
222.19,77.627
222.56,104.94
222.94,124.83
223.32,195.82
223.69,97.525
224.07,76.457
224.44,138.87
224.82,93.623
225.19,84.258
225.57,138.09
225.94,141.61
226.32,221.18
226.69,172.03
227.07,224.3
227.44,338.99
227.82,373.32
228.19,311.29
228.57,266.04
228.94,234.44
229.32,333.13
229.69,364.34
230.07,377.61
230.44,393.21
230.82,276.18
231.19,435.73
231.57,531.69
231.94,486.44
