wavelength,intensity
178.76,1688.7
179.14,1688.7
179.52,1688.7
179.9,1624.1
180.28,11436
180.66,6292.3
181.04,9837.3
181.42,7673.6
181.8,6480.9
182.18,11439
182.55,6086.4
182.93,7579.6
183.31,7319.2
183.69,8171
184.07,8498.9
184.45,7228.9
184.83,7571.6
185.21,6794.4
185.59,7030.2
185.97,17241
186.35,12455
186.72,7311.2
187.1,7508
187.48,12144
187.86,9411.1
188.24,6881.8
188.62,6417.4
189,11408
189.38,8194.4
189.75,8283.5
190.13,8253.3
190.51,6491.1
190.89,15839
191.27,21979
191.65,7229.5
192.03,8092
192.4,10658
192.78,7928.4
193.16,9109.6
193.54,12827
193.92,11300
194.3,6893.9
194.67,9876.9
195.05,8735.1
195.43,7565.6
195.81,7224.6
196.19,11203
196.56,8008.7
196.94,7584.3
197.32,12096
197.7,6733.7
198.08,8943.6
198.45,6936.8
198.83,7898.3
199.21,7005.6
199.59,12809
199.97,8447.8
200.34,6051.5
200.72,6864
201.1,14622
201.48,10298
201.85,6566.4
202.23,7076.6
202.61,6758.7
202.99,16767
203.36,6766.9
203.74,9417.5
204.12,7433.5
204.49,6715.2
204.87,9120.7
205.25,7406.2
205.63,5941.6
206,6607.1
206.38,8164.8
206.76,9946.9
207.14,6728.1
207.51,6122.5
207.89,11262
208.27,6562.3
208.64,5536.5
209.02,6841
209.4,7236.4
209.77,5858.2
210.15,15330
210.53,6058.3
210.9,12028
211.28,6387.7
211.66,12530
212.03,6758.7
212.41,6056.5
212.79,7376.4
213.16,6152.9
213.54,7934.4
213.92,8150.5
214.29,5775.1
214.67,6801.8
215.05,7058.1
215.42,9684
215.8,7013.2
216.17,6943
216.55,8085.4
216.93,5966.4
217.3,9315.1
217.68,6574.2
218.05,6976.6
218.43,6718.5
218.81,7039.6
219.18,11660
219.56,6977.1
219.93,6804.5
220.31,6769.8
220.69,6066.3
221.06,6379.3
221.44,7993.7
221.81,6466.9
222.19,5866.7
222.56,6269.3
222.94,7010.1
223.32,7907.3
223.69,6516.2
224.07,9252.1
224.44,10335
224.82,7829.1
225.19,8819.7
225.57,7775.3
225.94,6967.8
226.32,7561.3
226.69,12662
227.07,8897.5
227.44,6923.1
227.82,8248.4
228.19,7254.3
228.57,9026.9
228.94,12121
229.32,9948.1
229.69,9267.9
230.07,6964.7
230.44,6361.6
230.82,11376
231.19,9807.4
231.57,5779.2
231.94,5934.4
232.32,15800
232.69,7476.6
233.07,7789.5
233.44,7092.4
233.82,7126.2
234.19,7739.4
234.57,10467
234.94,6651.2
235.31,6875.7
235.69,7495.6
236.06,7796.5
236.44,9000.7
236.81,6078.4
237.19,8190.7
237.56,12197
237.93,6632.7
238.31,7961.3
238.68,7193.6
239.06,7845.5
239.43,9155.2
239.81,8411.9
240.18,6153.5
240.55,6425.2
240.93,13452
241.3,8007.6
241.67,7415.2
242.05,8957
242.42,9926.8
242.8,6022.4
243.17,8087.9
243.54,7884.9
243.92,9598.9
244.29,7332.5
244.66,7887.8
245.04,10544
245.41,16738
245.78,6136.1
246.16,7050.9
246.53,9243.2
246.9,7346.4
247.28,13856
247.65,7216.5
248.02,7387.1
248.4,10329
248.77,7840.6
249.14,8684
249.52,7129.3
249.89,8749.3
250.26,6389.3
250.64,7676.6
251.01,15992
251.38,5941.8
251.75,7604.2
252.13,6933.3
252.5,9417.3
252.87,13902
253.25,6099.8
253.62,8236.9
253.99,6012.6
254.36,9714.4
254.74,6787
255.11,6305.2
255.48,5726.9
255.85,14787
256.23,5878.5
256.6,5557
256.97,7101.2
257.34,8469.8
257.71,7857.8
258.09,7030.8
258.46,8041.9
258.83,11870
259.2,10091
259.58,7260.3
259.95,7628.8
260.32,9691.8
260.69,6146.1
261.06,11547
261.44,6431.6
261.81,13750
262.18,8124.8
262.55,6562.9
262.92,7576.3
263.29,6724
263.67,5927.4
264.04,6819.5
264.41,7068.4
264.78,6633.3
265.15,10636
265.52,12937
265.9,7640.7
266.27,6646.5
266.64,5923.5
267.01,5612.8
267.38,8302.7
267.75,6307.5
268.12,5449.4
268.5,7230.5
268.87,6510.8
269.24,6089.1
269.61,7894.8
269.98,8465.1
270.35,8251.6
270.72,6307.5
271.09,7162
271.46,6826.2
271.83,8162.6
272.21,9554.1
272.58,6152.1
272.95,6547.1
273.32,7543.7
273.69,7503
274.06,5723.2
274.43,6351
274.8,7238.5
275.17,8073.1
275.54,14398
275.91,7562.9
276.28,7488.5
276.65,7826.2
277.02,11545
277.39,6398.2
277.76,6323
278.13,8664.7
278.5,9017.9
278.87,10739
279.24,9391.6
279.61,8669.7
279.98,11883
280.35,6564.8
280.72,7738.6
281.09,7271.5
281.46,7595.2
281.83,6354.2
282.2,8166.9
282.57,6642.6
282.94,8345.2
283.31,6704.1
283.68,8041.5
284.05,5790.3
284.42,5584.7
284.79,7893.8
285.16,8739.4
285.53,7411.7
285.9,7480.2
286.27,15398
286.64,5673.3
287.01,6398.6
287.38,8694.9
287.75,59884
288.12,8762.8
288.49,17259
288.86,6136.1
289.23,6245.7
289.59,6359
289.96,6062.8
290.33,6487
290.7,6780.9
291.07,8630.7
291.44,8058.9
291.81,6127.5
292.18,7569.9
292.55,6803.7
292.91,13123
293.28,8513.7
293.65,11211
294.02,8052.4
294.39,5711.9
294.76,7196.6
295.13,7567.9
295.5,7189.2
295.86,7185.8
296.23,6583
296.6,5929.4
296.97,6604
297.34,7241
297.71,9140.2
298.07,7448
298.44,5462.6
298.81,8139.8
299.18,7655.5
299.55,10962
299.91,7118.7
300.28,7576.9
300.65,5513.3
301.02,7729.8
301.39,8366.1
301.75,13847
302.12,8372.9
302.49,7210.6
302.86,10790
303.23,7537.7
303.59,5997.2
303.96,17793
304.33,9964.4
304.7,15483
305.06,6720.3
305.43,10507
305.8,8489.9
306.17,9216.4
306.53,6456.8
306.9,9747
307.27,7471
307.64,10935
308,6635.6
308.37,6507.3
308.74,12434
309.11,9121.7
309.47,6399.4
309.84,5700.6
310.21,7290.6
310.57,7712.8
310.94,6906.9
311.31,7466.7
311.67,8051.2
312.04,5641.7
312.41,10113
312.77,8335.2
313.14,6394
313.51,7162
313.87,6679.7
314.24,6556.6
314.61,6488
314.97,6716.4
315.34,7424
315.71,5689.5
316.07,9328.2
316.44,5925.3
316.81,9020.4
317.17,6321.8
317.54,16051
317.91,6545.5
318.27,5558
318.64,6965
319,9054.6
319.37,5660
319.74,9663.5
320.1,9887.4
320.47,6825.4
320.83,11268
321.2,7096.3
321.57,6123.2
321.93,6759.9
322.3,7708.9
322.66,6380.7
323.03,8944
323.4,8219.4
323.76,6615.9
324.13,6590.4
324.49,5609.9
324.86,19356
325.22,7600.1
325.59,7199.5
325.95,8076.6
326.32,9730.8
326.68,9432.6
327.05,7187.4
327.42,6228.4
327.78,6590.8
328.15,9641.4
328.51,6507.7
328.88,7580.8
329.24,11547
329.61,7452.7
329.97,8905.7
330.34,6559.5
330.7,7519.4
331.07,11096
331.43,8710.1
331.8,13655
332.16,10544
332.52,6233.4
332.89,8493
333.25,5564.4
333.62,12841
333.98,7384.2
334.35,6406
334.71,7514.9
335.08,5982.6
335.44,12481
335.81,12370
336.17,10530
336.53,7372.3
336.9,6054.2
337.26,8720.8
337.63,14226
337.99,7993.9
338.36,6153.1
338.72,9231.5
339.08,7669.9
339.45,6022.6
339.81,9858.3
340.18,6943.8
340.54,10709
340.9,6535.6
341.27,7118.3
341.63,8558.4
341.99,5440.4
342.36,10729
342.72,6014.2
343.09,10907
343.45,6541.2
343.81,11060
344.18,5724
344.54,7227.8
344.9,8017.5
345.27,7562.7
345.63,7198.5
345.99,9145.8
346.36,7511.4
346.72,6089.5
347.08,6169.8
347.45,5677.2
347.81,10239
348.17,7846.8
348.54,5896.2
348.9,9331.7
349.26,10063
349.62,11184
349.99,5486.4
350.35,5360.4
350.71,7987.5
351.08,7363.5
351.44,5344.2
351.8,13934
352.16,12027
352.53,6220
352.89,8771.7
353.25,11607
353.61,6751.3
353.98,8939.1
354.34,10535
354.7,6649.9
355.06,5386.7
355.43,7467.5
355.79,6950.8
356.15,6877.3
356.51,6118.4
356.88,6231.7
357.24,6963.1
357.6,5717.3
357.96,5406.1
358.32,16067
358.69,5612.8
359.05,8279.3
359.41,7798.1
359.77,5984.4
360.13,6402.1
360.49,6241
360.86,9732.9
361.22,11670
361.58,7964.5
361.94,11496
362.3,6008.9
362.66,8715.4
363.03,5400.2
363.39,5338.2
363.75,6390.6
364.11,10419
364.47,6453
364.83,11049
365.19,7874.3
365.56,9170.6
365.92,5495
366.28,8954.5
366.64,10249
367,5577.3
367.36,5598
367.72,10239
368.08,9741.7
368.44,6674.6
368.8,8558.8
369.17,6746.6
369.53,6948.7
369.89,6207.3
370.25,6256.3
370.61,6380.7
370.97,11214
371.33,6621.6
371.69,13243
372.05,8604.8
372.41,6017.5
372.77,6794.2
373.13,7851.3
373.49,5257
373.85,8269.1
374.21,7717.5
374.57,5995.7
374.93,8951
375.29,9502.4
375.65,7751.7
376.01,7473.5
376.37,10623
376.73,8850.3
377.09,5957.8
377.45,10244
377.81,7043.8
378.17,6118.2
378.53,5322.4
378.89,8771.9
379.25,11400
379.61,14807
379.97,9705
380.33,6646.5
380.69,6385.2
381.05,5903.4
381.41,9423.2
381.77,7467.1
382.13,8935.8
382.49,15501
382.85,7683.2
383.21,9168.9
383.57,5497.3
383.93,10979
384.28,5366.7
384.64,6755
385,7820.3
385.36,7542.6
385.72,9366
386.08,6149
386.44,9200.8
386.8,9304
387.16,12805
387.52,9997
387.87,14079
388.23,8217.2
388.59,6367.8
388.95,5695.5
389.31,6956.5
389.67,7003.9
390.03,6475.3
390.38,6704.9
390.74,5228.4
391.1,9771.2
391.46,7833.4
391.82,6161.7
392.18,8656.9
392.54,5094.2
392.89,5823.3
393.25,8721.6
393.61,5905
393.97,5664.3
394.33,8125.2
394.68,7275.6
395.04,5679.5
395.4,7445.2
395.76,9543.9
396.12,7719.7
396.47,5929.2
396.83,7242.6
397.19,5744.1
397.55,5981.4
397.9,7560.3
398.26,7554.9
398.62,5821.9
398.98,5114.1
399.33,6917.8
399.69,25565
400.05,8532.2
400.41,6035.1
400.76,9048.7
401.12,10568
401.48,8086.7
401.84,6243.2
402.19,6588.2
402.55,8033.7
402.91,7387.1
403.26,5460.9
403.62,8728.6
403.98,7302.1
404.34,4948.1
404.69,7216.8
405.05,9394.7
405.41,14724
405.76,6080.9
406.12,6101.8
406.48,7073.1
406.83,6328
407.19,8688.5
407.55,8158.7
407.9,14749
408.26,8773.5
408.62,9486.2
408.97,7318.7
409.33,5597.6
409.68,5935.2
410.04,7941.4
410.4,6185.6
410.75,8489.3
411.11,6026.5
411.47,7814.1
411.82,6873
412.18,7506.3
412.53,6946.1
412.89,6350.8
413.25,7223.9
413.6,7490.5
413.96,5438.8
414.31,6564.8
414.67,7679.5
415.03,5450.7
415.38,5847.8
415.74,6669.6
416.09,6780.9
416.45,8844.5
416.8,6119.3
417.16,8699.2
417.51,6953.7
417.87,6581
418.23,7886.2
418.58,8355.5
418.94,4966.6
419.29,6231.9
419.65,8003.3
420,9087.3
420.36,8089.7
420.71,8443.7
421.07,5760.8
421.42,7454.8
421.78,9517
422.13,6876.3
422.49,6913
422.84,7580.4
423.2,5350.9
423.55,5691
423.91,5664.5
424.26,14469
424.61,8558.8
424.97,11822
425.32,6141.2
425.68,6762.8
426.03,7931.3
426.39,10909
426.74,10299
427.1,9753.4
427.45,6314.8
427.8,7970.5
428.16,7118.9
428.51,7153.5
428.87,7952.2
429.22,9853.1
429.58,10604
429.93,10539
430.28,6223.9
430.64,6371.5
430.99,5377.6
431.35,7773.9
431.7,6737.8
432.05,6979.5
432.41,8506.5
432.76,8073.9
433.11,8205.5
433.47,8036.2
433.82,10951
434.17,8329
434.53,9321.2
434.88,14657
435.24,7938.9
435.59,7569.3
435.94,5762.2
436.3,8518.8
436.65,6628
437,9830.6
437.35,16999
437.71,6842.9
438.06,6371.1
438.41,6383.4
438.77,8146.6
439.12,5397.9
439.47,4906.5
439.83,8044.6
440.18,5341.9
440.53,6731
440.88,12711
441.24,8907.1
441.59,5805.3
441.94,6669.2
442.3,8554.3
442.65,13134
443,7114.8
443.35,10873
443.71,6840.8
444.06,9781.7
444.41,8314.4
444.76,11902
445.11,7310.1
445.47,10643
445.82,9440.7
446.17,6062.6
446.52,10711
446.88,7441
447.23,5343.4
447.58,8197.9
447.93,6198.3
448.28,31000
448.63,11385
448.99,7166.9
449.34,8757.5
449.69,9129.5
450.04,6494
450.39,6427.3
450.74,7215.7
451.1,7128.9
451.45,7348.9
451.8,7924.9
452.15,10427
452.5,8443.9
452.85,10301
453.21,9348.5
453.56,8040.1
453.91,6953.3
454.26,7512.7
454.61,5965
454.96,8636.4
