wavelength,intensity
200.34,0
200.72,0
201.1,0
201.48,0
201.85,0
202.23,0
202.61,-0
202.99,0
203.36,0
203.74,0
204.12,0
204.49,-0
204.87,0
205.25,-0
205.63,0
206,0
206.38,-0
206.76,0
207.14,0
207.51,-0
207.89,0
208.27,-0
208.64,0
209.02,0
209.4,-0
209.77,-0
210.15,0
210.53,0
210.9,0
211.28,0
211.66,-3.3601e+13
212.03,-4.9436e+13
212.41,-9.3321e+12
212.79,-4.9436e+13
213.16,-9.3321e+12
213.54,-9.3321e+12
213.92,-3.9981e+13
214.29,-3.9981e+13
214.67,-3.9981e+13
215.05,-5.4261e+13
215.42,-3.9981e+13
215.8,-1.7641e+13
216.17,-5.4261e+13
216.55,-5.4261e+13
216.93,-5.4261e+13
217.3,-5.4261e+13
217.68,-6.9732e+13
218.05,-6.8411e+13
218.43,-5.8035e+13
218.81,-5.1138e+13
219.18,-5.408e+13
219.56,-6.6215e+13
219.93,-6.295e+13
220.31,-5.408e+13
220.69,-6.167e+13
221.06,-6.167e+13
221.44,-5.408e+13
221.81,-3.5137e+13
222.19,-3.5137e+13
222.56,-3.5137e+13
222.94,-3.8578e+13
223.32,-1.601e+13
223.69,-1.601e+13
224.07,-5.3883e+12
224.44,-5.3883e+12
224.82,-1.8803e+13
225.19,-1.8803e+13
225.57,-1.8803e+13
225.94,8.0114e+12
226.32,-1.8803e+13
226.69,-1.2583e+13
227.07,-1.7318e+13
227.44,2.1959e+13
227.82,1.2212e+13
228.19,1.2212e+13
228.57,4.5268e+13
228.94,2.3709e+13
229.32,7.8854e+11
229.69,-1.0709e+13
230.07,-1.0709e+13
230.44,7.8854e+11
230.82,1.2656e+13
231.19,1.0156e+13
231.57,1.4031e+12
231.94,8.2787e+12
232.32,8.2787e+12
232.69,8.2787e+12
233.07,8.2787e+12
233.44,8.2787e+12
233.82,1.0916e+13
234.19,8.2787e+12
234.57,1.2657e+12
234.94,-1.3109e+13
235.31,-2.2237e+13
