wavelength,intensity
178.76,6.8283
179.14,6.8283
179.52,6.8283
179.9,32.381
180.28,-123.85
180.66,28.087
181.04,34.522
181.42,23.797
181.8,-28.867
182.18,-19.896
182.55,-40.179
182.93,-15.603
183.31,-47.202
183.69,26.917
184.07,-21.844
184.45,71.58
184.83,20.284
185.21,5.6567
185.59,-16.383
185.97,-63.388
186.35,-24.183
186.72,-15.212
187.1,-9.9483
187.48,-20.286
187.86,-2.7325
188.24,2.535
188.62,-60.463
189,-65.733
189.38,13.068
189.75,-49.735
190.13,10.532
190.51,25.551
190.89,-48.759
191.27,-69.827
191.65,-5.8508
192.03,8.1908
192.4,20.677
192.78,-38.034
193.16,-30.038
193.54,-9.1667
193.92,-8.3892
194.3,-1.7558
194.67,29.062
195.05,7.4108
195.43,-33.938
195.81,4.2908
196.19,-85.43
196.56,3.51
196.94,-1.1725
197.32,-70.412
197.7,51.882
198.08,-49.736
198.45,9.1675
198.83,-75.678
199.21,27.889
199.59,31.987
199.97,-17.753
200.34,-1.5592
200.72,-38.621
201.1,-54.028
201.48,26.914
201.85,20.089
202.23,35.887
202.61,-13.459
202.99,12.874
203.36,-13.458
203.74,10.727
204.12,16.58
204.49,-35.886
204.87,1.9508
205.25,-39.397
205.63,-9.5592
206,6.24
206.38,-64.56
206.76,59.291
207.14,26.914
207.51,-46.421
207.89,-60.658
208.27,-2.9242
208.64,-22.431
209.02,-6.6342
209.4,26.136
209.77,-44.859
210.15,-51.297
210.53,2.9258
210.9,-13.457
211.28,14.629
211.66,2.9267
212.03,-28.086
212.41,-31.402
212.79,11.506
213.16,-23.21
213.54,-7.6058
213.92,3.3133
214.29,-42.129
214.67,16.578
215.05,27.892
215.42,-13.263
215.8,-22.432
216.17,-44.666
216.55,-17.749
216.93,31.404
217.3,26.722
217.68,-28.672
218.05,-31.013
218.43,28.671
218.81,-15.409
219.18,-64.562
219.56,-27.304
219.93,-19.895
220.31,-0.19333
220.69,-19.504
221.06,-34.718
221.44,-26.722
221.81,-7.0208
222.19,-27.698
222.56,1.365
222.94,111.96
223.32,23.017
223.69,-25.746
224.07,13.263
224.44,-68.264
224.82,-6.435
225.19,-10.921
225.57,32.77
225.94,-47.204
226.32,-56.562
226.69,65.924
227.07,42.517
227.44,28.867
227.82,-78.604
228.19,-6.0458
228.57,-36.277
228.94,53.054
229.32,19.896
229.69,-32.377
230.07,49.931
230.44,7.0217
230.82,-6.2408
231.19,-17.944
231.57,-28.476
231.94,8.385
232.32,14.823
232.69,5.4625
233.07,-3.705
233.44,5.46
233.82,27.305
234.19,12.68
234.57,-23.014
234.94,-35.887
235.31,99.863
235.69,-77.238
236.06,-17.357
236.44,-15.412
236.81,-19.113
237.19,-50.128
237.56,-20.477
237.93,-14.824
238.31,22.236
238.68,-21.847
239.06,-21.453
239.43,-38.228
239.81,22.628
240.18,-2.9267
240.55,24.574
240.93,-75.676
241.3,-23.795
241.67,-35.498
242.05,-0.39083
242.42,29.646
242.8,-5.0708
243.17,-1.1692
243.54,11.118
243.92,7.4108
244.29,-48.957
244.66,-31.402
245.04,-3.9017
245.41,34.718
245.78,-25.356
246.16,-42.91
246.53,-78.993
246.9,-57.148
247.28,-44.469
247.65,17.164
248.02,-7.4108
248.4,-35.693
248.77,-41.739
249.14,32.766
249.52,-6.435
249.89,-15.993
250.26,-7.8017
250.64,37.449
251.01,-62.025
251.38,-21.066
251.75,22.43
252.13,-2.34
252.5,-8.7775
252.87,42.518
253.25,25.746
253.62,-3.3142
253.99,-0.97667
254.36,-14.042
254.74,6.4383
255.11,34.133
255.48,0.78
255.85,25.552
256.23,11.117
256.6,-12.677
256.97,-11.703
257.34,-92.843
257.71,4.6808
258.09,-26.135
258.46,-44.469
258.83,17.359
259.2,-79.967
259.58,15.213
259.95,5.6575
260.32,17.163
260.69,20.869
261.06,-8.7792
261.44,-16.772
261.81,-44.47
262.18,-19.31
262.55,15.213
262.92,-50.713
263.29,26.525
263.67,-23.795
264.04,5.4617
264.41,-1.17
264.78,55.587
265.15,-34.132
265.52,-68.071
265.9,82.505
266.27,-20.282
266.64,0.38917
267.01,18.137
267.38,10.921
267.75,44.471
268.12,-14.042
268.5,6.2408
268.87,-16.969
269.24,-37.841
269.61,24.186
269.98,-24.38
270.35,-10.921
270.72,50.322
271.09,-15.993
271.46,-4.8775
271.83,-1.9525
272.21,-24.187
272.58,23.796
272.95,8.3875
273.32,17.361
273.69,23.989
274.06,29.256
274.43,16.188
274.8,44.272
275.17,0.39167
275.54,757.55
275.91,21.455
276.28,26.329
276.65,14.043
277.02,-33.743
277.39,-20.287
277.76,22.623
278.13,-27.697
278.5,60.463
278.87,39.788
279.24,73.143
279.61,-53.249
279.98,-56.955
280.35,-5.8517
280.72,7.2167
281.09,-64.56
281.46,-7.9958
281.83,-57.149
282.2,-45.055
282.57,3.5108
282.94,-72.948
283.31,-2.3408
283.68,-14.237
284.05,29.062
284.42,16.969
284.79,6.2417
285.16,-48.177
285.53,67.681
285.9,10.922
286.27,-179.64
286.64,-19.506
287.01,38.23
287.38,18.529
287.75,-73.143
288.12,-19.896
288.49,-2.5383
288.86,-43.3
289.23,-5.6567
289.59,-8.7758
289.96,-24.188
290.33,15.603
290.7,-32.182
291.07,-27.503
291.44,3.315
291.81,-12.288
292.18,-32.182
292.55,10.727
292.91,19.698
293.28,29.645
293.65,74.896
294.02,-18.335
294.39,10.923
294.76,-25.552
295.13,-19.503
295.5,-14.043
295.86,-6.4367
296.23,-14.823
296.6,13.262
296.97,0.58333
297.34,-36.082
297.71,10.923
298.07,27.304
298.44,35.303
298.81,-23.015
299.18,-41.155
299.55,-130.49
299.91,27.696
300.28,-49.152
300.65,23.794
301.02,53.442
301.39,2.5342
301.75,1.755
302.12,-2.535
302.49,-24.963
302.86,-3.3142
303.23,-39.397
303.59,-2.7308
303.96,36.278
304.33,-38.617
304.7,7.4125
305.06,31.597
305.43,1.7533
305.8,8.9742
306.17,34.522
306.53,-14.433
306.9,26.138
307.27,-17.749
307.64,-6.6317
308,5.46
308.37,34.913
308.74,25.939
309.11,27.698
309.47,58.71
309.84,-8.3858
310.21,7.2183
310.57,-57.927
310.94,-81.138
311.31,21.648
311.67,-15.604
312.04,-18.138
312.41,-66.316
312.77,-8.5825
313.14,2.3417
313.51,-36.863
313.87,-2.7292
314.24,36.083
314.61,-4.0942
314.97,29.258
315.34,76.844
315.71,-8.5817
316.07,6.2417
316.44,-13.262
316.81,-14.238
317.17,28.087
317.54,-11.704
317.91,39.788
318.27,-20.478
318.64,34.718
319,-10.337
319.37,-19.115
319.74,-59.098
320.1,-19.699
320.47,14.627
320.83,-27.306
321.2,73.531
321.57,-25.94
321.93,-33.547
322.3,-41.936
322.66,64.757
323.03,42.908
323.4,48.178
323.76,20.092
324.13,-15.603
324.49,-24.186
324.86,65.343
325.22,36.665
325.59,-25.358
325.95,9.1675
326.32,67.68
326.68,-68.267
327.05,8.7775
327.42,20.871
327.78,70.801
328.15,-21.845
328.51,21.649
328.88,27.502
329.24,-87.768
329.61,-1.95
329.97,-26.526
330.34,21.456
330.7,13.848
331.07,9.7508
331.43,11.312
331.8,86.014
332.16,17.163
332.52,29.062
332.89,-19.116
333.25,28.476
333.62,21.067
333.98,73.726
334.35,-4.8767
334.71,1.1708
335.08,14.432
335.44,-22.235
335.81,-5.6583
336.17,-118.39
336.53,-25.745
336.9,47.982
337.26,46.81
337.63,-23.99
337.99,-13.067
338.36,-24.967
338.72,0.97667
339.08,31.207
339.45,-21.846
339.81,-49.541
340.18,-9.7525
340.54,33.352
340.9,-37.25
341.27,28.476
341.63,8.3858
341.99,-19.116
342.36,32.574
342.72,58.124
343.09,-63.195
343.45,0.97667
343.81,-31.792
344.18,43.495
344.54,-26.527
344.9,29.841
345.27,10.727
345.63,-1.755
345.99,29.451
346.36,61.243
346.72,17.944
347.08,84.845
347.45,-3.5117
347.81,29.452
348.17,5.8508
348.54,-31.404
348.9,-9.1692
349.26,-28.865
349.62,-105.71
349.99,7.215
350.35,6.435
350.71,38.034
351.08,6.63
351.44,40.568
351.8,-3.7067
352.16,-23.991
352.53,-13.849
352.89,-59.292
353.25,-40.571
353.61,87.577
353.98,9.3642
354.34,-39.203
354.7,-3.3158
355.06,3.12
355.43,-23.016
355.79,17.748
356.15,14.629
356.51,9.9492
356.88,28.475
357.24,18.723
357.6,-6.8267
357.96,-17.163
358.32,48.567
358.69,4.4875
359.05,40.376
359.41,-17.361
359.77,1.56
360.13,-0.58667
360.49,-50.908
360.86,-14.629
361.22,-41.543
361.58,29.646
361.94,-10.142
362.3,-2.1442
362.66,-30.425
363.03,16.386
363.39,-34.524
363.75,-34.717
364.11,-1.7542
364.47,9.5592
364.83,1.3667
365.19,22.821
365.56,81.528
365.92,-50.322
366.28,-15.02
366.64,28.868
367,9.165
367.36,6.24
367.72,47.007
368.08,-25.357
368.44,-14.434
368.8,-6.4358
369.17,-24.577
369.53,11.897
369.89,-9.9492
370.25,-7.0225
370.61,6.6308
370.97,-49.15
371.33,-26.528
371.69,-0.38833
372.05,29.061
372.41,33.547
372.77,-24.77
373.13,-27.307
373.49,4.4867
373.85,-2.925
374.21,15.993
374.57,-14.825
374.93,52.467
375.29,-38.032
375.65,0.975
376.01,51.686
376.37,0.78083
376.73,-22.624
377.09,-18.723
377.45,50.127
377.81,8.1925
378.17,58.512
378.53,31.403
378.89,-21.649
379.25,42.52
379.61,-64.755
379.97,18.53
380.33,14.433
380.69,-22.821
381.05,-34.523
381.41,6.4358
381.77,-17.556
382.13,-24.575
382.49,-46.227
382.85,-56.174
383.21,-37.254
383.57,42.715
383.93,-100.64
384.28,-21.26
384.64,-6.4367
385,-38.424
385.36,-13.847
385.72,7.4142
386.08,-8.1925
386.44,-62.412
386.8,-68.458
387.16,-45.64
387.52,-46.616
387.87,44.47
388.23,1.9517
388.59,-16.188
388.95,-1.9517
389.31,10.338
389.67,-32.573
390.03,-1.365
390.38,20.286
390.74,23.795
391.1,45.054
391.46,4.6808
391.82,43.689
392.18,4.6817
392.54,52.272
392.89,11.898
393.25,-0.3875
393.61,31.402
393.97,39.594
394.33,16.578
394.68,-19.309
395.04,17.164
395.4,41.546
395.76,40.372
396.12,37.062
396.47,21.455
396.83,32.378
397.19,13.458
397.55,-43.299
397.9,24.382
398.26,-71.19
398.62,34.913
398.98,-21.063
399.33,-5.4608
399.69,6.2417
400.05,11.897
400.41,17.164
400.76,41.545
401.12,-32.767
401.48,-8.3908
401.84,-49.542
402.19,18.138
402.55,12.873
402.91,4.4833
403.26,-1.1708
403.62,-24.577
403.98,0.78
404.34,-21.262
404.69,90.307
405.05,-7.2175
405.41,26.137
405.76,-23.988
406.12,62.024
406.48,-39.592
406.83,21.261
407.19,84.453
407.55,13.068
407.9,-30.233
408.26,46.809
408.62,7.9967
408.97,-12.68
409.33,56.759
409.68,-25.941
410.04,16.578
410.4,4.4875
410.75,-50.517
411.11,21.261
411.47,-7.0183
411.82,-61.049
412.18,-52.858
412.53,-22.038
412.89,35.305
413.25,7.6075
413.6,-95.962
413.96,19.699
414.31,44.275
414.67,57.344
415.03,12.287
415.38,-7.4108
415.74,-29.647
416.09,-0.19417
416.45,-39.008
416.8,45.253
417.16,103.96
417.51,58.904
417.87,19.894
418.23,9.7533
418.58,92.06
418.94,39.79
419.29,-34.523
419.65,-10.923
420,3.9008
420.36,43.887
420.71,-10.923
421.07,17.556
421.42,-33.743
421.78,0.39
422.13,27.306
422.49,-6.6292
422.84,9.7525
423.2,43.103
423.55,0.77833
423.91,-3.9017
424.26,-44.86
424.61,-0.0016667
424.97,-46.81
425.32,32.768
425.68,5.46
426.03,23.601
426.39,-33.159
426.74,6.2408
427.1,57.54
427.45,4.29
427.8,-24.186
428.16,-21.843
428.51,-15.994
428.87,40.959
429.22,-7.0217
429.58,-21.457
429.93,-1.9525
430.28,-12.288
430.64,56.171
430.99,7.2175
431.35,70.218
431.7,35.11
432.05,16.191
432.41,32.376
432.76,-29.254
433.11,-2.7317
433.47,7.4117
433.82,32.182
434.17,-1.1708
434.53,-27.307
434.88,-1.9517
435.24,7.8008
435.59,-13.654
435.94,13.068
436.3,-11.312
436.65,-45.251
437,-77.239
437.35,-88.548
437.71,-56.561
438.06,68.072
438.41,63.194
438.77,43.106
439.12,20.479
439.47,16.774
439.83,-31.598
440.18,11.313
440.53,-22.236
440.88,-66.899
441.24,-6.2408
441.59,39.984
441.94,37.448
442.3,-11.313
442.65,15.409
443,8.9725
443.35,-79.191
443.71,-20.09
444.06,10.923
444.41,-40.569
444.76,-55.196
445.11,-27.305
445.47,-22.628
445.82,-40.375
446.17,-42.131
446.52,-11.117
446.88,39.401
447.23,-28.865
447.58,-22.039
447.93,0.19583
448.28,-90.503
448.63,-110.2
448.99,-30.038
449.34,13.849
449.69,32.18
450.04,30.818
450.39,32.768
450.74,30.818
451.1,-31.595
451.45,1.56
451.8,-24.966
452.15,76.065
452.5,3.51
452.85,-7.4117
453.21,-81.919
453.56,-69.436
453.91,-30.037
454.26,0.97333
454.61,-9.9458
454.96,15.214
455.31,-12.483
455.66,20.871
456.01,8.5825
456.36,7.4117
456.72,-55.198
457.07,-28.671
457.42,-18.334
457.77,-18.333
458.12,21.649
458.47,-7.6067
458.82,51.493
459.17,39.011
459.52,-27.698
459.87,-53.052
460.22,-36.279
460.57,32.377
460.92,-14.431
461.27,23.795
461.62,-15.212
461.97,0.19417
462.32,59.878
462.67,-54.612
463.02,58.708
463.38,-3.1217
463.73,-30.817
464.08,9.3625
464.43,75.678
464.78,23.991
465.12,-3.5108
465.47,42.323
465.82,47.592
466.17,-14.236
466.52,-22.233
466.87,24.382
467.22,27.891
467.57,7.0208
467.92,-1.56
468.27,-53.833
468.62,-109.22
468.97,63.976
469.32,-8.1925
469.67,42.325
470.02,-2.1442
470.37,3.9
470.72,-51.882
471.07,64.562
471.42,-33.548
471.76,-17.748
472.11,20.285
472.46,-11.897
472.81,-65.533
473.16,2.9233
473.51,43.495
473.86,23.99
474.21,-65.729
474.56,32.572
474.9,-8.5817
475.25,-3.5092
475.6,-16.581
475.95,34.133
476.3,-14.043
476.65,-11.314
477,-24.965
477.34,-51.298
477.69,-22.823
478.04,26.915
478.39,-3.3167
478.74,18.332
479.09,11.701
479.43,-69.241
479.78,-8.3875
480.13,-34.527
480.48,-45.445
480.83,16.968
481.17,31.596
481.52,13.849
481.87,13.26
482.22,-23.404
482.57,16.579
482.91,-45.833
483.26,19.113
483.61,8.3867
483.96,26.525
484.3,73.336
484.65,595.08
485,72.36
485.35,-57.146
485.69,-33.158
486.04,41.742
486.39,45.445
486.74,-21.064
487.08,-27.696
487.43,15.799
487.78,34.911
488.12,-49.151
488.47,-9.7533
488.82,-38.423
489.17,13.653
489.51,-25.16
489.86,-17.552
490.21,-4.6817
490.55,20.48
490.9,-37.059
491.25,30.036
491.59,27.89
491.94,34.133
492.29,-4.6817
492.63,-28.67
492.98,31.987
493.33,-11.118
493.67,-23.991
494.02,10.533
494.37,8.1908
494.71,-67.093
495.06,25.355
495.4,-64.952
495.75,-33.158
496.1,-43.104
496.44,-50.711
496.79,-49.151
497.13,-4.4858
497.48,-72.36
497.83,69.045
498.17,-22.626
498.52,31.987
498.86,19.115
499.21,12.092
499.56,4.485
499.9,58.904
500.25,22.626
500.59,16.578
500.94,-27.108
501.28,49.931
501.63,12.874
501.97,-0.585
502.32,63.388
502.67,-6.2417
503.01,14.239
503.36,-17.943
503.7,53.247
504.05,49.346
504.39,20.675
504.74,-22.624
505.08,12.678
505.43,36.278
505.77,32.572
506.12,38.814
506.46,-16.382
506.81,30.426
507.15,22.43
507.49,10.142
507.84,25.748
508.18,-20.286
508.53,33.744
508.87,-42.91
509.22,-29.451
509.56,0
509.91,-15.019
510.25,40.179
510.6,4.2908
510.94,2.145
511.28,18.92
511.63,89.721
511.97,46.809
512.32,23.602
512.66,-0.39
513,-0.77833
513.35,-70.412
513.69,-17.552
514.04,36.278
514.38,-22.432
514.72,59.295
515.07,39.398
515.41,-2.3417
515.76,1.3642
516.1,2.1458
516.44,32.767
516.79,-45.834
517.13,86.794
517.47,-42.715
517.82,-44.666
518.16,37.837
518.5,21.066
518.85,-5.2667
519.19,-20.675
519.53,-15.798
519.88,30.428
520.22,1.9508
520.56,-6.2417
520.91,40.959
521.25,-35.108
521.59,13.654
521.93,-28.085
522.28,70.606
522.62,-8.5808
522.96,46.226
523.31,-39.203
523.65,37.642
523.99,-8.9725
524.33,-12.093
524.68,-21.845
525.02,-15.406
525.36,42.519
525.7,5.2675
526.05,-3.705
526.39,17.553
526.73,73.335
527.07,-18.92
527.41,10.727
527.76,-14.435
528.1,30.23
528.44,19.114
528.78,-26.914
529.12,-6.2417
529.47,19.114
529.81,42.91
530.15,-26.136
530.49,10.728
530.83,72.752
531.18,-16.189
531.52,-41.156
531.86,5.6558
532.2,-48.176
532.54,14.238
532.88,-4.29
533.22,-14.238
533.57,8.1908
533.91,2.3392
534.25,19.698
534.59,-18.723
534.93,-25.552
535.27,-6.6317
535.61,15.994
535.95,33.74
536.3,-14.433
536.64,35.302
536.98,24.186
537.32,-11.703
537.66,-9.3625
538,-8.3858
538.34,20.09
538.68,8.3858
539.02,6.6317
539.36,30.427
539.7,18.333
540.04,-14.433
540.39,34.522
540.73,44.862
541.07,34.134
541.41,-54.612
