wavelength,intensity
178.76,1695.5
179.14,1695.5
179.52,1695.5
179.9,1656.5
180.28,11312
180.66,6320.4
181.04,9871.8
181.42,7697.4
181.8,6452.1
182.18,11419
182.55,6046.2
182.93,7564
183.31,7272
183.69,8197.9
184.07,8477
184.45,7300.5
184.83,7591.9
185.21,6800
185.59,7013.8
185.97,17178
186.35,12431
186.72,7296
187.1,7498.1
187.48,12124
187.86,9408.4
188.24,6884.3
188.62,6356.9
189,11342
189.38,8207.5
189.75,8233.8
190.13,8263.8
190.51,6516.6
190.89,15790
191.27,21909
191.65,7223.7
192.03,8100.2
192.4,10679
192.78,7890.3
193.16,9079.5
193.54,12818
193.92,11292
194.3,6892.1
194.67,9905.9
195.05,8742.5
195.43,7531.6
195.81,7228.9
196.19,11118
196.56,8012.2
196.94,7583.1
197.32,12026
197.7,6785.6
198.08,8893.8
198.45,6945.9
198.83,7822.7
199.21,7033.5
199.59,12841
199.97,8430
200.34,6049.9
200.72,6825.4
201.1,14568
201.48,10325
201.85,6586.5
202.23,7112.5
202.61,6745.2
202.99,16780
203.36,6753.4
203.74,9428.3
204.12,7450.1
204.49,6679.3
204.87,9122.6
205.25,7366.8
205.63,5932.1
206,6613.4
206.38,8100.2
206.76,10006
207.14,6755
207.51,6076
207.89,11201
208.27,6559.4
208.64,5514.1
209.02,6834.4
209.4,7262.5
209.77,5813.3
210.15,15279
210.53,6061.2
210.9,12015
211.28,6402.3
211.66,12533
212.03,6730.6
212.41,6025.1
212.79,7387.9
213.16,6129.7
213.54,7926.8
213.92,8153.8
214.29,5732.9
214.67,6818.4
215.05,7086
215.42,9670.7
215.8,6990.8
216.17,6898.3
216.55,8067.6
216.93,5997.8
217.3,9341.9
217.68,6545.5
218.05,6945.5
218.43,6747.2
218.81,7024.1
219.18,11596
219.56,6949.8
219.93,6784.6
220.31,6769.6
220.69,6046.8
221.06,6344.6
221.44,7967
221.81,6459.9
222.19,5839.1
222.56,6270.7
222.94,7122.1
223.32,7930.3
223.69,6490.5
224.07,9265.4
224.44,10267
224.82,7822.7
225.19,8808.8
225.57,7808
225.94,6920.6
226.32,7504.7
226.69,12728
227.07,8940.1
227.44,6952
227.82,8169.8
228.19,7248.2
228.57,8990.6
228.94,12174
229.32,9968
229.69,9235.6
230.07,7014.6
230.44,6368.6
230.82,11370
231.19,9789.5
231.57,5750.7
231.94,5942.8
232.32,15815
232.69,7482.1
233.07,7785.8
233.44,7097.9
233.82,7153.5
234.19,7752.1
234.57,10444
234.94,6615.3
235.31,6975.6
235.69,7418.3
236.06,7779.2
236.44,8985.3
236.81,6059.3
237.19,8140.6
237.56,12176
237.93,6617.9
238.31,7983.6
238.68,7171.8
239.06,7824
239.43,9117
239.81,8434.5
240.18,6150.5
240.55,6449.7
240.93,13376
241.3,7983.8
241.67,7379.7
242.05,8956.6
242.42,9956.4
242.8,6017.3
243.17,8086.7
243.54,7896
243.92,9606.3
244.29,7283.6
244.66,7856.4
245.04,10540
245.41,16773
245.78,6110.7
246.16,7008
246.53,9164.2
246.9,7289.2
247.28,13811
247.65,7233.6
248.02,7379.7
248.4,10293
248.77,7798.9
249.14,8716.7
249.52,7122.8
249.89,8733.3
250.26,6381.5
250.64,7714
251.01,15929
251.38,5920.8
251.75,7626.6
252.13,6930.9
252.5,9408.6
252.87,13944
253.25,6125.6
253.62,8233.6
253.99,6011.7
254.36,9700.4
254.74,6793.4
255.11,6339.3
255.48,5727.7
255.85,14813
256.23,5889.6
256.6,5544.3
256.97,7089.5
257.34,8377
257.71,7862.4
258.09,7004.6
258.46,7997.4
258.83,11887
259.2,10011
259.58,7275.6
259.95,7634.4
260.32,9708.9
260.69,6166.9
261.06,11538
261.44,6414.8
261.81,13705
262.18,8105.5
262.55,6578.1
262.92,7525.6
263.29,6750.5
263.67,5903.6
264.04,6825
264.41,7067.2
264.78,6688.9
265.15,10602
265.52,12869
265.9,7723.2
266.27,6626.3
266.64,5923.9
267.01,5630.9
267.38,8313.6
267.75,6352
268.12,5435.3
268.5,7236.7
268.87,6493.8
269.24,6051.3
269.61,7919
269.98,8440.8
270.35,8240.6
270.72,6357.9
271.09,7146
271.46,6821.3
271.83,8160.7
272.21,9529.9
272.58,6175.9
272.95,6555.5
273.32,7561.1
273.69,7527
274.06,5752.5
274.43,6367.2
274.8,7282.8
275.17,8073.5
275.54,15155
275.91,7584.3
276.28,7514.9
276.65,7840.2
277.02,11511
277.39,6378
277.76,6345.6
278.13,8637
278.5,9078.4
278.87,10779
279.24,9464.7
279.61,8616.5
279.98,11826
280.35,6559
280.72,7745.8
281.09,7206.9
281.46,7587.2
281.83,6297
282.2,8121.9
282.57,6646.1
282.94,8272.2
283.31,6701.7
283.68,8027.3
284.05,5819.4
284.42,5601.7
284.79,7900.1
285.16,8691.2
285.53,7479.4
