wavelength,intensity
178.76,1716
179.14,1716
179.52,1716
179.9,1648.9
180.28,11195
180.66,6225.4
181.04,9638.7
181.42,7558
181.8,6377.2
182.18,11287
182.55,6004.3
182.93,7503.4
183.31,7218.2
183.69,8059.6
184.07,8364.3
184.45,7125.8
184.83,7483.5
185.21,6675.6
185.59,6922.1
185.97,16845
186.35,12221
186.72,7196.8
187.1,7379.3
187.48,11932
187.86,9297
188.24,6799.3
188.62,6317.5
189,11147
189.38,8075.6
189.75,8175.1
190.13,8096.3
190.51,6401.4
190.89,15499
191.27,21549
191.65,7131.2
192.03,7952.8
192.4,10441
192.78,7807.6
193.16,8942.8
193.54,12605
193.92,11089
194.3,6800
194.67,9730.8
195.05,8593.7
195.43,7467.5
195.81,7110.2
196.19,10997
196.56,7856.8
196.94,7453.8
197.32,11910
197.7,6633.1
198.08,8820.7
198.45,6832.4
198.83,7787
199.21,6909.3
199.59,12669
199.97,8287.4
200.34,5977.7
200.72,6789.9
201.1,14366
201.48,10196
201.85,6518.4
202.23,6977.5
202.61,6667
202.99,16431
203.36,6690.8
203.74,9256.4
204.12,7311.8
204.49,6634.6
204.87,8974.4
205.25,7309.9
205.63,5865
206,6538.3
206.38,8024.1
206.76,9799
207.14,6645.6
207.51,6030.8
207.89,11005
208.27,6506.3
208.64,5499.5
209.02,6761
209.4,7148.4
209.77,5778.8
210.15,14760
210.53,6001.5
210.9,11798
211.28,6295.3
211.66,12315
212.03,6638.5
212.41,6007.4
212.79,7240.8
213.16,6082.7
213.54,7821.7
213.92,8051.8
214.29,5716
214.67,6725.5
215.05,6960.4
215.42,9521.7
215.8,6927.2
216.17,6869.9
216.55,7954.3
216.93,5866.9
217.3,9156.6
217.68,6472.4
218.05,6882
218.43,6625.3
218.81,6959.2
219.18,11444
219.56,6875.7
219.93,6733.7
220.31,6682.6
220.69,6004.3
221.06,6243.4
221.44,7851.3
221.81,6400.2
222.19,5769.8
222.56,6199.3
222.94,6930.3
223.32,7773.7
223.69,6406
224.07,9111.3
224.44,10183
224.82,7687.9
225.19,8701.3
225.57,7652.8
225.94,6884.7
226.32,7378.1
226.69,12489
227.07,8801.2
227.44,6852.7
227.82,8070.2
228.19,7146.4
228.57,8912
228.94,11935
229.32,9811.9
229.69,9123.4
230.07,6869.9
230.44,6273.4
230.82,11166
231.19,9662.1
231.57,5697.3
231.94,5865.4
232.32,15529
232.69,7378.1
233.07,7694.9
233.44,7015
233.82,6998.2
234.19,7591.5
234.57,10261
234.94,6564.8
235.31,6805.1
235.69,7384
236.06,7673.4
236.44,8860.5
236.81,6006.2
237.19,8080.3
237.56,11979
237.93,6533.2
238.31,7845.1
238.68,7075.1
239.06,7706.2
239.43,9016.5
239.81,8264.8
240.18,6072.5
240.55,6331.9
240.93,13186
241.3,7899.3
241.67,7310.3
242.05,8787.2
