wavelength,intensity
200.34,0
200.72,0
201.1,0
201.48,0
201.85,0
202.23,0
202.61,0
202.99,-0
203.36,-0
203.74,0
204.12,0
204.49,0
204.87,0
205.25,-0
205.63,0
206,0
206.38,-0
206.76,0
207.14,0
207.51,-0
207.89,0
208.27,-0
208.64,0
209.02,0
209.4,0
209.77,-0
210.15,9.7556e+11
210.53,3.5076e+13
210.9,3.5076e+13
211.28,8.3974e+13
211.66,8.3974e+13
212.03,8.3974e+13
212.41,3.5076e+13
212.79,3.2361e+13
213.16,2.7582e+13
213.54,1.345e+13
213.92,1.345e+13
214.29,-1.0672e+13
214.67,-3.6489e+13
215.05,-3.6489e+13
215.42,6.2576e+12
215.8,3.6368e+13
216.17,3.6368e+13
216.55,3.6368e+13
216.93,3.6368e+13
217.3,1.4656e+12
217.68,-4.727e+13
218.05,-3.0653e+13
218.43,-3.0653e+13
218.81,-3.0653e+13
219.18,-3.1221e+13
219.56,-3.1221e+13
219.93,-5.958e+13
220.31,-4.8909e+13
220.69,-4.8909e+13
221.06,-2.2448e+13
221.44,-1.3622e+13
221.81,-5.0356e+12
222.19,7.6284e+12
222.56,7.6284e+12
222.94,7.6284e+12
223.32,7.6284e+12
223.69,4.5295e+13
224.07,7.172e+13
224.44,7.172e+13
224.82,7.3081e+13
225.19,7.172e+13
225.57,6.9194e+13
225.94,5.2838e+13
226.32,5.2838e+13
226.69,5.2838e+13
227.07,1.4176e+13
227.44,1.4176e+13
227.82,2.1868e+12
228.19,2.1868e+12
228.57,2.1868e+12
228.94,2.1868e+12
229.32,1.4385e+13
229.69,7.2897e+12
230.07,7.2897e+12
230.44,1.4385e+13
230.82,1.4385e+13
231.19,7.2897e+12
231.57,-2.9985e+12
231.94,-2.9985e+12
232.32,-2.9985e+12
232.69,-2.9985e+12
233.07,-2.9985e+12
233.44,-1.5575e+13
233.82,1.8521e+13
234.19,-1.5575e+13
234.57,-2.5778e+13
234.94,-3.1025e+13
235.31,-3.1025e+13
