wavelength,intensity
178.76,1.5633
179.14,1.5633
179.52,1.5633
179.9,31.21
180.28,-180.61
180.66,5.07
181.04,108.83
181.42,18.337
181.8,-19.505
182.18,-94.013
182.55,-59.293
182.93,-53.833
183.31,-71.778
183.69,17.163
184.07,-22.625
184.45,29.645
184.83,-42.128
185.21,56.953
185.59,-17.163
185.97,-63.585
186.35,-17.942
186.72,-14.042
187.1,8.9717
187.48,-26.525
187.86,-34.722
188.24,-3.9033
188.62,-90.89
189,-11.315
189.38,5.8483
189.75,-86.598
190.13,40.96
190.51,60.853
190.89,-18.332
191.27,-76.458
191.65,-12.873
192.03,35.105
192.4,81.92
192.78,-19.503
193.16,10.142
193.54,-68.655
193.92,11.702
194.3,7.4117
194.67,25.745
195.05,38.228
195.43,-78.018
195.81,-10.922
196.19,7.4117
196.56,62.023
196.94,29.253
197.32,-60.073
197.7,75.288
198.08,-69.827
198.45,50.71
198.83,-34.717
199.21,62.802
199.59,-62.025
199.97,54.218
200.34,-8.9717
200.72,-24.185
201.1,-108.06
201.48,-17.165
201.85,21.067
202.23,11.702
202.61,5.85
202.99,-23.403
203.36,-41.35
203.74,35.497
204.12,14.045
204.49,-19.892
204.87,8.9733
205.25,-39.397
205.63,-2.7333
206,17.162
206.38,-56.173
206.76,25.743
207.14,39.007
207.51,-4.6817
207.89,-5.07
208.27,-25.745
208.64,-51.492
209.02,33.157
209.4,21.065
209.77,-9.7533
210.15,643.65
210.53,0.39
210.9,23.015
211.28,20.287
211.66,39.787
212.03,14.825
212.41,-0.77833
212.79,71.383
213.16,-14.043
213.54,-4.29
213.92,-35.89
214.29,-53.44
214.67,15.213
215.05,8.1933
215.42,12.485
215.8,-15.603
216.17,-62.805
216.55,12.482
216.93,41.353
217.3,46.03
217.68,-12.483
218.05,-42.52
218.43,83.088
218.81,-32.378
219.18,-56.173
219.56,-7.8
219.93,-40.182
220.31,-1.9467
220.69,-8.58
221.06,33.157
221.44,-36.67
221.81,-29.255
222.19,8.1917
222.56,-1.9517
222.94,124.05
223.32,31.6
223.69,32.377
224.07,-21.455
224.44,-125.61
224.82,33.548
225.19,32.768
225.57,60.468
225.94,-21.07
226.32,54.225
226.69,33.938
227.07,-12.097
227.44,19.893
227.82,-5.0717
228.19,-38.228
228.57,-43.298
228.94,69.437
229.32,7.805
229.69,-69.828
230.07,64.365
230.44,38.228
230.82,8.9717
231.19,0.39
231.57,-34.325
231.94,27.303
232.32,-4.2917
232.69,-17.555
233.07,-48.758
233.44,-40.18
233.82,80.747
234.19,32.77
234.57,37.84
234.94,-17.162
235.31,37.057
235.69,-74.898
236.06,-27.305
236.44,-47.985
236.81,-32.765
237.19,-58.905
237.56,-5.4583
237.93,-3.1217
238.31,0.39167
238.68,-10.147
239.06,16.385
239.43,-21.063
239.81,88.163
240.18,-12.095
240.55,32.767
240.93,-108.83
241.3,-38.617
241.67,-64.757
242.05,-1.5617
242.42,26.917
242.8,-9.3633
243.17,37.058
243.54,-33.937
243.92,-17.553
244.29,82.698
244.66,-19.503
245.04,-41.35
245.41,22.233
245.78,-14.432
246.16,-53.055
246.53,-64.755
246.9,-35.888
247.28,-49.93
247.65,55.003
248.02,-4.68
248.4,-15.212
248.77,-36.668
249.14,-4.2917
249.52,-20.282
249.89,66.315
250.26,-8.1917
250.64,39.008
251.01,-108.44
251.38,-9.7517
251.75,31.988
252.13,-23.013
252.5,-45.642
252.87,-0.39167
253.25,23.013
253.62,-6.6267
253.99,7.41
254.36,17.165
254.74,-8.1917
255.11,56.563
255.48,78.017
255.85,26.917
256.23,38.23
256.6,27.698
256.97,-31.598
257.34,-72.168
257.71,7.4117
258.09,-20.285
258.46,-60.072
258.83,108.45
259.2,-10.143
259.58,61.633
259.95,14.045
260.32,-49.543
260.69,0
261.06,-40.962
261.44,-10.922
261.81,-45.25
262.18,-3.9017
262.55,-40.962
262.92,-48.37
263.29,11.7
263.67,-13.262
264.04,-7.8017
264.41,57.342
264.78,101.03
265.15,-11.7
265.52,-74.508
265.9,110.78
266.27,5.0733
266.64,-4.29
267.01,47.98
267.38,11.7
267.75,54.613
268.12,31.21
268.5,55.782
268.87,52.272
269.24,-25.358
269.61,35.5
269.98,-56.172
270.35,-23.792
270.72,51.882
271.09,-19.505
271.46,42.127
271.83,-73.728
272.21,-53.832
272.58,36.278
272.95,78.407
273.32,59.295
273.69,22.622
274.06,28.475
274.43,53.442
274.8,63.973
275.17,41.74
275.54,-1165.2
275.91,8.1933
276.28,44.078
276.65,101.03
277.02,-67.875
277.39,-23.797
277.76,51.488
278.13,-49.932
278.5,81.918
278.87,102.2
279.24,102.2
279.61,63.58
279.98,-62.417
280.35,-37.448
280.72,-24.575
281.09,-19.503
281.46,4.6833
281.83,-76.848
282.2,-46.03
282.57,-4.2917
282.94,-102.21
283.31,25.747
283.68,17.945
284.05,40.96
284.42,38.227
284.79,-21.065
285.16,-71.39
285.53,74.898
285.9,36.278
286.27,-170.86
286.64,-28.477
287.01,45.252
287.38,72.555
287.75,-94.793
288.12,-41.352
288.49,35.883
288.86,7.8033
289.23,24.965
289.59,-4.68
289.96,24.183
290.33,37.447
290.7,-94.79
291.07,-12.875
291.44,52.27
291.81,23.795
292.18,21.457
292.55,45.25
292.91,-31.207
293.28,52.27
293.65,104.54
294.02,-6.6333
