wavelength,intensity
178.76,1717.6
179.14,1717.6
179.52,1717.6
179.9,1680.1
180.28,11014
180.66,6230.5
181.04,9747.6
181.42,7576.3
181.8,6357.7
182.18,11193
182.55,5945
182.93,7449.5
183.31,7146.4
183.69,8076.8
184.07,8341.7
184.45,7155.4
184.83,7441.3
185.21,6732.6
185.59,6905
185.97,16781
186.35,12203
186.72,7182.7
187.1,7388.3
187.48,11905
187.86,9262.3
188.24,6795.4
188.62,6226.6
189,11136
189.38,8081.5
189.75,8088.5
190.13,8137.3
190.51,6462.2
190.89,15481
191.27,21472
191.65,7118.3
192.03,7987.9
192.4,10523
192.78,7788.1
193.16,8952.9
193.54,12536
193.92,11101
194.3,6807.4
194.67,9756.5
195.05,8631.9
195.43,7389.5
195.81,7099.2
196.19,11005
196.56,7918.8
196.94,7483.1
197.32,11850
197.7,6708.4
198.08,8750.9
198.45,6883.1
198.83,7752.2
199.21,6972.1
199.59,12607
199.97,8341.7
200.34,5968.8
200.72,6765.7
201.1,14258
201.48,10179
201.85,6539.5
202.23,6989.2
202.61,6672.9
202.99,16407
203.36,6649.5
203.74,9291.9
204.12,7325.9
204.49,6614.7
204.87,8983.4
205.25,7270.5
205.63,5862.3
206,6555.4
206.38,7968
206.76,9824.8
207.14,6684.6
207.51,6026.1
207.89,11000
208.27,6480.6
208.64,5448
209.02,6794.2
209.4,7169.5
209.77,5769
210.15,15404
210.53,6001.9
210.9,11821
211.28,6315.5
211.66,12355
212.03,6653.4
212.41,6006.6
212.79,7312.2
213.16,6068.6
213.54,7817.4
213.92,8015.9
214.29,5662.5
214.67,6740.7
215.05,6968.6
215.42,9534.2
215.8,6911.6
216.17,6807.1
216.55,7966.8
216.93,5908.3
217.3,9202.6
217.68,6459.9
218.05,6839.4
218.43,6708.4
218.81,6926.8
219.18,11388
219.56,6867.9
219.93,6693.5
220.31,6680.7
220.69,5995.7
221.06,6276.5
221.44,7814.7
221.81,6370.9
222.19,5778
222.56,6197.3
222.94,7054.4
223.32,7805.3
223.69,6438.4
224.07,9089.9
224.44,10057
224.82,7721.4
225.19,8734.1
225.57,7713.2
225.94,6863.6
226.32,7432.4
226.69,12523
227.07,8789.1
227.44,6872.6
227.82,8065.1
228.19,7108.2
228.57,8868.7
228.94,12005
229.32,9819.7
229.69,9053.6
230.07,6934.2
230.44,6311.6
230.82,11174
231.19,9662.5
231.57,5662.9
231.94,5892.7
232.32,15525
232.69,7360.6
233.07,7646.1
233.44,6974.8
233.82,7078.9
234.19,7624.3
234.57,10299
234.94,6547.6
235.31,6842.2
235.69,7309.1
236.06,7646.1
236.44,8812.5
236.81,5973.4
237.19,8021.4
237.56,11974
237.93,6530.1
238.31,7845.5
238.68,7064.9
239.06,7722.6
239.43,8995.5
239.81,8353
240.18,6060.4
240.55,6364.7
240.93,13077
241.3,7860.7
241.67,7245.5
242.05,8785.6
242.42,9817
242.8,5940.7
243.17,7989.8
243.54,7735.1
243.92,9430.8
244.29,7234.6
244.66,7769.4
245.04,10319
245.41,16399
245.78,6035.5
246.16,6924.5
246.53,9002.9
246.9,7219.8
247.28,13530
247.65,7169.8
248.02,7293.9
248.4,10127
248.77,7697.2
249.14,8576.1
249.52,7017.3
249.89,8647.5
250.26,6309.3
250.64,7617.3
251.01,15584
251.38,5855.2
251.75,7526.8
252.13,6816.8
252.5,9217.8
252.87,13687
253.25,6047.9
253.62,8127.1
253.99,5940.7
254.36,9577.1
254.74,6683.4
255.11,6259.4
255.48,5734.3
255.85,14527
256.23,5866.2
256.6,5536.1
256.97,6994.3
257.34,8255.5
257.71,7733.1
258.09,6902.2
258.46,7851.3
258.83,11710
259.2,9862.6
259.58,7212
259.95,7519.4
260.32,9499.5
260.69,6083.1
261.06,11318
261.44,6342.5
261.81,13487
262.18,7965.2
262.55,6450.1
262.92,7404.3
263.29,6696.7
263.67,5845.5
264.04,6706.4
264.41,6998.2
264.78,6605
265.15,10433
265.52,12623
265.9,7634
266.27,6566.8
266.64,5859.1
267.01,5594.7
267.38,8161.1
267.75,6287.1
268.12,5388.7
268.5,7182.7
268.87,6452.1
269.24,5968
269.61,7746
269.98,8267.6
270.35,8110.7
270.72,6268.7
271.09,7082.9
271.46,6767.3
271.83,8010.9
272.21,9371.1
272.58,6113.9
272.95,6484.5
273.32,7476.8
273.69,7424.6
274.06,5671.1
274.43,6301.1
274.8,7199.1
275.17,7999.2
275.54,13771
275.91,7465.1
276.28,7416.4
276.65,7797.1
277.02,11313
277.39,6288.6
277.76,6255.5
278.13,8474.3
278.5,8935.8
278.87,10591
279.24,9308.7
279.61,8525.8
279.98,11615
280.35,6474.7
280.72,7604
281.09,7127.3
281.46,7490.5
281.83,6225
282.2,7996.4
282.57,6537.9
282.94,8141.2
283.31,6612
283.68,7933.6
284.05,5753.8
284.42,5529.1
284.79,7762.4
285.16,8537.5
285.53,7384
285.9,7412.5
286.27,14960
286.64,5600.9
287.01,6372.9
287.38,8592.5
287.75,59291
288.12,8632.3
288.49,16936
288.86,6057.7
289.23,6154.4
289.59,6285.9
289.96,5982.8
290.33,6439.6
290.7,6605.8
291.07,8490.7
291.44,7955.1
291.81,6081.5
292.18,7456.2
292.55,6754
292.91,12854
293.28,8434.5
293.65,11116
294.02,7913.7
294.39,5688.7
294.76,7059.4
295.13,7484.6
295.5,7096.5
295.86,7084.4
296.23,6494.2
296.6,5857.6
296.97,6529.3
297.34,7086.4
297.71,9013.8
298.07,7389.1
298.44,5442.1
298.81,7982
299.18,7501.8
299.55,10655
299.91,7027.1
300.28,7409.4
300.65,5493.6
301.02,7700
301.39,8269.9
301.75,13617
302.12,8237.9
302.49,7076.6
302.86,10634
303.23,7397.7
303.59,5904
303.96,17496
304.33,9760.4
304.7,15227
305.06,6675.6
305.43,10348
305.8,8367.8
306.17,9070.4
306.53,6374.5
306.9,9584.9
307.27,7313
307.64,10706
308,6517.6
308.37,6502.4
308.74,12247
309.11,8984.1
309.47,6360.8
309.84,5607.9
310.21,7221.7
310.57,7563.4
310.94,6770.8
311.31,7342.3
311.67,7953.9
312.04,5539.3
312.41,9879
312.77,8211
313.14,6337
313.51,6972.1
313.87,6624.1
314.24,6543.7
314.61,6433.7
314.97,6656.5
315.34,7443.3
315.71,5595.8
316.07,9204.2
316.44,5839.6
316.81,8855
317.17,6299.6
317.54,15738
317.91,6537.9
318.27,5462
318.64,6844.9
319,8910
319.37,5603.6
319.74,9492.8
320.1,9670.7
320.47,6740.4
320.83,11027
321.2,7057.9
321.57,6050.3
321.93,6647.1
322.3,7567.7
322.66,6354.6
323.03,8885.1
323.4,8141.2
323.76,6554.3
324.13,6496.9
324.49,5511.6
324.86,19116
325.22,7569.3
325.59,7110.9
325.95,7971.9
326.32,9645.7
326.68,9211.6
327.05,7085.2
327.42,6181.7
327.78,6572.2
328.15,9440.2
328.51,6467.7
328.88,7499.1
329.24,11227
329.61,7328.6
329.97,8740.7
330.34,6466.5
330.7,7431.2
331.07,10926
331.43,8577.3
331.8,13498
332.16,10427
332.52,6201.2
332.89,8349.1
333.25,5533.4
333.62,12589
333.98,7383.2
334.35,6311.3
334.71,7396.5
335.08,5904.8
335.44,12211
335.81,12074
336.17,10275
336.53,7248.2
336.9,6025.3
337.26,8682.6
337.63,13929
337.99,7845.1
338.36,6040.5
338.72,9089.5
339.08,7637.2
339.45,5914.1
339.81,9667.2
340.18,6861.3
340.54,10486
340.9,6403.3
341.27,7110.9
341.63,8423.2
341.99,5364.5
342.36,10575
342.72,6002.3
343.09,10600
343.45,6469.6
343.81,10811
344.18,5694.5
344.54,7128.1
344.9,7861.9
345.27,7435.5
345.63,7112.1
345.99,9019.3
346.36,7461.2
346.72,5987.9
347.08,6173.2
347.45,5614.2
347.81,10094
348.17,7757.7
348.54,5767.1
348.9,9182.3
349.26,9867.7
349.62,10893
349.99,5422.6
350.35,5326.7
350.71,7868.1
351.08,7253.3
351.44,5348.5
351.8,13621
352.16,11771
352.53,6144.7
352.89,8579.2
353.25,11339
353.61,6764.5
353.98,8804.7
354.34,10298
354.7,6588.6
355.06,5301.3
355.43,7337.2
355.79,6873.8
356.15,6821.9
356.51,6099.4
356.88,6188.4
357.24,6874.5
357.6,5664.1
357.96,5346.6
358.32,15777
358.69,5584.5
359.05,8178.2
359.41,7673.1
359.77,5883.3
360.13,6335.8
360.49,6129.5
360.86,9568.5
361.22,11381
361.58,7864.6
361.94,11256
362.3,5938.3
362.66,8561.3
363.03,5338.4
363.39,5239.3
363.75,6225.4
364.11,10185
364.47,6376.8
364.83,10899
365.19,7789.7
365.56,9092.2
365.92,5351.2
366.28,8863.6
366.64,10112
367,5538.9
367.36,5566.2
367.72,10152
368.08,9556
368.44,6546.1
368.8,8397.5
369.17,6643.6
369.53,6849.2
369.89,6086.6
370.25,6189.2
370.61,6310.9
370.97,10946
371.33,6521.5
371.69,12968
372.05,8497.3
372.41,5973
372.77,6667.4
373.13,7722.6
373.49,5201.8
373.85,8150.9
374.21,7605.6
374.57,5914.5
374.93,8869.5
375.29,9319.6
375.65,7679.3
376.01,7437.4
376.37,10463
376.73,8665.8
377.09,5854.5
377.45,10104
377.81,6982.6
378.17,6085
378.53,5274
378.89,8608.5
379.25,11209
379.61,14521
379.97,9538.5
380.33,6578.5
380.69,6268.7
381.05,5771
381.41,9291.5
381.77,7372.3
382.13,8772.3
382.49,15120
382.85,7531.8
383.21,8936.2
383.57,5487.8
383.93,10608
384.28,5272.1
384.64,6696.7
385,7662.9
385.36,7393.4
385.72,9205.7
386.08,6078.8
386.44,8933.4
386.8,9142.1
387.16,12525
387.52,9766.3
387.87,13875
388.23,8104.5
388.59,6326.5
388.95,5632.1
389.31,6874.5
389.67,6855
390.03,6403.7
390.38,6640.1
390.74,5205
391.1,9607.1
391.46,7710.9
391.82,6107.6
392.18,8511.4
392.54,5098.1
392.89,5742.5
393.25,8607.7
393.61,5898.9
393.97,5666.8
394.33,8019.5
394.68,7181.9
395.04,5628.2
395.4,7382.4
395.76,9423
396.12,7664.1
396.47,5889.6
396.83,7216.7
397.19,5676.2
397.55,5854.1
397.9,7432
398.26,7374.6
398.62,5810.8
398.98,5036.1
399.33,6874.5
399.69,25059
400.05,8410.7
400.41,6020.6
400.76,8972.8
401.12,10336
401.48,7970.7
401.84,6098.7
402.19,6540.2
402.55,7935.6
402.91,7291.2
403.26,5387.5
403.62,8486.4
403.98,7211.6
404.34,4864.8
404.69,7188.6
405.05,9279.4
405.41,14535
405.76,5983.2
406.12,6072.9
406.48,6922.1
406.83,6302.3
407.19,8655.3
407.55,8040.5
407.9,14441
408.26,8708.7
408.62,9313.8
408.97,7216.7
409.33,5580.2
409.68,5863
410.04,7831
410.4,6133
410.75,8279.6
411.11,5984.4
411.47,7651.2
411.82,6731.4
412.18,7366.4
412.53,6823.1
412.89,6307.4
413.25,7116
413.6,7337.6
413.96,5357.5
414.31,6488.7
414.67,7616.9
415.03,5423.8
415.38,5767.5
415.74,6551.6
416.09,6649.9
416.45,8653.7
416.8,6079.5
417.16,8649.1
417.51,6885.1
417.87,6532.8
418.23,7808.4
418.58,8298.4
418.94,4979.9
419.29,6126
419.65,7892.7
420,8961.5
420.36,8010.5
420.71,8310.1
421.07,5713.2
421.42,7341.9
421.78,9347.7
422.13,6768.8
422.49,6814.9
422.84,7467.1
423.2,5358.7
423.55,5629.4
423.91,5600.5
424.26,14133
424.61,8363.5
424.97,11558
425.32,6098.7
425.68,6687.7
426.03,7832.6
426.39,10670
426.74,10117
427.1,9630.1
427.45,6228.2
427.8,7795.2
428.16,6995.5
428.51,7033.3
428.87,7863
429.22,9631.3
429.58,10400
429.93,10383
430.28,6103.7
430.64,6383.8
430.99,5343.8
431.35,7734.3
431.7,6681.1
432.05,6925.6
432.41,8374
432.76,7907.9
433.11,8091.6
433.47,7920.4
433.82,10773
434.17,8210.2
434.53,9132.4
434.88,14364
435.24,7845.1
435.59,7469.4
435.94,5718.7
436.3,8360.4
436.65,6502.8
437,9574.7
437.35,16530
437.71,6693.5
438.06,6340.9
438.41,6342.5
438.77,8015.9
439.12,5318.5
439.47,4876.9
439.83,7893.5
440.18,5301.3
440.53,6628
440.88,12448
441.24,8758.7
441.59,5790.5
441.94,6626.1
442.3,8417.7
442.65,12860
443,7075.4
443.35,10608
443.71,6709.5
444.06,9630.1
444.41,8145.8
444.76,11632
445.11,7171.4
445.47,10431
445.82,9235.8
446.17,5953.9
446.52,10545
446.88,7381.7
447.23,5249.4
447.58,8037.4
447.93,6111.9
448.28,30274
448.63,11113
448.99,7033.7
449.34,8605.8
449.69,9060.6
450.04,6482.5
450.39,6419.3
450.74,7138.6
451.1,6970.9
451.45,7251
451.8,7788.9
452.15,10294
