wavelength,intensity
178.76,1668.5
179.14,1668.5
179.52,1668.5
179.9,1634
180.28,11427
180.66,6368.9
181.04,9899.5
181.42,7743.8
181.8,6507.7
182.18,11422
182.55,6012.2
182.93,7649.2
183.31,7355.3
183.69,8203.2
184.07,8523.9
184.45,7263
184.83,7593.4
185.21,6822.3
185.59,7005.6
185.97,17355
186.35,12498
186.72,7279.1
187.1,7508.4
187.48,12163
187.86,9419.3
188.24,6848.4
188.62,6481.3
189,11435
189.38,8225
189.75,8343.3
190.13,8288.2
190.51,6510
190.89,15792
191.27,21970
191.65,7314.2
192.03,8167.1
192.4,10763
192.78,7905.3
193.16,9139.1
193.54,12915
193.92,11370
194.3,6926.3
194.67,9961.7
195.05,8699.8
195.43,7631.2
195.81,7235.9
196.19,11203
196.56,8061.1
196.94,7615.8
197.32,12099
197.7,6795.6
198.08,8948.2
198.45,6929.3
198.83,7897.6
199.21,7045.7
199.59,12797
199.97,8439.3
200.34,6086.4
200.72,6887.5
201.1,14716
201.48,10361
201.85,6601.6
202.23,7134.3
202.61,6774.5
202.99,16935
203.36,6751.8
203.74,9507.6
204.12,7500.1
204.49,6772.2
204.87,9153.2
205.25,7460
205.63,6088.1
206,6615
206.38,8172.5
206.76,9952.6
207.14,6769.8
207.51,6063.7
207.89,11298
208.27,6552.5
208.64,5582.5
209.02,6827
209.4,7249
209.77,5848
210.15,16167
210.53,6077
210.9,11992
211.28,6409.4
211.66,12542
212.03,6745.8
212.41,6116.8
212.79,7402.1
213.16,6121.8
213.54,7897.3
213.92,8198.9
214.29,5790.5
214.67,6782.9
215.05,7071.4
215.42,9726.6
215.8,7036.3
216.17,6943.4
216.55,8130.7
216.93,6018.5
217.3,9237.8
217.68,6613
218.05,6967.1
218.43,6767.8
218.81,7053
219.18,11607
219.56,6954.7
219.93,6812.6
220.31,6792.9
220.69,6100.8
221.06,6332.2
221.44,7998.3
221.81,6407.7
222.19,5804.5
222.56,6278.7
222.94,7021.6
223.32,7936.1
223.69,6513
224.07,9274.9
224.44,10320
224.82,7858.2
225.19,8845.6
225.57,7750.9
225.94,6919.3
226.32,7572.6
226.69,12815
227.07,8961.9
227.44,6965.8
227.82,8246.7
228.19,7247
228.57,9075.9
228.94,12253
229.32,9996.1
229.69,9294.6
230.07,7032
230.44,6359.2
230.82,11422
231.19,9767.1
231.57,5773.1
231.94,5959.7
232.32,15915
232.69,7496.4
233.07,7825.4
233.44,7070.1
233.82,7154
234.19,7775.6
234.57,10530
234.94,6677.9
235.31,6918
235.69,7459.6
236.06,7825.1
236.44,8968.9
236.81,6050.6
237.19,8230
237.56,12220
237.93,6636.8
238.31,7942.8
238.68,7217.5
239.06,7878.6
239.43,9141.1
239.81,8409.2
240.18,6144.6
240.55,6479.9
240.93,13434
241.3,8040.4
241.67,7394.8
242.05,9032.1
242.42,9908.5
242.8,6057.3
243.17,8122.7
243.54,7944.4
243.92,9607.9
244.29,7380.7
244.66,7836.4
245.04,10620
245.41,16923
245.78,6148.9
246.16,7037
246.53,9225.7
246.9,7328.6
247.28,13870
247.65,7288.8
248.02,7386.4
248.4,10382
248.77,7819.4
249.14,8744.2
249.52,7141.6
249.89,8799.4
250.26,6412.1
250.64,7739.1
251.01,16587
251.38,5986.1
251.75,7695.3
252.13,6897.9
252.5,9420.3
252.87,13922
253.25,6129.2
253.62,8269.1
253.99,5986.4
254.36,9701.2
254.74,6773.8
255.11,6295.7
255.48,5742.3
255.85,14879
256.23,5920.2
256.6,5554.8
256.97,7148.7
257.34,8484.8
257.71,7960.2
258.09,6968.8
258.46,8092.2
258.83,11895
259.2,10127
259.58,7218.5
259.95,7610.1
260.32,9771.4
260.69,6205.1
261.06,11556
261.44,6417.7
261.81,13728
262.18,8162.8
262.55,6593.6
262.92,7564.9
263.29,6815
263.67,5915.2
264.04,6829.7
264.41,7072.4
264.78,6735.4
265.15,10686
265.52,13006
265.9,7719.4
266.27,6638.1
266.64,5920.6
267.01,5656.7
267.38,8306.9
267.75,6268.6
268.12,5458.5
268.5,7245
268.87,6514.7
269.24,6107.1
269.61,7982.9
269.98,8542
270.35,8381.8
270.72,6321.8
271.09,7166.1
271.46,6835.7
271.83,8182.5
272.21,9543.4
272.58,6198.7
272.95,6548.2
273.32,7522.5
273.69,7578
274.06,5771.8
274.43,6420.1
274.8,7304.8
275.17,8098.9
275.54,15602
275.91,7594
276.28,7562.6
276.65,7847.2
277.02,11629
277.39,6427.4
277.76,6437.8
278.13,8678
278.5,9112.7
278.87,10777
279.24,9443.7
279.61,8644.3
279.98,11888
280.35,6641.4
280.72,7737.8
281.09,7301.5
281.46,7653.9
281.83,6330.8
282.2,8146.7
282.57,6642.4
282.94,8308.9
283.31,6737.1
283.68,8030.7
284.05,5826.6
284.42,5583.5
284.79,7929.1
285.16,8790.4
285.53,7421.5
285.9,7530.5
286.27,15381
286.64,5692.2
287.01,6459.2
287.38,8707.1
287.75,59962
288.12,8829.8
288.49,17339
288.86,6106.8
289.23,6242.5
289.59,6349.9
289.96,6111.8
290.33,6577.2
290.7,6823
291.07,8691.7
291.44,8116.6
291.81,6131.2
292.18,7569.6
292.55,6860.1
292.91,13118
293.28,8522.6
293.65,11275
294.02,8075.9
294.39,5770.8
294.76,7273.4
295.13,7582.3
295.5,7164.7
295.86,7187.8
296.23,6609.3
296.6,5956.3
296.97,6670.9
297.34,7238.6
297.71,9122.7
298.07,7440.2
298.44,5462.1
298.81,8154.4
299.18,7700
299.55,10949
299.91,7178.1
300.28,7606.4
300.65,5518
301.02,7803
301.39,8360.7
301.75,13837
302.12,8435
302.49,7195.1
302.86,10780
303.23,7546.9
303.59,6048.6
303.96,17937
304.33,9928.2
304.7,15464
305.06,6735.1
305.43,10616
305.8,8539.9
306.17,9258.5
306.53,6477.9
306.9,9736.3
307.27,7471
307.64,10859
308,6677.6
308.37,6535.1
308.74,12562
309.11,9140.8
309.47,6466.9
309.84,5718.3
310.21,7316.9
310.57,7761.6
310.94,6865.5
311.31,7492.1
311.67,8079.5
312.04,5639.4
312.41,10160
312.77,8367.8
313.14,6438.1
313.51,7225.9
313.87,6666.8
314.24,6587.6
314.61,6496.7
314.97,6761.1
315.34,7575
315.71,5736
316.07,9410.6
316.44,6043.3
316.81,9025.8
317.17,6377.6
317.54,16095
317.91,6590.9
318.27,5561.8
318.64,7173.7
319,9079.9
319.37,5659.8
319.74,9676.4
320.1,9933.2
320.47,6836
320.83,11345
321.2,7171.4
321.57,6083.7
321.93,6657.8
322.3,7775.9
322.66,6440.5
323.03,9000
323.4,8226
323.76,6601.7
324.13,6544.5
324.49,5579.2
324.86,19536
325.22,7638.2
325.59,7206.2
325.95,8103.9
326.32,9782.4
326.68,9444.1
327.05,7211.9
327.42,6294.7
327.78,6628.4
328.15,9692.2
328.51,6523.1
328.88,7572.6
329.24,11547
329.61,7445.2
329.97,8926.1
330.34,6581.9
330.7,7555.2
331.07,11193
331.43,8946.5
331.8,13653
332.16,10548
332.52,6299
332.89,8463
333.25,5641.4
333.62,12965
333.98,7366
334.35,6370.3
334.71,7549.9
335.08,5987.4
335.44,12535
335.81,12414
336.17,10463
336.53,7308.5
336.9,6138.6
337.26,8749.3
337.63,13624
337.99,8007
338.36,6171.3
338.72,9243.8
339.08,7714.1
339.45,6019.5
339.81,9934.6
340.18,6958.1
340.54,10797
340.9,6571.9
341.27,7162.7
341.63,8603.5
341.99,5518.3
342.36,10791
342.72,6005.8
343.09,10912
343.45,6521.1
343.81,11070
344.18,5754.7
344.54,7222.6
344.9,8120.3
345.27,7565.6
345.63,7216.2
345.99,9234.1
346.36,7548.2
346.72,6077.4
347.08,6187.4
347.45,5683.2
347.81,10271
348.17,7800.7
348.54,5864.4
348.9,9361.5
349.26,10027
349.62,11153
349.99,5520.3
350.35,5318.4
350.71,7965.8
351.08,7378.4
351.44,5346.1
351.8,13948
352.16,12103
352.53,6239.5
352.89,8750.3
353.25,11512
353.61,6811.6
353.98,8972.3
354.34,10621
354.7,6707.6
355.06,5405
355.43,7431.9
355.79,6958.7
356.15,6911.3
356.51,6100.4
356.88,6276
357.24,6993.5
357.6,5721.3
357.96,5409.6
358.32,16150
358.69,5635.3
359.05,8273.5
359.41,7792
359.77,5990.8
360.13,6423.8
360.49,6250.2
360.86,9798.5
361.22,11659
361.58,8004.6
361.94,11560
362.3,6027.5
362.66,8668.7
363.03,5374.5
363.39,5356.8
363.75,6407
364.11,10466
364.47,6493.7
364.83,11125
365.19,7881.3
365.56,9310.3
365.92,5493.6
366.28,8996
366.64,10328
367,5623.3
367.36,5602.2
367.72,10310
368.08,9793.1
368.44,6730
368.8,8583.4
369.17,6761.1
369.53,7027
369.89,6211.4
370.25,6274
370.61,6431.5
370.97,11286
371.33,6672.9
371.69,13383
372.05,8686.4
372.41,6077
372.77,6770.8
373.13,7850.8
373.49,5277.9
373.85,8222
374.21,7684
374.57,5975.7
374.93,9002
375.29,9515.6
375.65,7775.6
376.01,7496.4
376.37,10661
376.73,8889.4
377.09,5954
377.45,10272
377.81,7108.2
378.17,6213.8
378.53,5307
378.89,8769
379.25,11467
379.61,14836
379.97,9665.7
380.33,6648.8
380.69,6393
381.05,5872.7
381.41,9532.3
381.77,7472
382.13,8923.5
382.49,15619
382.85,7656.2
383.21,9187.3
383.57,5551.1
383.93,11029
384.28,5440.7
384.64,6757.5
385,7846.1
385.36,7540.5
385.72,9418.3
386.08,6180.3
386.44,9287.2
386.8,9230.4
387.16,12840
387.52,10026
387.87,14128
388.23,8263.4
388.59,6374.3
388.95,5663.1
389.31,7024.6
389.67,6996.2
390.03,6461.6
390.38,6714.7
390.74,5248.2
391.1,9832.9
391.46,7843.8
391.82,6238.2
392.18,8677.4
392.54,5100.7
392.89,5839
393.25,8776.7
393.61,5893.1
393.97,5718.6
394.33,8060.5
394.68,7291.4
395.04,5700.2
395.4,7476.7
395.76,9632.3
396.12,7783.3
396.47,5988.1
396.83,7255.3
397.19,5748.4
397.55,5978.7
397.9,7602.4
398.26,7553.9
398.62,5862.4
398.98,5041.5
399.33,7051.7
399.69,26084
400.05,8582.1
400.41,6050.3
400.76,9016.7
401.12,10553
401.48,8105.3
401.84,6275.6
402.19,6634.7
402.55,8124.7
402.91,7463.6
403.26,5477.2
403.62,8672
403.98,7359.6
404.34,4937.5
404.69,7309.2
405.05,9461.4
405.41,14829
405.76,6060.3
406.12,6163.3
406.48,7060.1
406.83,6349.5
407.19,8789.4
407.55,8183.2
407.9,14745
408.26,8781
408.62,9552.1
408.97,7356.6
409.33,5664.4
409.68,5996.8
410.04,7917.7
410.4,6234.9
410.75,8474.1
411.11,6032.9
411.47,7834.1
411.82,6907.9
412.18,7514.8
412.53,7030
412.89,6412.7
413.25,7251.3
413.6,7408.8
413.96,5462.5
414.31,6604.7
414.67,7672.9
415.03,5483.2
415.38,5880.1
415.74,6727.7
416.09,6776.9
416.45,8854.9
416.8,6187.4
417.16,8818.5
417.51,7019.6
417.87,6675.5
418.23,7971.5
418.58,8413.2
418.94,4985.3
419.29,6305.4
419.65,7988.9
420,9092.3
420.36,8138.4
420.71,8462
421.07,5790.8
421.42,7426.2
421.78,9565.8
422.13,6901.6
422.49,6857.4
422.84,7651.2
423.2,5327.1
423.55,5722.9
423.91,5652.1
424.26,14589
424.61,8592.1
424.97,11845
425.32,6193.1
425.68,6818.6
426.03,7872.9
426.39,10915
426.74,10368
427.1,9798.8
427.45,6308.1
427.8,7989.3
428.16,7075.4
428.51,7113.9
428.87,8011.7
429.22,9959
429.58,10604
429.93,10549
430.28,6285.3
430.64,6411.4
430.99,5401.3
431.35,7809.4
431.7,6847.7
432.05,7015.3
432.41,8503.5
432.76,8058.8
433.11,8249
433.47,8033.7
433.82,11023
434.17,8364.4
434.53,9328.7
434.88,14743
435.24,8020.7
435.59,7593
435.94,5758.4
436.3,8538.6
436.65,6619.7
437,9831.3
437.35,16969
437.71,6845.4
438.06,6503.3
438.41,6421.8
438.77,8237.4
439.12,5449.8
439.47,4895.1
439.83,8046.1
440.18,5336.1
440.53,6719.7
440.88,12717
441.24,8977
441.59,5865.7
441.94,6733.4
442.3,8609.2
442.65,13235
443,7128.9
443.35,10866
443.71,6871.8
444.06,9869.7
444.41,8394.5
444.76,11956
445.11,7343.6
