wavelength,intensity
200.34,0
200.72,0
201.1,0
201.48,0
201.85,0
202.23,-0
202.61,-0
202.99,-0
203.36,0
203.74,-0
204.12,-0
204.49,-0
204.87,0
205.25,-0
205.63,-0
206,0
206.38,-0
206.76,0
207.14,-0
207.51,0
207.89,0
208.27,0
208.64,0
209.02,0
209.4,0
209.77,0
210.15,0
210.53,0
210.9,0
211.28,-1.6505e+18
211.66,-3.6005e+18
212.03,-3.6005e+18
212.41,-3.6005e+18
212.79,-2.1112e+18
213.16,-2.1112e+18
213.54,-1.4755e+18
213.92,-2.6653e+18
214.29,-2.6653e+18
214.67,-1.4755e+18
215.05,-7.8313e+17
215.42,3.9556e+17
215.8,3.9556e+17
216.17,3.9556e+17
216.55,1.1321e+18
216.93,1.1321e+18
217.3,1.1321e+18
217.68,1.6371e+18
218.05,1.6371e+18
218.43,1.1321e+18
218.81,1.0997e+18
219.18,8.0955e+17
219.56,8.0955e+17
219.93,1.0997e+18
220.31,1.6047e+18
220.69,1.5544e+18
221.06,1.7288e+18
221.44,1.7288e+18
221.81,1.7288e+18
222.19,1.7288e+18
222.56,1.9342e+18
222.94,2.5278e+18
223.32,1.9342e+18
223.69,1.7288e+18
224.07,1.7288e+18
224.44,1.7001e+18
224.82,-7.5037e+17
225.19,-3.5976e+18
225.57,-3.5976e+18
225.94,-7.5037e+17
226.32,-3.0913e+18
226.69,-3.0913e+18
227.07,-1.2439e+18
227.44,5.6648e+17
227.82,4.1959e+17
228.19,-1.3379e+18
228.57,-1.2195e+17
228.94,4.1959e+17
229.32,4.1959e+17
229.69,4.1959e+17
230.07,4.1959e+17
230.44,2.0254e+17
230.82,-8.857e+16
231.19,-4.1306e+17
231.57,-1.9027e+18
231.94,-4.1306e+17
232.32,-8.857e+16
232.69,-8.6456e+17
233.07,-8.6456e+17
233.44,-1.9425e+18
233.82,-1.9425e+18
234.19,-8.6456e+17
234.57,-1.9425e+18
234.94,-1.0567e+17
235.31,5.347e+16
