wavelength,intensity
178.76,11.371
179.14,11.371
179.52,11.371
179.9,13.377
180.28,12.707
180.66,-6.69
181.04,-27.75
181.42,-29.09
181.8,-39.787
182.18,-9.03
182.55,5.0143
182.93,-65.2
183.31,-23.073
183.69,-68.544
184.07,-14.377
184.45,4.68
184.83,-26.753
185.21,-45.137
185.59,29.76
185.97,-0.67143
186.35,-44.803
186.72,25.411
187.1,-14.379
187.48,-65.867
187.86,-44.47
188.24,26.08
188.62,-33.103
189,-27.084
189.38,16.383
189.75,-60.52
190.13,-81.249
190.51,6.0171
190.89,115.69
191.27,-13.371
191.65,-42.131
192.03,-102.31
192.4,-26.749
192.78,45.139
193.16,-39.12
193.54,-10.7
193.92,-70.55
194.3,32.099
194.67,-80.58
195.05,-14.38
195.43,-65.871
195.81,-16.384
196.19,73.226
196.56,-2.3386
196.94,28.757
197.32,-6.0171
197.7,-49.15
198.08,-86.264
198.45,75.566
198.83,-4.3486
199.21,-22.404
199.59,61.859
199.97,16.716
200.34,-2.0043
200.72,-24.076
201.1,-78.576
201.48,8.36
201.85,-43.464
202.23,-24.747
202.61,-23.74
202.99,-15.714
203.36,-50.826
203.74,-51.827
204.12,-25.414
204.49,-87.603
204.87,51.491
205.25,-45.811
205.63,-143.44
206,59.519
206.38,-40.124
206.76,-76.9
207.14,-3.3414
207.51,35.11
207.89,-71.216
208.27,65.2
208.64,29.09
209.02,51.824
209.4,9.6943
209.77,-39.121
210.15,-650.67
210.53,-15.717
210.9,30.763
211.28,-23.07
211.66,13.376
212.03,25.414
212.41,-69.881
212.79,-15.38
213.16,-21.731
213.54,15.046
213.92,-41.797
214.29,-4.6829
214.67,46.477
215.05,-11.036
215.42,-105.66
215.8,-3.68
216.17,13.711
216.55,47.814
216.93,8.6929
217.3,70.219
217.68,-8.6957
218.05,5.3486
218.43,12.369
218.81,-8.0229
219.18,91.949
219.56,5.6829
219.93,5.0143
220.31,10.031
220.69,-16.717
221.06,97.634
221.44,16.384
221.81,30.761
222.19,14.376
222.56,14.377
222.94,82.256
223.32,-64.864
223.69,-38.786
224.07,34.107
224.44,26.75
224.82,-37.114
225.19,-29.757
225.57,56.506
225.94,16.384
226.32,-40.12
226.69,-57.176
227.07,-94.29
227.44,46.477
227.82,-32.099
228.19,40.457
228.57,5.6814
228.94,7.0214
229.32,3.6771
229.69,-77.237
230.07,-6.6871
230.44,49.151
230.82,-39.454
231.19,64.869
231.57,1.0043
231.94,-51.157
232.32,-3.3429
232.69,-58.179
233.07,-63.861
233.44,17.053
233.82,60.52
234.19,-20.061
234.57,-33.77
234.94,-87.606
235.31,52.494
235.69,33.769
236.06,-50.489
236.44,49.151
236.81,-17.389
237.19,-31.093
237.56,-6.6857
237.93,4.0129
238.31,23.741
238.68,-49.486
239.06,-51.824
239.43,68.879
239.81,-17.387
240.18,-1.0014
240.55,-56.837
240.93,-37.113
241.3,18.723
241.67,-30.426
242.05,-80.58
242.42,91.95
242.8,-19.393
243.17,-33.771
243.54,-39.12
243.92,-30.093
244.29,-21.733
244.66,59.516
245.04,-19.726
245.41,12.036
245.78,-33.771
246.16,6.6871
246.53,-46.811
246.9,-36.111
247.28,-28.423
247.65,-107.33
248.02,-82.923
248.4,-1.819e-12
248.77,-18.054
249.14,-34.441
249.52,45.81
249.89,7.0243
250.26,-13.371
250.64,-11.704
251.01,80.581
251.38,-43.467
251.75,-68.21
252.13,105.66
252.5,-4.6814
252.87,68.546
253.25,-13.039
253.62,-35.777
253.99,0.33429
254.36,30.424
254.74,18.056
255.11,1.0071
255.48,-47.814
255.85,-85.933
256.23,-45.476
256.6,10.364
256.97,-45.143
257.34,-30.43
257.71,-128.73
258.09,128.73
258.46,-55.171
258.83,19.391
259.2,-60.853
259.58,98.304
259.95,-7.0243
260.32,-69.88
260.69,-86.936
261.06,15.714
261.44,82.587
261.81,-17.72
262.18,-23.407
262.55,-6.0171
262.92,5.6843
263.29,-90.944
263.67,-1.3371
264.04,-53.833
264.41,62.524
264.78,-36.781
265.15,-53.494
265.52,10.363
265.9,4.68
266.27,-30.093
266.64,-53.494
267.01,-49.819
267.38,13.709
267.75,-7.6871
268.12,-35.106
268.5,29.09
268.87,22.737
269.24,-56.174
269.61,4.6814
269.98,-31.097
270.35,-83.259
270.72,-5.0143
271.09,45.476
271.46,-44.801
271.83,-62.191
272.21,-25.411
272.58,-53.164
272.95,-4.68
273.32,23.071
273.69,-109.67
274.06,-66.874
274.43,-24.743
274.8,-13.71
275.17,21.064
275.54,126.72
275.91,-5.6814
276.28,-86.264
276.65,-17.389
277.02,-28.423
277.39,-73.227
277.76,-62.524
278.13,-12.37
278.5,-120.04
278.87,11.701
279.24,-66.539
279.61,-13.709
279.98,-21.069
280.35,-52.829
280.72,3.6771
281.09,-21.399
281.46,-56.509
281.83,25.076
282.2,9.36
282.57,-7.0214
282.94,-8.3571
283.31,12.371
283.68,-46.479
284.05,-56.843
284.42,-0.33286
284.79,-57.847
285.16,12.039
285.53,3.6771
285.9,-38.454
286.27,-48.819
286.64,-10.7
287.01,-96.296
287.38,14.044
287.75,-63.53
288.12,-82.251
288.49,-91.949
288.86,0.66571
289.23,-13.709
289.59,-14.376
289.96,-33.439
290.33,-46.144
290.7,-58.18
291.07,-46.809
291.44,31.763
291.81,-16.049
292.18,-35.779
292.55,-108.33
292.91,117.7
293.28,29.421
