wavelength,intensity
178.76,1679.8
179.14,1679.8
179.52,1679.8
179.9,1647.4
180.28,11440
180.66,6362.2
181.04,9871.7
181.42,7714.7
181.8,6467.9
182.18,11413
182.55,6017.2
182.93,7584
183.31,7332.2
183.69,8134.7
184.07,8509.5
184.45,7267.7
184.83,7566.6
185.21,6777.2
185.59,7035.3
185.97,17355
186.35,12453
186.72,7304.5
187.1,7494.1
187.48,12097
187.86,9374.8
188.24,6874.5
188.62,6448.2
189,11408
189.38,8241.4
189.75,8282.8
190.13,8206.9
190.51,6516.1
190.89,15908
191.27,21957
191.65,7272
192.03,8064.8
192.4,10737
192.78,7950.5
193.16,9100
193.54,12904
193.92,11299
194.3,6958.4
194.67,9881.1
195.05,8685.4
195.43,7565.3
195.81,7219.5
196.19,11276
196.56,8058.8
196.94,7644.5
197.32,12093
197.7,6746.4
198.08,8861.9
198.45,7004.9
198.83,7893.3
199.21,7023.3
199.59,12859
199.97,8456
200.34,6084.4
200.72,6863.5
201.1,14637
201.48,10370
201.85,6558.2
202.23,7109.5
202.61,6750.8
202.99,16920
203.36,6701
203.74,9455.8
204.12,7474.7
204.49,6684.6
204.87,9204.7
205.25,7414.1
205.63,5944.6
206,6674.5
206.38,8132.4
206.76,9875.7
207.14,6766.5
207.51,6098.8
207.89,11227
208.27,6617.7
208.64,5611.6
209.02,6878.8
209.4,7258.7
209.77,5808.9
210.15,15516
210.53,6061.3
210.9,12022
211.28,6386.3
211.66,12555
212.03,6771.2
212.41,6046.9
212.79,7386.7
213.16,6100.1
213.54,7912.3
213.92,8157.1
214.29,5785.8
214.67,6829.3
215.05,7060.4
215.42,9620.9
215.8,7032.6
216.17,6957.1
216.55,8178.5
216.93,6027.2
217.3,9308
217.68,6604.3
218.05,6972.5
218.43,6780.2
218.81,7045
219.18,11699
219.56,6960.4
219.93,6817.6
220.31,6802.9
220.69,6084.1
221.06,6429.8
221.44,8014.7
221.81,6438.5
222.19,5818.9
222.56,6293
222.94,7103.9
223.32,7871.2
223.69,6474.3
224.07,9309
224.44,10347
224.82,7821.1
225.19,8815.8
225.57,7807.4
225.94,6935.7
226.32,7532.5
226.69,12758
227.07,8867.6
227.44,7012.2
227.82,8214.6
228.19,7287.4
228.57,9081.6
228.94,12260
229.32,9999.8
229.69,9217.4
230.07,7025.3
230.44,6408.4
230.82,11383
231.19,9831.9
231.57,5774.1
231.94,5908.5
232.32,15912
232.69,7438.2
233.07,7761.6
233.44,7087.1
233.82,7214.5
234.19,7755.5
234.57,10497
234.94,6590.3
235.31,6970.4
235.69,7493.4
236.06,7774.6
236.44,9018.1
236.81,6033.2
237.19,8198.9
237.56,12213
237.93,6640.8
238.31,7966.5
238.68,7168.1
239.06,7826.8
239.43,9210
239.81,8391.8
240.18,6143.6
240.55,6423.1
240.93,13397
241.3,8059.1
241.67,7364.3
242.05,8951.5
242.42,10000
242.8,6037.9
243.17,8088.9
243.54,7905.3
243.92,9577.8
244.29,7359
244.66,7896
245.04,10600
245.41,16935
245.78,6115.2
246.16,7043.7
246.53,9178.9
246.9,7292.4
247.28,13841
247.65,7181.4
248.02,7303.5
248.4,10382
248.77,7801.3
249.14,8709.8
249.52,7187.5
249.89,8806.4
250.26,6398.7
250.64,7727.4
251.01,16667
251.38,5942.6
251.75,7627.1
252.13,7003.6
252.5,9415.6
252.87,13991
253.25,6116.2
253.62,8233.3
253.99,5986.8
254.36,9731.6
254.74,6791.9
255.11,6296.7
255.48,5694.5
255.85,14793
256.23,5874.7
