wavelength,intensity
178.76,2094.3
179.14,2094.3
179.52,2094.3
179.9,2067.6
180.28,5159.5
180.66,3755.9
181.04,4429
181.42,4107.9
181.8,3768.3
182.18,5277.9
182.55,3640.2
182.93,4083.5
183.31,4056.2
183.69,4355.7
184.07,4438.6
184.45,4074.9
184.83,4159.6
185.21,3933.5
185.59,3976.8
185.97,7053.4
186.35,5802.2
186.72,4169.2
187.1,4194.2
187.48,5654
187.86,4895.5
188.24,4061.8
188.62,3939.4
189,5442.7
189.38,4480.5
189.75,4548.8
190.13,4542.7
190.51,4011.9
190.89,6841.9
191.27,8968.7
191.65,4274.8
192.03,4475.8
192.4,5290.8
192.78,4422.7
193.16,4769.1
193.54,5962.7
193.92,5576.3
194.3,4154.9
194.67,5105.6
195.05,4664.7
195.43,4352
195.81,4204.3
196.19,5420.9
196.56,4464.8
196.94,4352
197.32,5779.3
197.7,4084.5
198.08,4767.7
198.45,4106.5
198.83,4402.1
199.21,4174.8
199.59,6054
199.97,4640.1
200.34,3830.8
200.72,4106.7
201.1,6545.1
201.48,5237.9
201.85,4009.1
202.23,4165
202.61,4065
202.99,7151.3
203.36,4103.2
203.74,4864.6
204.12,4309.2
204.49,4019.9
204.87,4829.5
205.25,4263.3
205.63,3798
206,4024.6
206.38,4503.7
206.76,5061.9
207.14,4074.2
207.51,3835.4
207.89,5368.5
208.27,3991.8
208.64,3645.2
209.02,4176.9
209.4,4213.7
209.77,3764.5
210.15,6867.4
210.53,3869.6
210.9,5725.2
211.28,4004
211.66,5945.9
212.03,4097.3
212.41,3876.6
212.79,4208.8
213.16,3848.8
213.54,4425
213.92,4519.6
214.29,3704.8
214.67,4053.6
215.05,4139.9
215.42,4980.2
215.8,4158.9
216.17,4110
216.55,4480.3
216.93,3858.8
217.3,4822.7
217.68,3996.7
218.05,4095
218.43,4006.3
218.81,4085.2
219.18,5592.7
219.56,4105.8
219.93,4062
220.31,4014.3
220.69,3813.7
221.06,3864.2
221.44,4431.6
221.81,3911.7
222.19,3758
222.56,3900.5
222.94,4120
223.32,4402.1
223.69,3976.3
224.07,4831.8
224.44,5188
224.82,4389.4
225.19,4685.8
225.57,4404.7
225.94,4058
226.32,4283.4
226.69,5880.4
227.07,4773.3
227.44,4091.5
227.82,4476.7
228.19,4208
228.57,4760.2
228.94,5724
229.32,5119.5
229.69,4888.2
230.07,4108.8
230.44,3919.9
230.82,5505.2
231.19,5043.4
231.57,3706
231.94,3770.6
232.32,6966.6
232.69,4361.4
233.07,4374.7
233.44,4134.3
233.82,4171.1
234.19,4342.6
234.57,5204.2
234.94,3958.5
235.31,4070.2
235.69,4255.1
236.06,4347.5
236.44,4717.8
236.81,3849.9
237.19,4484.7
237.56,5842.4
237.93,3990.4
238.31,4450.5
238.68,4161.2
239.06,4367
239.43,4767
239.81,4576.2
240.18,3867.7
240.55,3916
240.93,6106.9
241.3,4449.6
241.67,4269.8
242.05,4720.6
242.42,5035.7
242.8,3777.4
243.17,4452.6
243.54,4309.4
243.92,4962.6
244.29,4222.3
244.66,4415
245.04,5217.3
245.41,7312.8
245.78,3885.5
246.16,4119.8
246.53,4802.3
