wavelength,intensity
178.76,-10.298
179.14,-10.298
179.52,-10.298
179.9,14.746
180.28,-15.447
180.66,-32.066
181.04,-24.108
181.42,17.32
181.8,-43.533
182.18,-14.275
182.55,-22.468
182.93,12.405
183.31,5.382
183.69,-10.533
184.07,-5.385
184.45,-6.086
184.83,2.809
185.21,-0.469
185.59,42.364
185.97,42.833
186.35,-22.939
186.72,-13.576
187.1,47.046
187.48,12.873
187.86,-14.277
188.24,9.596
188.62,35.809
189,24.81
189.38,-1.404
189.75,-11.235
190.13,-1.17
190.51,-36.513
190.89,-73.027
191.27,-95.727
191.65,-7.958
192.03,-13.809
192.4,-10.767
192.78,-18.023
193.16,24.105
193.54,-48.449
193.92,-70.45
194.3,-22.236
194.67,-68.81
195.05,18.021
195.43,-52.895
195.81,6.319
196.19,4.914
196.56,11.235
196.94,-21.065
197.32,-36.746
197.7,-1.172
198.08,-14.745
198.45,17.553
198.83,29.023
199.21,-53.364
199.59,19.661
199.97,-14.51
200.34,48.918
200.72,3.043
201.1,-22.234
201.48,-26.214
201.85,-11.936
202.23,-20.598
202.61,-17.789
202.99,-57.343
203.36,-19.193
203.74,-29.257
204.12,-36.746
204.49,24.342
204.87,-23.871
205.25,-22.702
205.63,10.765
206,-30.663
206.38,27.384
206.76,14.51
207.14,-25.513
207.51,6.322
207.89,-18.489
208.27,-7.023
208.64,33.939
209.02,19.425
209.4,-34.405
209.77,-3.041
210.15,-88.47
210.53,-6.786
210.9,-33.704
211.28,-44.471
211.66,-29.491
212.03,-32.064
212.41,-28.088
212.79,14.98
213.16,-38.152
213.54,20.597
213.92,20.596
214.29,20.365
214.67,3.743
215.05,-15.447
215.42,-17.321
215.8,-45.877
216.17,-8.194
216.55,-28.789
216.93,-43.068
217.3,7.023
217.68,-29.726
218.05,-11.236
218.43,33.001
218.81,8.425
219.18,-37.683
219.56,42.598
219.93,-12.871
220.31,42.363
220.69,18.256
221.06,30.429
221.44,-29.024
221.81,22.001
222.19,-9.362
222.56,-40.26
222.94,-2.81
223.32,-21.532
223.69,-28.32
224.07,-18.258
224.44,7.722
224.82,47.981
225.19,-35.11
225.57,-15.68
225.94,54.301
226.32,14.043
226.69,49.385
227.07,-13.341
227.44,34.409
227.82,-13.341
228.19,-24.107
228.57,-35.575
228.94,-28.557
229.32,-59.217
229.69,-1.171
230.07,-10.767
230.44,-10.767
230.82,-11.234
231.19,-23.876
231.57,19.193
231.94,8.66
232.32,-52.894
232.69,-3.045
233.07,-0.935
233.44,13.573
233.82,28.084
234.19,-28.789
234.57,-9.363
234.94,27.15
235.31,-9.596
235.69,-34.871
236.06,-14.51
236.44,-14.041
236.81,-22.235
237.19,-21.767
237.56,-38.853
237.93,-10.531
238.31,-36.045
238.68,18.491
239.06,12.403
239.43,18.724
239.81,8.895
240.18,7.254
240.55,-16.854
240.93,-17.084
241.3,11.937
241.67,-22
242.05,-36.747
242.42,-25.512
242.8,21.533
243.17,11.702
243.54,-38.387
243.92,-26.448
244.29,-20.129
244.66,-21.3
245.04,-30.894
245.41,-61.089
245.78,-25.279
246.16,34.173
246.53,-43.303
246.9,26.915
247.28,-19.19
247.65,-29.026
248.02,23.172
248.4,-5.148
248.77,23.405
249.14,-15.68
249.52,-30.896
249.89,-11.232
250.26,6.554
250.64,-22
251.01,-58.047
251.38,-25.98
251.75,3.509
252.13,15.68
252.5,8.893
252.87,-32.532
253.25,11
253.62,-25.511
253.99,-18.487
254.36,-36.515
254.74,29.023
255.11,37.685
255.48,32.299
255.85,-12.872
256.23,13.576
