wavelength,intensity
178.76,2084
179.14,2084
179.52,2084
179.9,2082.4
180.28,5144
180.66,3723.8
181.04,4404.9
181.42,4125.2
181.8,3724.7
182.18,5263.6
182.55,3617.8
182.93,4095.9
183.31,4061.5
183.69,4345.2
184.07,4433.2
184.45,4068.8
184.83,4162.4
185.21,3933
185.59,4019.2
185.97,7096.3
186.35,5779.2
186.72,4155.6
187.1,4241.3
187.48,5666.9
187.86,4881.2
188.24,4071.4
188.62,3975.2
189,5467.5
189.38,4479.1
189.75,4537.6
190.13,4541.6
190.51,3975.4
190.89,6768.8
191.27,8873
191.65,4266.8
192.03,4462
192.4,5280
192.78,4404.7
193.16,4793.2
193.54,5914.3
193.92,5505.9
194.3,4132.7
194.67,5036.8
195.05,4682.7
195.43,4299.1
195.81,4210.6
196.19,5425.8
196.56,4476
196.94,4330.9
197.32,5742.5
197.7,4083.3
198.08,4752.9
198.45,4124
198.83,4431.1
199.21,4121.4
199.59,6073.7
199.97,4625.6
200.34,3879.7
200.72,4109.7
201.1,6522.8
201.48,5211.7
201.85,3997.2
202.23,4144.4
202.61,4047.3
202.99,7093.9
203.36,4084
203.74,4835.3
204.12,4272.4
204.49,4044.2
204.87,4805.6
205.25,4240.6
205.63,3808.8
206,3993.9
206.38,4531
206.76,5076.4
207.14,4048.7
207.51,3841.8
207.89,5350
208.27,3984.8
208.64,3679.1
209.02,4196.3
209.4,4179.3
209.77,3761.5
210.15,6778.9
210.53,3862.8
210.9,5691.5
211.28,3959.5
211.66,5916.4
212.03,4065.3
212.41,3848.5
212.79,4223.7
213.16,3810.6
213.54,4445.6
213.92,4540.2
214.29,3725.2
214.67,4057.3
215.05,4124.5
215.42,4962.9
215.8,4113
216.17,4101.8
216.55,4451.5
216.93,3815.8
217.3,4829.7
217.68,3967
218.05,4083.8
218.43,4039.3
218.81,4093.6
219.18,5555
219.56,4148.4
219.93,4049.1
220.31,4056.6
220.69,3831.9
221.06,3894.7
221.44,4402.5
221.81,3933.7
222.19,3748.6
222.56,3860.2
222.94,4117.2
223.32,4380.5
223.69,3948
224.07,4813.5
224.44,5195.8
224.82,4437.4
225.19,4650.6
225.57,4389
225.94,4112.3
226.32,4297.5
226.69,5929.7
227.07,4759.9
227.44,4125.9
227.82,4463.4
228.19,4183.9
228.57,4724.6
228.94,5695.5
229.32,5060.2
229.69,4887
230.07,4098
230.44,3909.2
230.82,5493.9
231.19,5019.5
231.57,3725.2
231.94,3779.3
232.32,6913.7
232.69,4358.3
233.07,4373.8
233.44,4147.9
233.82,4199.2
234.19,4313.8
234.57,5194.8
234.94,3985.7
235.31,4060.6
235.69,4220.2
236.06,4333
236.44,4703.8
236.81,3827.7
237.19,4462.9
237.56,5803.6
237.93,3979.8
238.31,4414.5
238.68,4179.7
239.06,4379.4
239.43,4785.7
239.81,4585.1
240.18,3875
240.55,3899.1
240.93,6089.8
241.3,4461.5
241.67,4247.8
242.05,4683.9
242.42,5010.2
242.8,3798.9
243.17,4464.3
243.54,4271
243.92,4936.2
244.29,4202.2
244.66,4393.7
245.04,5186.4
245.41,7251.7
245.78,3860.2
246.16,4154
246.53,4759
246.9,4241.5
247.28,6215.8
247.65,4188.6
248.02,4253.2
248.4,5187.3
248.77,4431.6
249.14,4689.7
249.52,4133.9
249.89,4682
250.26,3951.5
250.64,4318.3
251.01,7080.6
251.38,3815.1
251.75,4305.2
252.13,4117.2
252.5,4888.9
252.87,6317.1
253.25,3882.2
253.62,4449.6
253.99,3757.7
254.36,4980
254.74,4085.2
255.11,3924.8
255.48,3717
255.85,6597.3
256.23,3791.2
256.6,3604.9
256.97,4132.4
257.34,4635.4
257.71,4371.9
258.09,4210.2
258.46,4413.3
258.83,5753
259.2,5227.4
259.58,4248.8
259.95,4298.6
260.32,4988.4
260.69,3853.9
261.06,5619.2
261.44,3943.8
261.81,6240.1
262.18,4554.4
262.55,3978.9
262.92,4288.6
263.29,4047.3
263.67,3767.8
264.04,4006.3
264.41,4432.7
264.78,4015.2
265.15,5303.9
265.52,6042.1
265.9,4382.2
266.27,3980.3
266.64,3787.7
267.01,3693.6
267.38,4509.7
267.75,3888.3
268.12,3614.3
268.5,4158.4
268.87,3992.3
269.24,3799.2
269.61,4453.8
269.98,4656
270.35,4515.1
270.72,3895.6
271.09,4138.5
271.46,4058.7
271.83,4470.4
272.21,4906.7
272.58,3842.9
272.95,3949.7
273.32,4245.3
273.69,4277.1
274.06,3717.7
274.43,3885.1
274.8,4208.8
275.17,4459.7
275.54,5861.2
275.91,4321.1
276.28,4275
276.65,4378.9
277.02,5624.3
277.39,3917.1
277.76,3897.9
278.13,4617.4
278.5,4747.8
278.87,5297.3
279.24,4878.4
279.61,4666.6
279.98,5688
280.35,4010.3
280.72,4332.3
281.09,4191.7
281.46,4311.7
281.83,3882.2
282.2,4447.3
282.57,4011
282.94,4500.4
283.31,4026.2
283.68,4451
284.05,3745.8
284.42,3656.6
284.79,4433.7
285.16,4638
285.53,4245
285.9,4251.1
286.27,6679
286.64,3718.4
287.01,3912.7
287.38,4698.2
287.75,26943
288.12,5086.2
288.49,7378.1
288.86,3897
289.23,3837.8
289.59,3905.9
289.96,3858.8
290.33,3945.2
290.7,4060.1
291.07,4613.9
291.44,4471.1
291.81,3847.4
292.18,4253.7
292.55,4042.3
292.91,6187.4
293.28,4724.6
293.65,5501.2
294.02,4458.3
294.39,3688.2
294.76,4154.9
295.13,4308.5
295.5,4169.7
295.86,4185.3
296.23,4024.8
296.6,3813.2
296.97,3993.7
297.34,4183.9
297.71,4781
298.07,4284.4
298.44,3645.4
298.81,4443.5
299.18,4308
299.55,5373.6
299.91,4142
300.28,4321.3
300.65,3647
301.02,4386.2
301.39,4538.8
301.75,6335.6
302.12,4621.6
302.49,4183
302.86,5328.5
303.23,4284.1
303.59,3808.8
303.96,7524.8
304.33,5132.8
304.7,6704.5
305.06,4074.6
305.43,5254
305.8,4619
306.17,4865
306.53,3930
306.9,4960.5
307.27,4275.5
307.64,5322.4
308,4002.8
308.37,4018
308.74,5847.8
309.11,4842.8
309.47,3954.3
309.84,3703
310.21,4184.9
310.57,4352
310.94,4068.1
311.31,4249
311.67,4422.4
312.04,3647
312.41,5018.1
312.77,4537.4
313.14,3944
313.51,4108.6
313.87,4011.7
314.24,3949.7
314.61,3973.1
314.97,3998.3
315.34,4223
315.71,3684.2
316.07,4866.4
316.44,3810.9
316.81,4791.8
317.17,3934.2
