wavelength,intensity
178.76,2119.1
179.14,2119.1
179.52,2119.1
179.9,2080
180.28,5182.2
180.66,3722.9
181.04,4401.8
181.42,4146
181.8,3768.5
182.18,5284.9
182.55,3635.1
182.93,4070.9
183.31,4021.7
183.69,4312.4
184.07,4425.5
184.45,4049.8
184.83,4151.9
185.21,3928.8
185.59,3980.8
185.97,7053.7
186.35,5756.1
186.72,4172.5
187.1,4209.7
187.48,5623.8
187.86,4824.5
188.24,4052.2
188.62,3933.3
189,5403.4
189.38,4487.7
189.75,4509
190.13,4498.3
190.51,3981.5
190.89,6716.2
191.27,8886.1
191.65,4263.8
192.03,4443.7
192.4,5245.4
192.78,4430.2
193.16,4776.1
193.54,5892.1
193.92,5535.1
194.3,4124
194.67,5041.3
195.05,4665.9
195.43,4307.8
195.81,4233.8
196.19,5367.8
196.56,4442.1
196.94,4351.8
197.32,5701.3
197.7,4128
198.08,4741.9
198.45,4113
198.83,4393
199.21,4169.9
199.59,6018.2
199.97,4606.2
200.34,3875.7
200.72,4095.7
201.1,6463.4
201.48,5217.1
201.85,3993.7
202.23,4132.2
202.61,4015
202.99,7100
203.36,4080.5
203.74,4845.1
204.12,4362.3
204.49,4032
204.87,4800
205.25,4252.3
205.63,3756.3
206,4002.3
206.38,4501.6
206.76,5019.5
207.14,4066.9
207.51,3828.6
207.89,5372
208.27,4100.4
208.64,3651.9
209.02,4155.4
209.4,4201.5
209.77,3742.8
210.15,6780.5
210.53,3840.8
210.9,5690.8
211.28,3958.8
211.66,5888.1
212.03,4045.1
212.41,3858.8
212.79,4227.2
213.16,3842.5
213.54,4440.9
213.92,4502.3
214.29,3740.6
214.67,4032.5
215.05,4109.7
215.42,4972.7
215.8,4112.1
216.17,4105.3
216.55,4474.9
216.93,3804.5
217.3,4808.4
217.68,3992.5
218.05,4078.2
218.43,4009.8
218.81,4109.7
219.18,5501.9
219.56,4115.6
219.93,4048.9
220.31,4053.1
220.69,3803.6
221.06,3862.8
221.44,4369.8
221.81,3940.8
222.19,3754.5
222.56,3898.2
222.94,4105.1
223.32,4367.7
223.69,3959.3
224.07,4804.6
224.44,5161.6
224.82,4388.7
225.19,4668.9
225.57,4364.2
225.94,4069.5
226.32,4314.3
226.69,5867.7
227.07,4732.3
227.44,4092.9
227.82,4475.6
228.19,4205
228.57,4759.2
228.94,5632.5
229.32,5073.6
229.69,4848.9
230.07,4099.7
230.44,3896.8
230.82,5445.3
231.19,5014.4
231.57,3749.1
231.94,3796.1
232.32,6875.3
232.69,4299.1
233.07,4342.9
233.44,4171.8
233.82,4136.4
234.19,4323.9
234.57,5155.5
234.94,3993
235.31,4103.9
235.69,4253.7
236.06,4289.7
236.44,4727.6
236.81,3831.7
237.19,4469.3
237.56,5751.4
237.93,4023.6
238.31,4414.5
238.68,4202.7
239.06,4403.5
239.43,4746.1
239.81,4568
240.18,3828.2
240.55,3876.6
240.93,6018
241.3,4443.7
241.67,4217.4
242.05,4716.4
242.42,5001.5
242.8,3793.3
243.17,4412.6
243.54,4256
243.92,4969.7
244.29,4241.5
244.66,4390.1
245.04,5170.9
245.41,7217
245.78,3869.8
246.16,4128.7
246.53,4724.6
246.9,4187
247.28,6168.9
247.65,4219.3
248.02,4226.3
248.4,5188.5
248.77,4425.3
249.14,4667.7
249.52,4150.2
249.89,4696.5
250.26,3932.3
250.64,4335.8
251.01,7342.3
251.38,3813.7
251.75,4326.5
252.13,4121.2
252.5,4860.1
252.87,6249.9
253.25,3890.4
253.62,4486.6
253.99,3849.9
254.36,4969.2
254.74,4083.1
255.11,3857.9
255.48,3703.4
255.85,6508.3
256.23,3810.9
256.6,3646.3
256.97,4116.1
257.34,4584.2
257.71,4347.8
258.09,4164.5
258.46,4444.2
258.83,5711.1
259.2,5156.2
259.58,4205.2
259.95,4301.9
260.32,4947.4
260.69,3857
261.06,5626.2
261.44,3956.9
261.81,6222.5
262.18,4486.3
262.55,3953.4
262.92,4236.8
263.29,4015.4
263.67,3735
264.04,4008.4
264.41,4406.5
264.78,3990.6
265.15,5271.6
265.52,5951.5
265.9,4307.8
266.27,4049.8
266.64,3758.9
267.01,3673.5
267.38,4501.6
267.75,3893
268.12,3616.4
268.5,4157.7
268.87,3956.9
269.24,3803.8
269.61,4410
269.98,4604.5
270.35,4498.5
270.72,3872.9
271.09,4125.9
271.46,4024.3
271.83,4461.3
272.21,4885.2
272.58,3868.2
272.95,3894.7
273.32,4266.1
273.69,4227.7
274.06,3704.4
274.43,3884.8
274.8,4180.7
275.17,4417.1
275.54,6460.8
275.91,4340.5
276.28,4278.5
276.65,4333
277.02,5601.1
277.39,3922
277.76,3893.2
278.13,4612.5
278.5,4749.4
278.87,5234.1
279.24,4793.6
279.61,4614.1
279.98,5639.8
280.35,3981.7
280.72,4282
281.09,4145.3
281.46,4255.3
281.83,3869.4
282.2,4406.5
282.57,3989.4
282.94,4479.1
283.31,4011.4
283.68,4419.9
284.05,3741.8
284.42,3639.1
284.79,4347.5
285.16,4555.2
285.53,4191.7
285.9,4219.8
286.27,6675.2
286.64,3693.6
287.01,3919.2
287.38,4647.4
287.75,26654
288.12,5029.1
288.49,7292.4
288.86,3837.8
289.23,3850.4
289.59,3895.8
289.96,3791.9
290.33,3926
290.7,3978.9
291.07,4608.8
291.44,4447
291.81,3817.6
292.18,4278.5
292.55,4043.7
292.91,6193.8
293.28,4689.7
293.65,5449
294.02,4456.4
294.39,3690.1
294.76,4146
295.13,4267.7
295.5,4168.5
295.86,4106.5
296.23,3971.9
296.6,3781.1
296.97,3967
297.34,4174.6
297.71,4754.6
298.07,4263.1
298.44,3609.3
298.81,4466
299.18,4298.6
299.55,5399.1
299.91,4137.4
300.28,4343.3
300.65,3630.9
301.02,4347.3
301.39,4500.6
301.75,6261.9
302.12,4619
302.49,4140.6
302.86,5278.6
303.23,4241.1
303.59,3768.7
303.96,7503.1
304.33,5071.9
304.7,6685.3
305.06,4060.8
305.43,5225.9
305.8,4551.2
306.17,4810
306.53,3917.4
306.9,4923.8
307.27,4247.6
307.64,5356.8
308,4004.2
308.37,3975.9
308.74,5763.1
309.11,4784.3
309.47,3914.8
309.84,3674.9
310.21,4154.7
310.57,4322
310.94,4060.6
311.31,4266.6
311.67,4397.2
312.04,3663.4
312.41,4989.1
312.77,4514.7
313.14,3907.5
313.51,4080.5
313.87,3955
314.24,3887.9
314.61,3946.8
314.97,4007.9
315.34,4174.3
315.71,3664.8
316.07,4814.2
316.44,3783.5
316.81,4735.4
317.17,3898.6
317.54,6853.3
317.91,3976.6
318.27,3616.1
