wavelength,intensity
178.76,2097.6
179.14,2097.6
179.52,2097.6
179.9,2088
180.28,5169.1
180.66,3711.6
181.04,4369.5
181.42,4131.7
181.8,3687.7
182.18,5227.1
182.55,3648.7
182.93,4082.8
183.31,4025.7
183.69,4297.7
184.07,4419.4
184.45,4059.9
184.83,4132.7
185.21,3926.7
185.59,3982.9
185.97,6991.6
186.35,5771.8
186.72,4165
187.1,4214.1
187.48,5611.9
187.86,4846.8
188.24,4060.1
188.62,3911.7
189,5387.4
189.38,4464.8
189.75,4509.3
190.13,4495.7
190.51,3963.9
190.89,6691.6
191.27,8836.5
191.65,4273.1
192.03,4456.1
192.4,5285.4
192.78,4392.7
193.16,4781.5
193.54,5860.9
193.92,5533.7
194.3,4137.4
194.67,5046
195.05,4690.4
195.43,4311
195.81,4175.7
196.19,5358.7
196.56,4477.9
196.94,4350.6
197.32,5688
197.7,4104.6
198.08,4701.4
198.45,4107.2
198.83,4433.9
199.21,4170.8
199.59,5997.4
199.97,4611.6
200.34,3839.2
200.72,4085.2
201.1,6474.6
201.48,5164.2
201.85,3990.8
202.23,4171.1
202.61,4015.4
202.99,7049.2
203.36,4060.1
203.74,4857.5
204.12,4343.6
204.49,4030.6
204.87,4768.8
205.25,4235.7
205.63,3768
206,3951.5
206.38,4513.3
206.76,5002.7
207.14,4098
207.51,3831.2
207.89,5366.8
208.27,4034.4
208.64,3676.3
209.02,4199.9
209.4,4205.9
209.77,3786.8
210.15,6840.7
210.53,3850.2
210.9,5638.4
211.28,3943.1
211.66,5877.1
212.03,4080.5
212.41,3870.3
212.79,4216.7
213.16,3837.3
213.54,4447.3
213.92,4510.7
214.29,3722.9
214.67,4079.6
215.05,4111.6
215.42,4951.6
215.8,4152.1
216.17,4091.7
216.55,4474.2
216.93,3791.2
217.3,4771.4
217.68,3969.8
218.05,4064.1
218.43,4009.1
218.81,4106.2
219.18,5482.2
219.56,4116.5
219.93,4014.5
220.31,4038.4
220.69,3818.6
221.06,3879.7
221.44,4358.3
221.81,3940.8
222.19,3773.9
222.56,3895.4
222.94,4160.8
223.32,4369.1
223.69,3966.3
224.07,4798.6
224.44,5114.3
224.82,4414.7
225.19,4685.3
225.57,4378.7
225.94,4059.7
226.32,4272.4
226.69,5917.6
227.07,4734.2
227.44,4122.4
227.82,4483.3
228.19,4204.1
228.57,4746.4
228.94,5648.9
229.32,5058.8
229.69,4800.2
230.07,4113.7
230.44,3905.9
230.82,5470.3
231.19,4997
231.57,3748.8
231.94,3754.5
232.32,6849.1
232.69,4289.3
233.07,4345.9
233.44,4151.2
233.82,4174.8
234.19,4301.2
234.57,5152.5
234.94,3992.7
235.31,4092.2
235.69,4241.8
236.06,4286.5
236.44,4671.5
236.81,3858.6
237.19,4498
237.56,5736.2
237.93,4018.2
238.31,4392.5
238.68,4200.8
239.06,4354.1
239.43,4763.9
239.81,4564.3
240.18,3837.3
240.55,3922
240.93,6022
241.3,4466.9
241.67,4258.6
242.05,4698.6
242.42,5037.1
242.8,3812.7
243.17,4429.7
243.54,4287.2
243.92,4933.6
244.29,4224.9
244.66,4354.6
245.04,5248.2
245.41,7174.2
245.78,3887.9
246.16,4144.6
246.53,4749.6
246.9,4183.9
247.28,6203.1
247.65,4174.3
248.02,4206.6
248.4,5154.3
248.77,4389.7
249.14,4675.5
249.52,4154.5
249.89,4671.7
250.26,3924.1
250.64,4330.5
251.01,7284
251.38,3829.3
251.75,4332.3
252.13,4114
252.5,4857.3
252.87,6242.2
253.25,3886.2
253.62,4466.9
253.99,3787.5
254.36,4994.5
254.74,4053.1
255.11,3898.2
255.48,3692.2
255.85,6523.1
256.23,3809.7
256.6,3635.6
256.97,4133.9
257.34,4619.5
257.71,4375.4
258.09,4208.5
258.46,4446.1
258.83,5739.5
259.2,5160.2
259.58,4217.4
259.95,4297.7
260.32,5004.1
260.69,3893.7
261.06,5592.5
261.44,3959
261.81,6208.5
262.18,4510.2
262.55,3961.8
262.92,4266.8
263.29,4027.8
263.67,3762.6
264.04,4025.5
264.41,4427.8
264.78,4054.3
265.15,5249.4
265.52,5933.7
265.9,4356.4
266.27,4014.7
266.64,3776
267.01,3653.1
267.38,4471.8
267.75,3868.2
268.12,3621.7
268.5,4153.3
268.87,3992.3
269.24,3829.1
269.61,4413.5
269.98,4638.5
270.35,4530.3
270.72,3876.4
271.09,4183.9
271.46,4059.2
271.83,4471.6
272.21,4892
272.58,3850.4
272.95,3915.7
273.32,4285.8
273.69,4289.7
274.06,3745.1
274.43,3911.7
274.8,4184.2
275.17,4462.7
275.54,6687.1
275.91,4389.9
276.28,4277.1
276.65,4392
277.02,5624.8
277.39,3937.7
277.76,3919.9
278.13,4627.5
278.5,4741.5
278.87,5272.5
279.24,4874.4
279.61,4620.9
279.98,5658.7
280.35,4032.5
280.72,4337.5
281.09,4218.3
281.46,4278.5
281.83,3907.1
282.2,4460.4
282.57,4018.2
282.94,4518.4
283.31,4039.3
283.68,4483.1
284.05,3732.9
284.42,3686.6
284.79,4420.8
285.16,4661.4
285.53,4257.9
285.9,4320.9
286.27,6667
286.64,3741.1
287.01,3959.5
287.38,4705.6
287.75,26518
288.12,5076.6
288.49,7309.7
288.86,3887.4
289.23,3876.9
289.59,3924.4
289.96,3860.7
290.33,3975.6
290.7,4067.4
291.07,4644.1
291.44,4495.5
291.81,3856.3
292.18,4296.3
292.55,4048.9
292.91,6198.7
293.28,4720.6
293.65,5464.4
294.02,4482.4
294.39,3739
294.76,4191
295.13,4323.9
295.5,4186.3
295.86,4186.5
296.23,4021.7
296.6,3814.1
296.97,4016.8
297.34,4235.9
297.71,4816.8
298.07,4300
298.44,3642.3
298.81,4481.9
299.18,4342.4
299.55,5392.4
299.91,4145.6
300.28,4323
300.65,3692
301.02,4376.8
301.39,4508.6
301.75,6231
302.12,4641
302.49,4189.1
302.86,5329.6
303.23,4297
303.59,3826.5
303.96,7504
304.33,5113.8
304.7,6702.8
305.06,4064.8
305.43,5250.1
305.8,4621.2
306.17,4814.5
306.53,3957.4
306.9,4989.8
307.27,4286.2
307.64,5367.1
308,3975.4
308.37,4030.6
308.74,5789.8
309.11,4867.4
309.47,3941.7
309.84,3713.5
310.21,4177.2
310.57,4388.7
310.94,4045.6
311.31,4249.9
311.67,4416.4
312.04,3652.2
312.41,5031.7
312.77,4553
313.14,3914.3
313.51,4142.7
313.87,4017.8
314.24,3949.7
314.61,4017.1
314.97,4016.6
315.34,4231.9
315.71,3698.7
316.07,4860.8
316.44,3832.9
316.81,4747.5
317.17,3895.4
317.54,6875.6
317.91,4023.6
318.27,3701.6
318.64,4112.8
319,4729.1
319.37,3694.1
319.74,4880
320.1,5004.3
320.47,4035.1
320.83,5438
321.2,4157.3
321.57,3854.4
321.93,3970.7
322.3,4335.4
322.66,3899.6
323.03,4728.6
323.4,4483.1
323.76,3999
324.13,3988.5
324.49,3688.4
324.86,8148.1
325.22,4335.4
325.59,4168
325.95,4408.9
326.32,4966.1
326.68,4793.9
327.05,4161
327.42,3809
327.78,4019.2
328.15,4899.7
328.51,3989.9
328.88,4249
329.24,5503.3
329.61,4263.5
329.97,4720.6
330.34,3969.3
330.7,4235.2
331.07,5355.6
331.43,4750.1
331.8,6202.7
332.16,5205.8
332.52,3874.8
332.89,4569.4
333.25,3662.9
333.62,5884.8
333.98,4464.3
334.35,3859.3
334.71,4210.6
335.08,3831.2
335.44,5750.7
335.81,5799.8
336.17,5190.4
336.53,4231.5
336.9,3796.3
337.26,4604.1
337.63,6284.6
337.99,4427.1
338.36,3792.6
338.72,4732.8
339.08,4309.2
339.45,3772.9
339.81,4948.8
340.18,4078.6
340.54,5216.6
340.9,3919
341.27,4132.9
341.63,4525.2
341.99,3553.2
342.36,5241.2
342.72,3761.5
343.09,5282.8
343.45,3941.2
343.81,5347.2
344.18,3726.4
344.54,4095.2
344.9,4386.2
345.27,4262.3
345.63,4125
345.99,4734.7
346.36,4244.6
346.72,3801
347.08,3812.7
347.45,3656.9
347.81,5038.9
348.17,4309.2
348.54,3735.5
348.9,4771.9
349.26,5043.4
349.62,5315.4
349.99,3620.1
350.35,3519.5
350.71,4369.1
351.08,4182.1
351.44,3552.5
351.8,6171.3
352.16,5658.5
352.53,3826.3
352.89,4653.9
353.25,5517.1
353.61,4033.4
353.98,4640.1
354.34,5140.8
354.7,3955.5
355.06,3783
355.43,4156.1
355.79,4012.8
356.15,3989
356.51,3791.7
356.88,3766.2
357.24,4026
357.6,3641.9
357.96,3520.4
358.32,6790.6
358.69,3653.8
359.05,4450.1
359.41,4263.3
359.77,3901.2
360.13,3823
360.49,3950.4
360.86,4853.6
361.22,5563.5
361.58,4350.4
361.94,5417.6
362.3,3782.8
362.66,4556.8
363.03,3538.9
363.39,3475
363.75,3822.3
364.11,5078
364.47,3876.6
364.83,5275.1
365.19,4330.5
365.56,4746.6
365.92,3566
366.28,4662.3
366.64,5050.6
367,3944.3
367.36,3604.4
367.72,5191.1
368.08,5211.2
368.44,3967.9
368.8,4523.1
369.17,3982.7
369.53,3999.3
369.89,3805.7
370.25,3763.1
370.61,3782.3
370.97,5297.3
371.33,3949.7
371.69,5967.4
372.05,4553.3
372.41,3729.9
372.77,3953.9
373.13,4284.6
373.49,3516.7
373.85,4420.3
374.21,4232.6
374.57,3710
374.93,4585.1
375.29,4801.8
375.65,4299.6
376.01,4175.3
376.37,5110.6
376.73,4632.9
377.09,3716.1
377.45,5028.9
377.81,4078.4
378.17,3732.2
378.53,3500.3
378.89,4571.8
379.25,5404.5
379.61,6445.4
379.97,4898
380.33,3972.1
380.69,3850.9
381.05,3692.9
381.41,4792.7
381.77,4189.8
382.13,4623.5
382.49,6768.8
382.85,4286.5
383.21,4686.2
383.57,3571
383.93,5226.7
384.28,3523.7
384.64,3926.9
385,4268.2
385.36,4248.3
385.72,4737
386.08,3772.2
386.44,4679.4
386.8,4758.3
387.16,6052.4
387.52,4986
387.87,6295.1
388.23,4479.3
388.59,3846.2
388.95,3617.8
389.31,4008.9
389.67,3963.5
390.03,3852.1
390.38,3918.8
390.74,3465.6
391.1,4902.5
391.46,4313.4
391.82,3759.1
392.18,4531
392.54,3432.9
392.89,3631.3
393.25,4519.6
393.61,3711.9
393.97,3607
394.33,4383.8
394.68,4097.6
395.04,3634.4
395.4,4156.3
395.76,4814
396.12,4269.4
396.47,3686.8
396.83,4099.4
397.19,3621.3
397.55,3729.6
397.9,4194.5
398.26,4172
398.62,3642.1
398.98,3406.9
399.33,3974.7
399.69,9922
400.05,4630.8
400.41,3736
400.76,4672.2
