wavelength,intensity
200.34,0
200.72,0
201.1,0
201.48,0
201.85,0
202.23,0
202.61,-0
202.99,-0
203.36,0
203.74,0
204.12,0
204.49,0
204.87,-0
205.25,-0
205.63,0
206,0
206.38,0
206.76,-0
207.14,-0
207.51,0
207.89,-0
208.27,0
208.64,-0
209.02,-0
209.4,0
209.77,-0
210.15,0
210.53,1.7281e+13
210.9,1.7281e+13
211.28,3.1484e+13
211.66,3.1484e+13
212.03,3.9586e+13
212.41,3.9586e+13
212.79,4.5751e+13
213.16,4.9417e+13
213.54,4.5751e+13
213.92,4.8275e+13
214.29,3.6507e+13
214.67,3.6507e+13
215.05,2.7795e+13
215.42,2.7795e+13
215.8,-5.6504e+12
216.17,-2.5869e+13
216.55,-2.5869e+13
216.93,-2.9457e+13
217.3,-2.9824e+13
217.68,-3.5524e+13
218.05,-7.4778e+13
218.43,-6.9446e+13
218.81,-6.9446e+13
219.18,-6.9446e+13
219.56,-3.3188e+13
219.93,-3.802e+13
220.31,-3.802e+13
220.69,-3.3188e+13
221.06,-3.802e+13
221.44,-3.0993e+13
221.81,-2.0413e+13
222.19,-2.8795e+13
222.56,-3.3985e+13
222.94,-3.3985e+13
223.32,-2.8795e+13
223.69,-2.8795e+13
224.07,-2.8795e+13
224.44,-4.5059e+13
224.82,-4.4468e+13
225.19,-8.7875e+13
225.57,-9.7915e+13
225.94,-9.7915e+13
226.32,-7.1506e+13
226.69,-6.1466e+13
227.07,-7.1506e+13
227.44,-6.1466e+13
227.82,-6.1466e+13
228.19,-6.1466e+13
228.57,-5.6025e+13
228.94,-2.5668e+13
229.32,-2.5668e+13
229.69,-5.6025e+13
230.07,-2.5668e+13
230.44,-2.5591e+13
230.82,-2.5591e+13
231.19,-2.5343e+13
231.57,-2.2107e+12
231.94,-2.2107e+12
232.32,-1.2255e+13
232.69,-2.6259e+13
233.07,-2.6259e+13
233.44,-1.2255e+13
233.82,-1.2255e+13
234.19,-9.7843e+12
