wavelength,intensity
178.76,2150.7
179.14,2150.7
179.52,2150.7
179.9,2095.5
180.28,5167.7
180.66,3726.8
181.04,4394.6
181.42,4138.5
181.8,3737.6
182.18,5205.8
182.55,3633.9
182.93,4089.4
183.31,4059.2
183.69,4293.2
184.07,4402.3
184.45,4011.4
184.83,4138.3
185.21,3905.7
185.59,3975.4
185.97,6902.7
186.35,5708.3
186.72,4141.3
187.1,4233.3
187.48,5633.7
187.86,4820.8
188.24,4035.6
188.62,3916.7
189,5375.5
189.38,4471.6
189.75,4502.5
190.13,4479.3
190.51,4002.3
190.89,6693.5
191.27,8736
191.65,4268
192.03,4463.2
192.4,5215.9
192.78,4423.1
193.16,4734.9
193.54,5865.8
193.92,5461.9
194.3,4137.4
194.67,5043.4
195.05,4651.8
195.43,4313.4
195.81,4210.4
196.19,5371.8
196.56,4423.8
196.94,4294.9
197.32,5680.5
197.7,4054
198.08,4737
198.45,4125.2
198.83,4391.1
199.21,4121
199.59,5965.3
199.97,4592.8
200.34,3852.8
200.72,4109.5
201.1,6417
201.48,5153.2
201.85,4014.3
202.23,4172.7
202.61,4048
202.99,7026.3
203.36,4098.5
203.74,4833.2
204.12,4321.3
204.49,4018.7
204.87,4801.4
205.25,4219.3
205.63,3785.3
206,3945.7
206.38,4480
206.76,4982.3
207.14,4051
207.51,3816.9
207.89,5322.8
208.27,4000.9
208.64,3707.4
209.02,4167.3
209.4,4199.9
209.77,3758
210.15,6965.7
210.53,3879
210.9,5639.8
211.28,3982.9
211.66,5890.9
212.03,4076
212.41,3862.1
212.79,4411.7
213.16,3855.8
213.54,4418
213.92,4483.3
214.29,3725.7
214.67,4063.6
215.05,4106.2
215.42,5062.6
215.8,4142
216.17,4100.9
216.55,4486.3
216.93,3807.6
217.3,4797.4
217.68,3986.4
218.05,4059.4
218.43,4016.4
218.81,4104.6
219.18,5480.1
219.56,4082.4
219.93,4019.2
220.31,4075.6
220.69,3843.6
221.06,3861.4
221.44,4347.5
221.81,3920.2
222.19,3748.6
222.56,3915.2
222.94,4132
223.32,4349.4
223.69,3964.4
224.07,4800.2
224.44,5126
224.82,4346.4
225.19,4635.9
225.57,4388
225.94,4078.2
226.32,4272.4
226.69,5899.8
227.07,4697.2
227.44,4071.6
227.82,4471.4
228.19,4189.3
228.57,4735.1
228.94,5643.5
229.32,5086.5
229.69,4792
230.07,4096.2
230.44,3914.8
230.82,5418.1
231.19,4977.1
231.57,3710.9
231.94,3743.5
232.32,6803.7
232.69,4352.9
233.07,4359
233.44,4144.2
233.82,4151.9
234.19,4317.8
234.57,5162.5
234.94,3982.4
235.31,4092
235.69,4228.4
236.06,4333
236.44,4699.8
236.81,3820
237.19,4456.4
237.56,5745.8
237.93,4008.2
238.31,4401.8
238.68,4139.5
239.06,4389.7
239.43,4743.8
239.81,4554.9
240.18,3840.6
240.55,3908.2
240.93,6022
241.3,4440.9
241.67,4244.1
242.05,4663.5
242.42,4981.6
242.8,3808.8
243.17,4418.9
243.54,4257.2
243.92,4926.1
244.29,4211.1
244.66,4372.4
245.04,5148
245.41,7131.8
245.78,3876.2
246.16,4120.3
246.53,4708.5
246.9,4211.3
247.28,6143.9
247.65,4191.2
248.02,4232.9
248.4,5107
248.77,4393.2
249.14,4661.4
249.52,4149.1
249.89,4700.5
250.26,3945.2
250.64,4305.2
251.01,7300.6
251.38,3831.2
251.75,4305.9
252.13,4081
252.5,4806.1
252.87,6243.1
253.25,3853
253.62,4431.3
253.99,3837.1
254.36,4935.5
254.74,4047.3
255.11,3885.8
255.48,3703.7
255.85,6498.3
256.23,3793.1
256.6,3616.6
256.97,4112.6
257.34,4567.6
257.71,4356.4
258.09,4170.6
258.46,4412.4
258.83,5679.8
259.2,5130.7
259.58,4166.9
259.95,4273.1
260.32,4966.1
260.69,3873.4
261.06,5593.6
261.44,3967.7
261.81,6194.7
262.18,4496.2
262.55,3954.3
262.92,4238.5
263.29,3997.6
263.67,3724.5
264.04,3983.6
264.41,4399.3
264.78,4007.5
265.15,5273
265.52,5934.9
265.9,4327.9
266.27,3989.7
266.64,3741.8
267.01,3646.6
267.38,4497.6
267.75,3891.1
268.12,3617.1
268.5,4125.7
268.87,3988.3
269.24,3802
269.61,4433
269.98,4572.5
270.35,4502.5
270.72,3886.9
271.09,4142.3
271.46,3980.8
271.83,4475.6
272.21,4871.4
272.58,3839.4
272.95,3925.3
273.32,4240.3
273.69,4260
274.06,3679.6
274.43,3895.8
274.8,4164.7
275.17,4394.8
275.54,6715.9
275.91,4354.8
276.28,4282.7
276.65,4370
277.02,5566.5
277.39,3970.5
277.76,3874.3
278.13,4603.8
278.5,4679.9
278.87,5229.5
279.24,4836.5
279.61,4598.9
279.98,5606.3
280.35,3998.3
280.72,4292.1
281.09,4155.6
281.46,4264.9
281.83,3901.9
282.2,4429.2
282.57,3970.5
282.94,4457.6
283.31,4005.6
283.68,4431.3
284.05,3722.4
284.42,3659.4
284.79,4365.8
285.16,4592.8
285.53,4198.5
285.9,4192.8
286.27,6604.8
286.64,3710.5
287.01,3887.6
287.38,4599.2
287.75,26267
288.12,5005.9
288.49,7259.6
288.86,3895.8
289.23,3854.4
289.59,3834
289.96,3794.7
290.33,3907.1
290.7,3967.2
291.07,4564
291.44,4410.5
291.81,3829.8
292.18,4255.3
292.55,4027.8
292.91,6171.1
293.28,4699.1
293.65,5433.6
294.02,4406.1
294.39,3669
294.76,4127.5
295.13,4267.3
295.5,4134.1
295.86,4149.5
296.23,3974.2
296.6,3750.7
296.97,3934.7
297.34,4186.3
297.71,4758.3
298.07,4234.5
298.44,3639.3
298.81,4411.7
299.18,4249.7
299.55,5352.6
299.91,4093.8
300.28,4289
300.65,3656.6
301.02,4342.4
301.39,4505.1
301.75,6255.8
302.12,4568.5
302.49,4160.8
302.86,5267.6
303.23,4249.2
303.59,3764.8
303.96,7403.6
304.33,5058.8
304.7,6634
305.06,4032.3
305.43,5209.1
305.8,4531.5
306.17,4780.1
306.53,3945.4
306.9,4945.8
307.27,4219.3
307.64,5317.2
308,3956
308.37,4015
308.74,5735.2
309.11,4803.2
309.47,3905.2
309.84,3653.3
310.21,4173.6
310.57,4306.8
310.94,4014
311.31,4212
311.67,4394.1
312.04,3679.8
312.41,5008
312.77,4487
313.14,3905.9
313.51,4081
313.87,3964.2
314.24,3915
314.61,3917.8
314.97,3996.7
315.34,4154.9
315.71,3662.2
316.07,4802.5
316.44,3781.1
316.81,4688.6
317.17,3865.2
317.54,6837.4
317.91,3952
318.27,3659.7
318.64,4044
319,4690.7
319.37,3656.9
319.74,4899.4
320.1,4943.2
320.47,4007.7
320.83,5405.5
321.2,4129.6
321.57,3796.1
321.93,3972.8
322.3,4259.5
322.66,3866.3
323.03,4658.8
323.4,4441.2
323.76,3923.7
324.13,3968.4
324.49,3629
324.86,8028.7
325.22,4317.1
325.59,4120.3
325.95,4375.6
326.32,4954
326.68,4806.8
327.05,4103
327.42,3827.2
327.78,3922.5
328.15,5053.4
328.51,3968.4
328.88,4199.9
329.24,5442.2
329.61,4206.9
329.97,4626.5
330.34,3896.8
330.7,4176.5
331.07,5316.1
331.43,4674.5
331.8,6149.3
332.16,5173.1
332.52,3862.8
332.89,4573.6
333.25,3659.7
333.62,6453.6
333.98,4436.3
334.35,3866.8
334.71,4232.4
335.08,3764.8
335.44,5727.8
335.81,5730.6
336.17,5154.1
336.53,4254.4
336.9,3753.5
337.26,4607.3
337.63,6293.9
337.99,4427.1
338.36,3758.2
338.72,4712.4
339.08,4278.5
339.45,3724.5
339.81,4930.3
340.18,4049.4
340.54,5191.3
340.9,3913.4
341.27,4071.1
341.63,4515.1
341.99,3571.4
342.36,5214.9
342.72,3771.1
343.09,5273
343.45,3924.4
343.81,5319.8
344.18,3704.1
344.54,4114.4
344.9,4368.1
345.27,4253.2
345.63,4077.2
345.99,4711
346.36,4245.3
346.72,3753
347.08,3792.8
347.45,3627.4
347.81,5026.3
348.17,4295.6
348.54,3687
348.9,4743.1
349.26,5001
349.62,5286.6
349.99,3590.6
350.35,3509.6
350.71,4355
351.08,4131.5
351.44,3514.1
351.8,6175.5
352.16,5619.9
352.53,3819.8
352.89,4614.1
353.25,5480.1
353.61,4003.5
353.98,4618.1
354.34,5093.5
354.7,3927.2
355.06,3718.9
355.43,4122.6
355.79,4033.2
356.15,4003.3
356.51,3781.1
356.88,3776.2
357.24,4018.2
357.6,3606.8
357.96,3519.7
358.32,6698.6
358.69,3656.4
359.05,4431.3
359.41,4280.6
359.77,3894.2
360.13,3832.6
360.49,3923.2
360.86,4837.7
361.22,5535.1
361.58,4372.4
361.94,5369.4
362.3,3753.3
362.66,4580
363.03,3564.6
363.39,3488.3
363.75,3820.9
364.11,5034.7
364.47,3880.8
364.83,5251.2
365.19,4287.4
365.56,4718.8
365.92,3635.3
366.28,4597.3
366.64,5037.8
367,3898.2
367.36,3623.4
367.72,5154.3
368.08,5220.3
368.44,3943.1
368.8,4539.9
369.17,3935.8
369.53,4018.5
369.89,3771.1
370.25,3748.4
370.61,3808.8
370.97,5316.5
371.33,3968.6
371.69,5949.9
372.05,4552.6
372.41,3720.3
372.77,3912.7
373.13,4250.6
373.49,3494.9
373.85,4414.7
374.21,4223.3
374.57,3712.3
374.93,4556.3
375.29,4816.6
375.65,4324.4
376.01,4165.9
376.37,5133.3
376.73,4577.9
377.09,3726.1
377.45,4999.9
377.81,4077.9
378.17,3751.6
378.53,3507.5
378.89,4568.5
379.25,5375.5
379.61,6389.2
379.97,4871.1
380.33,3946.8
380.69,3805.2
381.05,3648.4
381.41,4803.9
381.77,4196.8
382.13,4609.2
382.49,6735.4
382.85,4282.9
383.21,4656.5
383.57,3563
383.93,5169.8
384.28,3518.1
384.64,3916
385,4266.6
385.36,4230.8
385.72,4748.5
386.08,3767.1
386.44,4659.1
386.8,4744.7
387.16,6036.7
387.52,4967.1
387.87,6288.3
388.23,4488.2
388.59,3846
388.95,3607.7
389.31,3992
389.67,3986.6
390.03,3819.5
390.38,3925.5
390.74,3472
391.1,4893.6
391.46,4274.8
391.82,3806.9
392.18,4477.4
392.54,3454.2
392.89,3641.2
393.25,4526.8
393.61,3717.5
393.97,3616.6
394.33,4374.5
394.68,4086.1
395.04,3614.5
395.4,4154.9
395.76,4776.3
396.12,4288.3
396.47,3686.3
396.83,4046.1
397.19,3618.5
397.55,3709.5
397.9,4178.1
398.26,4160.1
398.62,3645.9
398.98,3464.7
399.33,3987.3
399.69,9871.2
400.05,4604.8
400.41,3721.9
400.76,4629.1
401.12,5249.6
401.48,4444.9
401.84,3739
402.19,3889.3
402.55,4306.4
402.91,4121.9
403.26,3530.5
403.62,4546.5
403.98,4127.5
404.34,3366.2
404.69,4073.9
405.05,4758.8
405.41,6380.5
405.76,3769.2
406.12,3708.8
406.48,4005.1
406.83,3810.9
407.19,5132.8
407.55,4410.5
407.9,6450.3
408.26,4603.8
408.62,4814.7
408.97,4099
409.33,3588.7
409.68,3701.1
410.04,4320.6
410.4,3766.4
410.75,4455
411.11,3683.3
411.47,4235
411.82,3928.4
412.18,4202.7
412.53,3974.5
412.89,3900.5
413.25,4106.5
413.6,4158.7
413.96,3555.3
414.31,3889.3
414.67,4186.3
415.03,3525.8
415.38,3640
415.74,3906.1
416.09,3958.3
416.45,4581.1
416.8,3787.5
417.16,4607.8
417.51,4066
417.87,3890.2
418.23,4253.5
418.58,4439.8
418.94,3408.5
419.29,3768.7
419.65,4321.6
420,4693.5
420.36,4487
420.71,4439.3
421.07,3642.1
421.42,4161.2
421.78,4803.5
422.13,3997.6
422.49,3956.4
422.84,4248.5
423.2,3512.4
423.55,3581.7
423.91,4001.4
424.26,6330.4
424.61,4570.4
424.97,5510.3
425.32,3794.2
425.68,3909.9
426.03,4290.7
426.39,5254.7
426.74,5128.6
427.1,4964.5
427.45,3807.8
427.8,4291.6
428.16,4050.8
428.51,4058.3
428.87,4328.1
429.22,5345.8
429.58,5212.8
429.93,5099.8
430.28,3820
430.64,3935.6
430.99,3529.8
431.35,4264.2
431.7,3952.2
432.05,4001.4
432.41,4462.5
432.76,4439.3
433.11,4420.8
433.47,4349.7
433.82,5321.2
434.17,4365.1
434.53,4722.5
434.88,6509.3
435.24,4436.3
435.59,4211.1
435.94,3688.2
436.3,4502.7
436.65,3978.4
437,4979
437.35,7077.1
437.71,4007.7
438.06,3867.3
438.41,3822.8
438.77,4453.1
439.12,3573.1
439.47,3410.9
439.83,4307.8
440.18,3525.1
440.53,3965.1
440.88,5779.3
441.24,4626.8
441.59,3668.6
441.94,3930.7
442.3,4490.3
442.65,5910.8
443,4211.1
443.35,6395
443.71,4042.3
444.06,4869.3
444.41,4432.5
444.76,5482.2
445.11,4195.9
445.47,5186.4
445.82,4766.7
446.17,3728
446.52,5179.4
446.88,4215.5
447.23,3516.4
447.58,4357.4
447.93,3797.1
448.28,11267
448.63,5619.4
448.99,4206.6
449.34,4576.4
449.69,4682.5
450.04,3895.4
450.39,3824.4
450.74,4108.1
451.1,4049.6
451.45,4255.8
451.8,4331.9
452.15,5074
452.5,4476.5
452.85,5150.8
453.21,4765.1
453.56,4328.4
453.91,4009.1
454.26,4169
454.61,3857.4
454.96,4508.8
455.31,3987.3
455.66,3929.3
456.01,4461.1
456.36,3913.4
456.72,3783.2
457.07,4326.5
457.42,5292.7
457.77,4765.3
458.12,3711.9
458.47,4163.3
458.82,5005.7
459.17,4168.3
459.52,4196.6
459.87,14329
460.22,3970.7
460.57,4122.4
460.92,3778.1
461.27,4476.3
461.62,3934
461.97,3709
462.32,5761.5
462.67,5318.9
463.02,6235.2
463.38,6186.7
463.73,4778.9
464.08,6193.1
464.43,4315
464.78,3622.9
465.12,4481.9
465.47,4578.1
465.82,11596
466.17,4073.7
466.52,4615.3
466.87,3866.6
467.22,3728.5
467.57,3515.5
467.92,4302.4
468.27,5396.6
468.62,6726.5
468.97,4029
469.32,3659.4
469.67,6843.5
470.02,6558.9
470.37,3823.3
470.72,4207.1
471.07,3616.4
471.42,3990.8
471.76,3998.1
472.11,3996
472.46,4554.4
472.81,6675.4
473.16,3873.6
473.51,3797.5
473.86,3476.6
474.21,3924.4
474.56,3838
474.9,3842
475.25,4980
475.6,4683.4
475.95,3734.3
476.3,5457.4
476.65,5191.8
477,6657.4
477.34,5464.2
477.69,3648.2
478.04,4784.5
478.39,4188.6
478.74,3691.5
479.09,3486
479.43,8273.6
479.78,3593.7
480.13,5986.6
480.48,5098.4
480.83,4208
481.17,3551.5
481.52,4276.4
481.87,3908.9
482.22,5698.5
482.57,3996.9
482.91,4780.3
483.26,4360.9
483.61,3921.8
483.96,4237.8
484.3,46469
484.65,4311
485,3637.4
485.35,3975.9
485.69,3737.8
486.04,3906.8
486.39,4337.7
486.74,4252.3
487.08,3544.3
487.43,4376.8
487.78,3442
488.12,4450.8
488.47,3788.2
488.82,5190.8
489.17,3709.7
489.51,3470.1
489.86,4359.2
490.21,3483.2
490.55,4264.7
490.9,3493.3
491.25,3848.5
491.59,3551.5
491.94,5885.5
492.29,3887.9
492.63,4054.5
492.98,3328
493.33,4115.4
493.67,3868.7
494.02,3572.6
494.37,3605.4
494.71,4487
495.06,3796.1
495.4,5238.1
495.75,3764.3
496.1,5117.1
496.44,4433.4
496.79,4558.9
497.13,3655.2
497.48,6371.2
497.83,5118.3
498.17,4615.8
498.52,3685.4
498.86,4591.9
499.21,4197.3
499.56,3738.5
499.9,3899.8
500.25,3508.7
500.59,4020.3
500.94,4273.8
501.28,4561.7
501.63,5017.9
501.97,3864.5
502.32,3662.9
502.67,7612.6
503.01,3642.8
503.36,3853.5
503.7,3808.1
504.05,4576.2
504.39,4772.6
504.74,3968.1
505.08,5273.5
505.43,3361.9
505.77,3568.8
506.12,4175.8
506.46,3924.8
506.81,3673.2
507.15,3676.3
507.49,3862.6
507.84,3657.8
508.18,4250.4
508.53,4155.4
508.87,4072.8
509.22,3920.4
509.56,65535
509.91,13155
510.25,4317.4
510.6,3429.1
510.94,5163.7
511.28,3428.2
511.63,4883.3
511.97,4292.3
512.32,4727.4
512.66,3663.2
513,4107.4
513.35,4901.6
513.69,3693.8
514.04,4467.8
514.38,4649.2
514.72,4221.9
515.07,3681.2
515.41,3649.8
515.76,3701.1
516.1,4356.9
516.44,4701.4
516.79,3819.3
517.13,3526
517.47,4793.2
517.82,4190.5
518.16,3993.9
518.5,4137.1
518.85,4193.5
519.19,5126.5
519.53,6040.7
519.88,4708
520.22,3943.6
520.56,4052.9
520.91,3497.7
521.25,3607.5
521.59,3992
521.93,4366
522.28,3938.7
522.62,4022.7
522.96,4786.9
523.31,3926.2
523.65,4370.5
523.99,4532.9
524.33,5492.5
524.68,4485.4
525.02,3622.7
525.36,4307.5
525.7,3446.4
526.05,4104.6
526.39,3609.8
526.73,4538.5
527.07,4154.7
527.41,5212.4
527.76,3718.6
528.1,3898.2
528.44,4352.7
528.78,3972.8
529.12,4548.1
529.47,3917.1
529.81,4763.2
530.15,4804.4
530.49,4416.1
530.83,3422.1
531.18,3573.5
531.52,3937
531.86,3494.4
532.2,4048
532.54,4895.7
532.88,3372
533.22,3906.6
533.57,3763.8
533.91,4880.7
534.25,3572.1
534.59,5276.5
534.93,4573.2
535.27,3669.3
535.61,3940.5
535.95,5269.7
536.3,4518.6
536.64,4034.4
536.98,3287.8
537.32,3844.3
537.66,3502.1
538,4424.1
538.34,4486.3
538.68,4422.9
539.02,5532.3
539.36,3827.5
539.7,3531.6
540.04,4209.2
540.39,8287.6
540.73,3751.4
541.07,4041.6
541.41,4264.9
541.75,4227.2
542.09,5045
542.43,4439.5
542.77,4053.6
543.11,4232.2
543.45,4164.7
543.79,4797.4
544.13,3904.7
544.47,3904.5
544.81,4121.9
545.15,4488.7
545.49,4011.9
545.83,3651
546.17,3864.2
546.51,3342.1
546.85,3751.6
547.19,5333.1
547.53,3546.1
547.87,4564
548.21,5675.1
548.54,4114.2
548.88,3728.2
549.22,3793.3
549.56,3480.6
549.9,3771.5
550.24,4038.8
550.58,3638.8
550.92,4935.3
551.26,3833.3
551.6,5249.1
551.94,3918.5
552.28,3898.4
552.61,4498.7
552.95,3887.4
553.29,3753.8
553.63,4083.8
553.97,5384.2
554.31,4934.3
554.65,5151.5
554.99,5142.2
555.32,3875.7
555.66,4445.8
556,3379.5
556.34,3952.5
556.68,4230.8
557.02,4765.1
557.36,4156.6
557.69,4065.3
558.03,3779.5
558.37,6367.2
558.71,6643.8
559.05,5263.4
559.38,5527.4
559.72,3678.4
560.06,4601.5
560.4,4616.7
560.74,4979.3
561.07,4405.6
561.41,4692.1
561.75,4361.8
562.09,5072.4
562.42,4767.7
562.76,4548.8
563.1,4238
563.44,9776.2
563.77,4402.1
564.11,4444.9
564.45,4990
564.79,4452.6
565.12,4154.2
565.46,4257.7
565.8,4336.8
566.14,4261.4
566.47,5053.2
566.81,3689.6
567.15,4198.9
567.48,4422.2
567.82,4412.6
568.16,4115.6
568.49,3681.9
568.83,3546.4
569.17,4026.7
569.5,4870.4
569.84,5321.2
570.18,4419.2
570.51,5476.6
570.85,4066.7
571.19,3911.3
571.52,3731.7
571.86,4786.2
572.2,3904
572.53,5339.7
572.87,3766.2
573.21,3620.1
573.54,3552
573.88,4414
574.21,4182.3
574.55,4071.4
574.89,4142.3
575.22,4722
575.56,3833.8
575.89,3805.9
576.23,4031.1
576.57,4376.3
576.9,3741.1
577.24,4195.4
577.57,3620.6
577.91,4306.1
578.24,3510.8
578.58,3749.5
578.91,4459
579.25,3723.8
579.59,4131.3
579.92,3975.2
580.26,3620.8
580.59,4376.6
580.93,4318.3
581.26,3905
581.6,4380.5
581.93,4536.2
582.27,5413.9
582.6,3694.8
582.94,4195.9
583.27,3655.7
583.61,3951.8
583.94,4229.8
584.28,3687
584.61,3921.3
584.94,4467.8
585.28,4517.7
585.61,4870.4
585.95,4520.7
586.28,5604.9
586.62,6187.9
586.95,4123.8
587.29,5766.4
587.62,5113.6
587.95,3638.6
588.29,4188.2
588.62,4562.2
588.96,4818.5
589.29,3923.4
589.62,3869.1
589.96,4003.7
590.29,3856.7
590.63,3543.1
590.96,4671.2
591.29,5183.6
591.63,5011.1
591.96,3651.2
592.29,3903.3
592.63,3833.1
592.96,4336.8
593.3,5569.1
593.63,4336.3
593.96,3738.1
594.3,3886.7
594.63,4335.6
594.96,5969.3
595.3,4153.3
595.63,3922
595.96,3810.9
596.29,4391.1
596.63,3930.9
596.96,4703.3
597.29,4439.8
597.63,3512
597.96,5071.7
598.29,4984.4
598.63,4880.7
598.96,3796.8
599.29,3867.5
599.62,4790.6
599.96,3872.9
600.29,4007.2
600.62,3719.8
600.95,3869.8
601.29,4054.3
601.62,4293
601.95,4096.6
602.28,3779.7
602.61,18342
602.95,4471.6
603.28,6007.7
603.61,3798.7
603.94,4829.5
604.27,3721.7
604.61,4594.5
604.94,4477
605.27,4285.5
605.6,3658.5
605.93,3825.8
606.27,4892
606.6,4080
606.93,3572.4
607.26,5408.3
607.59,4165
607.92,5031
608.26,3946.4
608.59,3794.7
608.92,3987.1
609.25,4306.4
609.58,4342.4
609.91,4538.1
610.24,6169.7
610.57,4524
610.9,4975.3
611.24,3547.5
611.57,3554.1
611.9,4707.8
612.23,4055.2
612.56,4774.5
612.89,4609.7
613.22,4649.7
613.55,3612.1
613.88,4929.4
614.21,3689.9
614.54,4361.4
614.87,3735.3
615.2,3368
615.53,5115.9
615.87,3809
616.2,4123.1
616.53,5121.1
616.86,4107.2
617.19,4438.6
617.52,4720.2
617.85,3897.9
618.18,3744.4
618.51,3938.9
618.84,4595.9
619.17,4046.6
619.5,5298.3
619.83,5269
620.16,4615.3
620.49,3896.5
620.82,6330.7
621.14,5336.9
621.47,4281.1
621.8,4959.4
622.13,4189.1
622.46,6653
622.79,4646.4
623.12,3607.5
623.45,4823.4
623.78,4646.4
624.11,3676
624.44,4293.5
624.77,3740.4
625.1,3748.6
625.43,3629.7
625.75,4194.2
626.08,3747.2
626.41,3822.8
626.74,5144
627.07,4058
627.4,5784.4
627.73,3909.4
628.06,3683.1
628.38,3337.4
628.71,4686
629.04,5013.2
629.37,4931.5
629.7,4257.9
630.03,3641.2
630.36,4977.1
630.68,4676.2
631.01,3842.2
631.34,5352.6
631.67,3884.8
632,3433.3
632.32,4740.1
632.65,5105.6
632.98,4300.7
633.31,4118.4
633.64,4766
633.96,3722.9
634.29,5255.4
634.62,4215.1
634.95,4326
635.27,4238.7
635.6,4667.3
635.93,4402.1
636.26,4392
636.58,3904.7
636.91,3848.1
637.24,3743
637.57,4194.9
637.89,4425.7
638.22,3842
638.55,4191
638.87,4293.2
639.2,4656.5
639.53,4482.4
639.86,3815.5
640.18,3654
640.51,4211.6
640.84,4365.3
641.16,3638.4
641.49,4383.8
641.82,3650.3
642.14,3632.7
642.47,6338.2
642.8,4102
643.12,4875.1
643.45,4065.3
643.78,4161
644.1,3790.5
644.43,4095.7
644.75,5158.5
645.08,3480.8
645.41,4424.3
645.73,3681
