wavelength,intensity
178.76,2143.9
179.14,2143.9
179.52,2143.9
179.9,2104.6
180.28,5137.6
180.66,3743.6
181.04,4391
181.42,4083.8
181.8,3744.1
182.18,5204.9
182.55,3641.6
182.93,4098.7
183.31,4034.5
183.69,4301
184.07,4383.5
184.45,4072.8
184.83,4142.6
185.21,3909.6
185.59,3986.1
185.97,6906.9
186.35,5713.7
186.72,4138.4
187.1,4191.4
187.48,5560.6
187.86,4830.2
188.24,4064.9
188.62,3944.3
189,5599
189.38,4482.9
189.75,4512.4
190.13,4458.9
190.51,3965.3
190.89,6664.1
191.27,8763.9
191.65,4270.7
192.03,4423.5
192.4,5256.2
192.78,4416.9
193.16,4774.1
193.54,5840.1
193.92,5471.7
194.3,4150.1
194.67,5020.1
195.05,4633.5
195.43,4284.1
195.81,4185.8
196.19,5350
196.56,4447.3
196.94,4331.9
197.32,5676
197.7,4070.3
198.08,4720.7
198.45,4126.5
198.83,4426.1
199.21,4156.3
199.59,5993.2
199.97,4580.3
200.34,3841.8
200.72,4103
201.1,6423.7
201.48,5133.3
201.85,4023.1
202.23,4170.4
202.61,4026.7
202.99,6984.5
203.36,4073.3
203.74,4837.4
204.12,4345.3
204.49,4024.9
204.87,4762.7
205.25,4234.3
205.63,3814.8
206,4000
206.38,4499.3
206.76,4991.1
207.14,4072.1
207.51,3830.1
207.89,5327.7
208.27,3982.2
208.64,3680.7
209.02,4168.2
209.4,4181.9
209.77,3749.8
210.15,6847.6
210.53,3885.3
210.9,5610.6
211.28,3952.7
211.66,5858.7
212.03,4060.8
212.41,3867.3
212.79,4447.5
213.16,3868.7
213.54,4398
213.92,4480.1
214.29,3743.1
214.67,4032.4
215.05,4136.5
215.42,5013.6
215.8,4143.1
216.17,4094.4
216.55,4499.3
216.93,3836.6
217.3,4800
217.68,3965.6
218.05,4086.6
218.43,4004.7
218.81,4087.2
219.18,5470
219.56,4102.2
219.93,4030.4
220.31,4044.3
220.69,3824.7
221.06,3861.1
221.44,4357.1
221.81,4034.5
222.19,3773.3
222.56,3894.7
222.94,4119.7
223.32,4348.6
223.69,3980.9
224.07,4769.7
224.44,5090.7
224.82,4380.7
225.19,4663.1
225.57,4385.4
225.94,4090.5
226.32,4298.3
226.69,5854.5
227.07,4741.3
227.44,4111.1
227.82,4471
228.19,4199.7
228.57,4704.2
228.94,5629.6
229.32,5019
229.69,4838
230.07,4159.4
230.44,3943
230.82,5439.2
231.19,4991.4
231.57,3733
231.94,3763.3
232.32,6796.8
232.69,4345.4
233.07,4352.3
233.44,4146.2
233.82,4129.2
234.19,4329.5
234.57,5162.1
234.94,3974.2
235.31,4095
235.69,4216.6
236.06,4332.3
236.44,4727.3
236.81,3839.1
237.19,4436.7
237.56,5733.4
237.93,4001.8
238.31,4404.4
238.68,4149.1
239.06,4361.8
239.43,4745.8
239.81,4568.3
240.18,3867.2
240.55,3900.7
240.93,5974.9
241.3,4452
241.67,4251
242.05,4656.3
242.42,4980.8
242.8,3809.8
243.17,4433.9
243.54,4252
243.92,4914
244.29,4237
244.66,4393.2
245.04,5176.3
245.41,7060.3
245.78,3884.2
246.16,4076.9
246.53,4745.4
246.9,4210.2
247.28,6092.3
247.65,4186
248.02,4185
248.4,5155
248.77,4399.7
249.14,4696.4
249.52,4140.7
249.89,4647.1
250.26,3925.9
250.64,4317.8
251.01,7284.2
251.38,3830.4
251.75,4326.9
252.13,4075.3
252.5,4840.1
252.87,6252.7
253.25,3875.6
253.62,4706.2
253.99,3835.2
254.36,5000.5
254.74,4056.8
255.11,3893.7
255.48,3719.4
255.85,6443.3
256.23,3797
256.6,3629.7
256.97,4105.8
257.34,4585.9
257.71,4336.4
258.09,4164.3
258.46,4433.8
258.83,5721.5
259.2,5128.9
259.58,4210
259.95,4267.1
260.32,4958.2
260.69,3883.1
261.06,5582.8
261.44,3973.4
261.81,6435.4
262.18,4516
262.55,3969.5
262.92,4280.8
263.29,4021.7
263.67,3747.5
264.04,4017.3
264.41,4417.8
264.78,4016
265.15,5256.5
265.52,5945.4
265.9,4308.1
266.27,4023.5
266.64,3766.1
267.01,3676.2
267.38,4484
267.75,3889.8
268.12,3630
268.5,4180
268.87,4001.7
269.24,3801.8
269.61,4404.9
269.98,4603.1
270.35,4476
270.72,3873.4
271.09,4138.8
271.46,4039.3
271.83,4475.1
272.21,4901.1
272.58,3862.2
272.95,3900.3
273.32,4282.4
273.69,4269.3
274.06,3738.8
274.43,3928.2
274.8,4214.8
275.17,4433.4
275.54,6879.3
275.91,4368.7
276.28,4263.7
276.65,4355.7
277.02,5592.9
277.39,3955.2
277.76,3925.5
278.13,4585.1
278.5,4703.9
278.87,5236.4
279.24,4796.5
279.61,4584.3
279.98,5630.9
280.35,4039.5
280.72,4328.7
281.09,4175
281.46,4317.5
281.83,3922.1
282.2,4451.4
282.57,3998.1
282.94,4494.1
283.31,4036.2
283.68,4532.2
284.05,3772.8
284.42,3710.7
284.79,4367.8
285.16,4619.4
285.53,4262.3
285.9,4242
286.27,6626.8
286.64,3764.7
287.01,3912.4
287.38,4678.6
287.75,26134
288.12,5041.4
288.49,7262.7
288.86,3892.6
289.23,3869.2
289.59,3927
289.96,3857.7
290.33,3963.9
290.7,4046.6
291.07,4635.4
291.44,4501
291.81,3875
292.18,4271.3
292.55,4040.9
292.91,6146.7
293.28,4692.8
293.65,5465.6
294.02,4470.3
294.39,3743.9
294.76,4150.5
295.13,4331.7
295.5,4230.6
295.86,4182.2
296.23,4050.4
296.6,3808.2
296.97,4005.3
297.34,4213.7
297.71,4826.7
298.07,4292.1
298.44,3663.1
298.81,4447.6
299.18,4329.8
299.55,5360.9
299.91,4163.2
300.28,4378.4
300.65,3707.1
301.02,4373.4
301.39,4534.7
301.75,6275.4
302.12,4627.6
302.49,4183.3
302.86,5325.3
303.23,4293
303.59,3812.3
303.96,7419.5
304.33,5083
304.7,6703.6
305.06,4092
305.43,5241.2
305.8,4580.3
306.17,4831
306.53,3997.9
306.9,4940.7
307.27,4243.1
307.64,5312.4
308,4035.1
308.37,4037
308.74,5774.3
309.11,4812.1
309.47,3925.1
309.84,3718.2
310.21,4231.1
310.57,4359.8
310.94,4079.4
311.31,4289.6
311.67,4402.2
312.04,3710.5
312.41,5053.7
312.77,4534.2
313.14,3885.9
313.51,4117.6
313.87,4033.1
314.24,3966
314.61,3989.4
314.97,4019.6
315.34,4212.2
315.71,3709.7
316.07,4839.8
316.44,3828.8
316.81,4840.4
317.17,3912.6
317.54,6826.3
317.91,3999.5
318.27,3705.4
318.64,4332.3
319,4718.8
319.37,3694.6
319.74,4877.2
320.1,4994.5
320.47,4081
320.83,5399
321.2,4150.1
321.57,3852.5
321.93,3971.9
322.3,4322.5
322.66,3934.1
323.03,4687.8
323.4,4495.2
323.76,3976.9
324.13,3975
324.49,3663.4
324.86,7992.9
325.22,4338.9
325.59,4123.9
325.95,4419.6
326.32,4914.7
326.68,4803.4
327.05,4133.2
327.42,3827.6
327.78,3958.2
328.15,5082.4
328.51,4000.3
328.88,4247.1
329.24,5461.7
329.61,4258.7
329.97,4681.5
330.34,3949
330.7,4234.2
331.07,5315
331.43,4673.9
331.8,6151.1
332.16,5202.1
332.52,3881.2
332.89,4550.2
333.25,3656.4
333.62,6411.2
333.98,4525.3
334.35,3873.6
334.71,4228.3
335.08,3826
335.44,5724.6
335.81,5739.6
336.17,5181.6
336.53,4199.9
336.9,3810.2
337.26,4578.1
337.63,6251.6
337.99,4399.4
338.36,3814.1
338.72,4726.6
339.08,4309.6
339.45,3759.4
339.81,4909.2
340.18,4053.7
340.54,5184.6
340.9,3911.3
341.27,4103.6
341.63,4503
341.99,3603.2
342.36,5185.8
342.72,3774.3
343.09,5245.5
343.45,3941.5
343.81,5319.1
344.18,3714.4
344.54,4109.8
344.9,4334.7
345.27,4280.2
345.63,4100
345.99,4736.5
346.36,4232.5
346.72,3789.2
347.08,3808.7
347.45,3631.9
347.81,5027.3
348.17,4327
348.54,3696.3
348.9,4763.5
349.26,4983.6
349.62,5271
349.99,3626
350.35,3545.3
350.71,4359.5
351.08,4146.8
351.44,3553.9
351.8,6154.2
352.16,5645.8
352.53,3831.6
352.89,4599
353.25,5512.3
353.61,4020.4
353.98,4612.4
354.34,5090
354.7,3931
355.06,3774
355.43,4141.5
355.79,4010.7
356.15,4023.4
356.51,3757
356.88,3763
357.24,4001.8
357.6,3650.1
357.96,3532.2
358.32,6668.2
358.69,3642
359.05,4426.6
359.41,4271
359.77,3875.5
360.13,3820.7
360.49,3952.5
360.86,4857.7
361.22,5523.5
361.58,4337.3
361.94,5362.2
362.3,3783.1
362.66,4534.7
363.03,3558.2
363.39,3499.6
363.75,3830.1
364.11,5050.7
364.47,3904.2
364.83,5259.2
365.19,4340.8
365.56,4682
365.92,3616.6
366.28,4638.2
366.64,5032
367,3950
367.36,3589.4
367.72,5119.1
368.08,5219.7
368.44,3953.6
368.8,4543.1
369.17,3959.3
369.53,3999.4
369.89,3793.2
370.25,3735.3
370.61,3808.5
370.97,5288.7
371.33,3949.9
371.69,5893.3
372.05,4538.8
372.41,3795.4
372.77,3903.1
373.13,4259.3
373.49,3501.1
373.85,4405.2
374.21,4213.1
374.57,3713.6
374.93,4562.2
375.29,4817.1
375.65,4278.7
376.01,4171.8
376.37,5084.1
376.73,4614.3
377.09,3711.3
377.45,4986.6
377.81,4055.2
378.17,3739.2
378.53,3494
378.89,4563.9
379.25,5387
379.61,6362.8
379.97,4861
380.33,3943.8
380.69,3841.9
381.05,3657.2
381.41,4794.2
381.77,4171.3
382.13,4611.6
382.49,6718.7
382.85,4291.8
383.21,4647.1
383.57,3577.6
383.93,5187.4
384.28,3535.8
384.64,3900.9
385,4266.3
385.36,4189.6
385.72,4721.6
386.08,3779.2
386.44,4653.8
386.8,4739
387.16,6006.6
387.52,4944.9
387.87,6267.8
388.23,4449.8
388.59,3834.9
388.95,3601.3
389.31,4017.1
389.67,3991.7
390.03,3948.6
390.38,3931.9
390.74,3458.5
391.1,4930.1
391.46,4286
391.82,3758.7
392.18,4477.8
392.54,3444.2
392.89,3640.3
393.25,4502.4
393.61,3736.9
393.97,3600.2
394.33,4356.8
394.68,4083.5
395.04,3623.2
395.4,4141
395.76,4785.1
396.12,4284.4
396.47,3691.6
396.83,4083.8
397.19,3647.5
397.55,3692.1
397.9,4179.7
398.26,4132.6
398.62,3638.8
398.98,3414.2
399.33,3966.1
399.69,9785.5
