wavelength,intensity
200.34,0
200.72,0
201.1,0
201.48,0
201.85,0
202.23,-0
202.61,-0
202.99,0
203.36,-0
203.74,0
204.12,0
204.49,0
204.87,-0
205.25,0
205.63,0
206,0
206.38,0
206.76,0
207.14,0
207.51,0
207.89,0
208.27,0
208.64,0
209.02,0
209.4,0
209.77,0
210.15,-0
210.53,-5.4582e+13
210.9,-5.4582e+13
211.28,-5.4582e+13
211.66,-5.4582e+13
212.03,-1.1944e+14
212.41,-6.4371e+13
212.79,-6.4371e+13
213.16,-6.4371e+13
213.54,8.4431e+12
213.92,8.4431e+12
214.29,2.1022e+13
214.67,-6.9994e+12
215.05,-6.9994e+12
215.42,-6.9994e+12
215.8,9.4072e+12
216.17,9.4072e+12
216.55,9.4072e+12
216.93,9.4072e+12
217.3,-1.4774e+13
217.68,-1.4774e+13
218.05,-1.0946e+13
218.43,3.1207e+13
218.81,-1.6202e+13
219.18,-5.0166e+13
219.56,-5.0166e+13
219.93,-2.3453e+13
220.31,-2.3453e+13
220.69,1.8991e+13
221.06,1.8991e+13
221.44,1.8991e+13
221.81,-2.1761e+12
222.19,-2.1761e+12
222.56,-2.1761e+12
222.94,-2.1761e+12
223.32,1.8081e+13
223.69,2.8119e+13
224.07,-5.9047e+12
224.44,-5.9047e+12
224.82,1.8332e+13
225.19,1.8332e+13
225.57,4.9537e+13
225.94,6.0627e+13
226.32,6.0627e+13
226.69,6.0627e+13
227.07,3.4731e+13
227.44,1.4396e+13
227.82,1.4396e+13
228.19,1.4396e+13
228.57,1.4396e+13
228.94,5.2173e+13
229.32,4.212e+13
229.69,3.3257e+13
230.07,4.5665e+13
230.44,5.1989e+13
230.82,5.1989e+13
231.19,5.1989e+13
231.57,5.1989e+13
231.94,4.3126e+13
232.32,2.076e+13
232.69,1.5866e+13
233.07,1.918e+12
233.44,-8.3622e+12
233.82,-8.3622e+12
234.19,-1.6301e+13
234.57,-8.6728e+12
234.94,-1.192e+12
235.31,1.918e+12
