wavelength,intensity
178.76,-6.788
179.14,-6.788
179.52,-6.788
179.9,9.128
180.28,-30.038
180.66,16.774
181.04,-3.59
181.42,-54.768
181.8,6.4753
182.18,-0.93733
182.55,7.6447
182.93,9.3617
183.31,-24.732
183.69,7.7243
184.07,-18.802
184.45,61.402
184.83,4.2917
185.21,3.9797
185.59,10.689
185.97,4.2133
186.35,5.3833
186.72,-2.9643
187.1,-41.895
187.48,-73.023
187.86,9.44
188.24,29.335
188.62,27.619
189,223.52
189.38,11.31
189.75,9.909
190.13,-20.441
190.51,-36.981
190.89,-29.334
191.27,27.852
191.65,2.7313
192.03,-39.713
192.4,40.337
192.78,-6.2413
193.16,39.165
193.54,-25.745
193.92,9.8293
194.3,12.719
194.67,-23.252
195.05,-18.335
195.43,-29.256
195.81,-24.576
196.19,-21.766
196.56,23.484
196.94,36.979
197.32,-4.524
197.7,16.307
198.08,-16.307
198.45,1.3257
198.83,35.027
199.21,35.342
199.59,27.851
199.97,-12.559
200.34,-11.001
200.72,-6.554
201.1,6.631
201.48,-19.896
201.85,8.8167
202.23,-2.3403
202.61,-21.297
202.99,-41.818
203.36,-25.2
203.74,4.213
204.12,23.952
204.49,6.241
204.87,-38.698
205.25,15.058
205.63,29.414
206,54.3
206.38,19.271
206.76,8.8173
207.14,21.065
207.51,13.105
207.89,4.8363
208.27,-18.723
208.64,-26.683
209.02,0.85933
209.4,-17.944
209.77,-8.114
210.15,-118.04
210.53,6.3177
210.9,-29.178
211.28,-30.193
211.66,-32.222
212.03,-15.213
212.41,5.2283
212.79,35.809
213.16,12.95
213.54,-19.972
213.92,-3.1973
214.29,17.474
214.67,-31.208
215.05,30.271
215.42,-48.994
215.8,1.0127
216.17,-6.4757
216.55,12.952
216.93,29.022
217.3,2.574
217.68,-20.754
218.05,27.151
218.43,-11.702
218.81,-17.397
219.18,-10.142
219.56,19.817
219.93,11.234
220.31,-31.286
220.69,-18.88
221.06,-0.31
221.44,9.5973
221.81,114.3
222.19,24.653
222.56,-20.596
222.94,-12.328
223.32,-0.85867
223.69,16.54
224.07,-30.505
224.44,-35.341
224.82,34.325
225.19,27.227
225.57,-2.652
225.94,12.325
226.32,25.904
226.69,-45.327
227.07,44.077
227.44,39.478
227.82,-0.31267
228.19,10.377
228.57,-30.972
228.94,-13.888
229.32,-67.409
229.69,46.033
230.07,63.274
230.44,28.243
230.82,21.143
231.19,14.277
231.57,22.078
231.94,19.816
232.32,-6.9427
232.69,-7.491
233.07,-6.7083
233.44,2.0283
233.82,-22.704
234.19,11.704
234.57,-0.39233
234.94,-8.1913
235.31,3.0417
235.69,-11.859
236.06,-0.70067
236.44,27.464
236.81,19.116
237.19,-19.663
237.56,-12.406
237.93,-6.319
238.31,2.5743
238.68,9.673
239.06,-27.853
239.43,2.0283
239.81,13.341
240.18,26.604
240.55,-7.488
240.93,-47.044
241.3,11.081
241.67,6.943
242.05,-7.2563
242.42,-0.78033
242.8,1.0117
243.17,14.979
243.54,-5.225
243.92,-12.094
244.29,25.902
244.66,20.831
245.04,28.32
245.41,-71.544
245.78,8.035
246.16,-43.377
246.53,36.903
246.9,-1.1693
247.28,-51.649
247.65,-5.228
248.02,-47.828
248.4,47.903
248.77,6.5533
249.14,34.951
249.52,-8.3487
249.89,-53.44
250.26,-19.349
250.64,12.638
251.01,-16.383
251.38,-0.85833
251.75,20.986
252.13,-5.617
252.5,34.016
252.87,9.519
253.25,22.624
253.62,274.86
253.99,-1.873
254.36,64.988
254.74,9.5203
255.11,7.957
255.48,15.76
255.85,-54.925
256.23,3.9033
256.6,13.108
256.97,-6.7863
257.34,18.335
257.71,-20.05
258.09,-6.3193
258.46,21.375
258.83,41.74
259.2,-1.794
259.58,43.146
259.95,-6.0073
260.32,-7.9583
260.69,9.7527
261.06,-10.844
261.44,5.772
261.81,240.68
262.18,19.815
262.55,15.213
262.92,42.364
263.29,24.029
263.67,23.015
264.04,33.704
264.41,18.567
264.78,8.5823
265.15,-16.463
265.52,10.533
265.9,-19.738
266.27,33.86
266.64,24.265
267.01,29.646
267.38,-13.576
267.75,-1.3253
268.12,12.951
268.5,54.378
268.87,13.421
269.24,-0.15667
269.61,-28.084
269.98,30.584
270.35,-26.448
270.72,-13.498
271.09,-3.4347
271.46,58.512
