wavelength,intensity
178.76,2181.4
179.14,2181.4
179.52,2181.4
179.9,2149.4
180.28,5023.2
180.66,3726.1
181.04,4340.9
181.42,4080.3
181.8,3750.3
182.18,5166
182.55,3660.2
182.93,4096.7
183.31,4018.7
183.69,4292.9
184.07,4386.6
184.45,4043.3
184.83,4138.8
185.21,3908.3
185.59,3970.7
185.97,6799.6
186.35,5678.1
186.72,4143.5
187.1,4196.2
187.48,5516.3
187.86,4796.9
188.24,4062.4
188.62,3898.6
189,5263.5
189.38,4437.7
189.75,4434.1
190.13,4477.4
190.51,3973.1
190.89,6541.4
191.27,8578.8
191.65,4268.7
192.03,4419.7
192.4,5213.5
192.78,4419.3
193.16,4736.1
193.54,5740.6
193.92,5422.2
194.3,4135.3
194.67,4977.9
195.05,4605
195.43,4274.6
195.81,4177.5
196.19,5344.6
196.56,4428.7
196.94,4285.1
197.32,5623.5
197.7,4088.9
198.08,4689.3
198.45,4090.1
198.83,4425.6
199.21,4140.4
199.59,5792
199.97,4570.3
200.34,3860.7
200.72,4068.2
201.1,6336.6
201.48,5109
201.85,3993.3
202.23,4126
202.61,4041.3
202.99,6850.4
203.36,4072.1
203.74,4773.5
204.12,4281.6
204.49,4036.6
204.87,4747.8
205.25,4235.6
205.63,3781.1
206,3987.1
206.38,4476.7
206.76,4987.3
207.14,4093.2
207.51,3804.5
207.89,5239.3
208.27,4019.9
208.64,3656.3
209.02,4130.7
209.4,4131.8
209.77,3744.1
210.15,6296
210.53,3843.6
210.9,5577.9
211.28,4001.5
211.66,5823.3
212.03,4069
212.41,3850.6
212.79,4190.7
213.16,3837.7
213.54,4472.8
213.92,4420.9
214.29,3742.5
214.67,3989.8
215.05,4134.2
215.42,4894.8
215.8,4140.8
216.17,4063.9
216.55,4439.2
216.93,3804.9
217.3,4720.1
217.68,3955.1
218.05,4072.1
218.43,4030
218.81,4087
219.18,5400.8
219.56,4083.5
219.93,4035.5
220.31,4060
220.69,3824
221.06,3862.3
221.44,4360.8
221.81,3913
222.19,3797.9
222.56,3894.7
222.94,4110
223.32,4308.5
223.69,4001.5
224.07,4775.9
224.44,5059.5
224.82,4328.4
225.19,4622.2
225.57,4401
225.94,4115.1
226.32,4298.4
226.69,5802.6
227.07,4715.4
227.44,4103.7
227.82,4414.6
228.19,4166.9
228.57,4681.5
228.94,5580.2
229.32,5029.8
229.69,4754.8
