wavelength,intensity
200.34,0
200.72,0
201.1,0
201.48,0
201.85,0
202.23,-0
202.61,0
202.99,0
203.36,0
203.74,0
204.12,0
204.49,0
204.87,0
205.25,0
205.63,0
206,0
206.38,0
206.76,0
207.14,0
207.51,0
207.89,0
208.27,0
208.64,0
209.02,0
209.4,0
209.77,0
210.15,0
210.53,0
210.9,0
211.28,0
211.66,4.8227e+13
212.03,4.268e+13
212.41,4.268e+13
212.79,4.268e+13
213.16,1.1158e+14
213.54,1.2134e+14
213.92,1.3379e+14
214.29,1.3379e+14
214.67,1.3379e+14
215.05,1.3379e+14
215.42,1.2843e+14
215.8,1.5946e+14
216.17,1.2843e+14
216.55,1.1353e+14
216.93,1.0721e+14
217.3,9.0328e+13
217.68,9.0328e+13
218.05,1.0721e+14
218.43,1.0721e+14
218.81,9.0328e+13
219.18,9.4202e+13
219.56,9.1672e+13
219.93,9.1672e+13
220.31,1.1412e+14
220.69,1.1412e+14
221.06,1.1412e+14
221.44,1.1412e+14
221.81,1.1412e+14
222.19,1.1412e+14
222.56,1.3216e+14
222.94,1.4363e+14
223.32,1.6359e+14
223.69,1.7515e+14
224.07,1.7515e+14
224.44,1.9198e+14
224.82,2.0002e+14
225.19,1.8686e+14
225.57,1.8686e+14
225.94,2.0867e+14
226.32,2.2311e+14
226.69,2.255e+14
227.07,2.3292e+14
227.44,2.3571e+14
227.82,2.4029e+14
228.19,2.5849e+14
228.57,2.7674e+14
228.94,2.7992e+14
229.32,3.0453e+14
229.69,3.3016e+14
230.07,3.3016e+14
230.44,3.3016e+14
230.82,3.3016e+14
231.19,3.3016e+14
231.57,3.3539e+14
231.94,3.3539e+14
232.32,3.4858e+14
232.69,3.5959e+14
233.07,3.6216e+14
233.44,3.755e+14
233.82,3.9562e+14
234.19,4.0131e+14
234.57,4.0131e+14
234.94,4.0131e+14
235.31,4.0698e+14
235.69,4.139e+14
236.06,4.1493e+14
236.44,4.3379e+14
236.81,4.5308e+14
