wavelength,intensity
178.76,8.4257
179.14,8.4257
179.52,8.4257
179.9,-26.061
180.28,-45.8
180.66,-44
181.04,-37.607
181.42,7.175
181.8,2.9637
182.18,-44.393
182.55,-16.461
182.93,-26.528
183.31,18.258
183.69,-28.943
184.07,-8.815
184.45,-59.215
184.83,-3.5887
185.21,-51.101
185.59,6.3217
185.97,-16.771
186.35,-41.664
186.72,17.476
187.1,20.516
187.48,-5.6973
187.86,-15.216
188.24,19.036
188.62,36.355
189,55.161
189.38,75.833
189.75,84.023
190.13,-24.341
190.51,7.2573
190.89,65.924
191.27,-7.803
191.65,-2.4167
192.03,-12.95
192.4,-23.168
192.78,-8.8157
193.16,-38.147
193.54,29.805
193.92,-9.046
194.3,-69.828
194.67,38.308
195.05,44.235
195.43,17.476
195.81,-5.6947
196.19,-35.808
196.56,-19.113
196.94,40.648
197.32,-80.203
197.7,-5.1507
198.08,33.47
198.45,12.405
198.83,-39.399
199.21,-25.746
199.59,78.017
199.97,-36.203
200.34,-25.045
200.72,11.314
201.1,45.094
201.48,35.968
201.85,32.379
202.23,-6.165
202.61,-56.799
202.99,72.01
203.36,-21.612
203.74,14.746
204.12,41.346
204.49,12.485
204.87,29.727
205.25,32.613
205.63,32.999
206,-23.641
206.38,27.927
206.76,-21.144
207.14,-30.503
207.51,54.534
207.89,18.956
208.27,-38.62
208.64,41.271
209.02,30.821
209.4,33.391
209.77,25.121
210.15,475.6
210.53,66.548
210.9,-18.645
211.28,-80.206
211.66,-16.383
212.03,-3.0437
212.41,27.225
212.79,69.98
213.16,38.226
213.54,-61.323
213.92,65.923
214.29,56.638
214.67,93.933
215.05,39.479
215.42,48.835
215.8,-4.6047
216.17,25.902
216.55,100.95
216.93,39.164
217.3,87.382
217.68,44.393
218.05,17.241
218.43,-12.253
218.81,32.381
219.18,80.281
219.56,92.997
219.93,30.037
220.31,-20.752
220.69,57.499
221.06,51.105
221.44,87.617
221.81,70.141
222.19,25.592
222.56,22.002
222.94,110.94
223.32,158.14
223.69,51.335
224.07,80.75
224.44,128.1
224.82,128.42
225.19,138.95
225.57,70.375
225.94,109.15
226.32,121.94
226.69,107.74
227.07,180.53
227.44,151.36
227.82,243.03
228.19,192.08
228.57,238.81
228.94,172.34
229.32,168.05
229.69,201.05
230.07,242.32
230.44,246.3
230.82,276.42
231.19,280.47
231.57,282.51
231.94,253.09
232.32,334.46
232.69,269.09
233.07,283.51
233.44,257.3
233.82,339.07
234.19,338.83
234.57,367.31
234.94,361.14
235.31,368.48
235.69,445.09
236.06,433.94
236.44,371.36
236.81,444
237.19,439.86
237.56,390.72
237.93,440.49
238.31,459.6
238.68,396.88
239.06,410.06
239.43,345.54
239.81,411.31
240.18,380.81
240.55,400.7
240.93,408.66
241.3,500.72
241.67,409.36
242.05,422.93
242.42,470.68
242.8,446.57
243.17,433.39
243.54,459.06
243.92,400.62
244.29,383.3
244.66,475.05
245.04,474.51
245.41,471.54
245.78,493.85
246.16,457.73
246.53,428.24
246.9,473.34
247.28,446.11
247.65,441.89
248.02,412.17
248.4,475.52
248.77,450.24
249.14,443.29
249.52,520.61
249.89,461.94
250.26,475.99
250.64,413.57
251.01,530.29
251.38,409.12
251.75,424.81
252.13,403.43
252.5,441.58
252.87,387.05
253.25,399.53
253.62,431.52
253.99,391.42
254.36,400.47
254.74,439.63
255.11,416.7
255.48,405.3
