wavelength,intensity
178.76,2189.8
179.14,2189.8
179.52,2189.8
179.9,2123.3
180.28,4977.4
180.66,3682.1
181.04,4303.3
181.42,4087.5
181.8,3753.3
182.18,5121.6
182.55,3643.7
182.93,4070.2
183.31,4037
183.69,4264
184.07,4377.7
184.45,3984.1
184.83,4135.3
185.21,3857.2
185.59,3977
185.97,6782.9
186.35,5636.5
186.72,4161
187.1,4216.7
187.48,5510.6
187.86,4781.7
188.24,4081.4
188.62,3934.9
189,5318.6
189.38,4513.5
189.75,4518.2
190.13,4453.1
190.51,3980.3
190.89,6607.3
191.27,8571
191.65,4266.3
192.03,4406.8
192.4,5190.4
192.78,4410.5
193.16,4697.9
193.54,5770.4
193.92,5413.2
194.3,4065.5
194.67,5016.2
195.05,4649.2
195.43,4292.1
195.81,4171.8
196.19,5308.8
196.56,4409.6
196.94,4325.8
197.32,5543.3
197.7,4083.8
198.08,4722.7
198.45,4102.5
198.83,4386.2
199.21,4114.7
199.59,5870.1
199.97,4534.1
200.34,3835.7
200.72,4079.6
201.1,6381.7
201.48,5145
201.85,4025.7
202.23,4119.8
202.61,3984.5
202.99,6922.4
203.36,4050.5
203.74,4788.3
204.12,4323
204.49,4049.1
204.87,4777.5
205.25,4268.2
205.63,3814.1
206,3963.5
206.38,4504.6
206.76,4966.1
207.14,4062.7
207.51,3859.1
207.89,5258.2
208.27,3981.3
208.64,3697.6
209.02,4161.5
209.4,4165.2
209.77,3769.2
210.15,6771.6
210.53,3910.1
210.9,5559.2
211.28,3921.3
211.66,5806.9
212.03,4066
212.41,3877.8
212.79,4260.7
213.16,3875.9
213.54,4411.4
213.92,4486.8
214.29,3799.2
214.67,4083.8
215.05,4173.6
215.42,4943.7
215.8,4136.2
216.17,4089.8
216.55,4540.2
216.93,3844.1
217.3,4807.5
217.68,3999.5
218.05,4089.4
218.43,4017.8
218.81,4119.3
219.18,5481.1
219.56,4176.4
219.93,4065.5
220.31,4039.3
220.69,3881.5
221.06,3913.4
221.44,4448.4
221.81,3983.1
222.19,3823.5
222.56,3916.7
222.94,4220.9
223.32,4466.7
223.69,4052.9
224.07,4856.6
224.44,5187.6
224.82,4456.8
225.19,4761.1
225.57,4471.4
225.94,4224.2
226.32,4420.3
226.69,5910.3
227.07,4895.9
227.44,4255.1
227.82,4657.7
228.19,4359
228.57,4920.3
228.94,5752.6
229.32,5197.9
229.69,4955.9
230.07,4318.8
230.44,4117.9
230.82,5651.5
231.19,5179.6
231.57,3993.4
231.94,4051
232.32,7024.9
232.69,4577.6
233.07,4580
233.44,4434.4
233.82,4470.9
234.19,4591.2
234.57,5440.8
234.94,4352.9
235.31,4497.6
235.69,4606.2
236.06,4749.9
236.44,5036.8
236.81,4253.2
237.19,4858
237.56,6021.3
237.93,4414.7
238.31,4810.3
238.68,4536.9
239.06,4751.8
239.43,5104.2
239.81,4946.5
240.18,4248.5
240.55,4344.5
240.93,6363
241.3,4888.4
241.67,4637.5
242.05,5074.7
242.42,5403.4
242.8,4268.7
243.17,4851.9
243.54,4671.2
243.92,5303.7
244.29,4640.3
244.66,4807
245.04,5601.8
245.41,7454.1
245.78,4353.4
246.16,4555.6
246.53,5125.3
246.9,4649.2
247.28,6451.9
247.65,4666.6
248.02,4624
248.4,5589.2
248.77,4824.3
249.14,5096.3
249.52,4642.7
249.89,5088.8
250.26,4386.6
250.64,4709.6
251.01,7390
251.38,4245.3
251.75,4683.4
252.13,4501.3
252.5,5235.8
252.87,6544.6
253.25,4271.9
253.62,4875.8
253.99,4251.4
254.36,5363.6
254.74,4484.5
255.11,4288.3
255.48,4119.3
255.85,6835.8
256.23,4210.6
256.6,4111.9
256.97,4539.7
257.34,4974.1
257.71,4748.9
258.09,4618.3
258.46,4851.9
258.83,6084.5
259.2,5562.5
259.58,4609.4
259.95,4714.3
260.32,5401
260.69,4326.7
261.06,5916.4
261.44,4398.8
261.81,6560.1
262.18,4948.8
262.55,4470
262.92,4706.8
263.29,4529.4
263.67,4292.1
264.04,4536.9
264.41,4904.4
264.78,4536.4
265.15,5758.7
265.52,6401.8
265.9,4878.6
266.27,4611.3
266.64,4394.6
267.01,4273.8
267.38,5105.2
267.75,4551.4
268.12,4275.7
268.5,4859
268.87,4664.7
269.24,4506.5
269.61,5157.6
269.98,5328
270.35,5290.5
270.72,4673.1
271.09,4970.4
271.46,4883.8
271.83,5307.9
272.21,5749.3
272.58,4795.3
272.95,4887.5
273.32,5261.1
273.69,5315.8
274.06,4781.2
274.43,4994.7
274.8,5249.8
275.17,5563.5
275.54,7917.6
275.91,5492.8
276.28,5541
276.65,5563.5
277.02,6833.9
277.39,5285.9
277.76,5230.2
278.13,5949.6
278.5,6132.2
278.87,6697.7
279.24,6301.2
279.61,6155.6
279.98,7038
280.35,5558.8
280.72,5888.8
281.09,5755.4
281.46,5929
281.83,5579.4
282.2,6119.1
282.57,5737.1
282.94,6257.7
283.31,5739
283.68,6209.4
284.05,5509.6
284.42,5459.5
284.79,6207.1
285.16,6472
285.53,6079.8
285.9,6149.5
286.27,8555.1
286.64,5569.1
287.01,5854.1
287.38,6584.4
287.75,27605
288.12,6901.8
288.49,9196
288.86,5805.9
289.23,5816.2
289.59,5865.4
289.96,5808.3
290.33,5869.1
290.7,5969.8
291.07,6538.5
291.44,6397.6
291.81,5771.8
292.18,6136.4
292.55,5915.9
292.91,7983.1
293.28,6592.4
293.65,7369.9
294.02,6331.6
294.39,5681.4
294.76,6132.2
295.13,6201.5
295.5,6058.7
295.86,6069.9
296.23,5882.7
296.6,5693.1
296.97,5806.9
297.34,6005.8
297.71,6592.8
298.07,6113.5
298.44,5482.5
298.81,6238.9
299.18,6091.5
299.55,7116.2
299.91,5974
300.28,6073.2
300.65,5389.8
301.02,6105.5
301.39,6277.8
301.75,7918
302.12,6265.6
302.49,5852.7
302.86,7005.2
303.23,5989.4
303.59,5497
303.96,8977.4
304.33,6637.8
